TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,301.5,304.5,298.0,304.5,510
2023-01-04,304.5,313.0,301.0,301.0,120
2023-01-05,303.5,306.5,303.0,306.0,50
2023-01-06,308.0,322.0,308.0,310.5,850
2023-01-09,313.5,322.5,313.0,320.0,310
2023-01-10,320.0,323.0,317.5,321.5,140
2023-01-11,318.5,320.5,312.5,319.5,430
2023-01-12,316.5,317.5,316.5,316.5,40
2023-01-13,317.0,317.0,309.5,317.0,210
2023-01-16,316.5,317.0,310.0,316.0,180
2023-01-17,316.0,316.0,312.5,313.0,70
2023-01-18,310.5,322.0,310.5,318.0,140
2023-01-19,320.5,320.5,314.5,317.5,100
2023-01-20,317.5,403.0,317.5,353.0,5000
2023-01-23,353.0,472.0,334.0,363.5,69730
2023-01-24,353.5,370.5,350.5,360.0,5340
2023-01-25,360.0,387.0,350.0,365.0,10800
2023-01-26,372.0,383.0,357.0,357.0,8270
2023-01-27,357.0,365.0,353.5,359.0,1190
2023-01-30,362.0,367.0,361.0,365.0,740
2023-01-31,362.5,367.5,359.5,361.5,850
2023-02-01,362.5,367.0,362.5,365.0,430
2023-02-02,369.0,378.5,365.0,367.0,1240
2023-02-03,367.0,368.0,361.0,362.0,630
2023-02-06,368.5,373.5,360.0,364.5,1800
2023-02-07,361.5,367.0,352.5,359.0,3450
2023-02-08,359.0,364.5,356.0,359.5,2690
2023-02-09,360.5,400.0,360.5,367.0,11190
2023-02-10,372.5,375.0,329.5,371.0,8650
2023-02-13,371.5,371.5,355.0,369.5,3560
2023-02-14,368.0,374.0,355.0,359.0,2230
2023-02-15,359.5,365.0,355.0,355.0,590
2023-02-16,355.0,364.0,350.0,354.5,2460
2023-02-17,352.5,370.5,344.5,350.0,5510
2023-02-20,350.5,360.0,345.0,359.5,1800
2023-02-21,359.5,377.0,356.5,376.0,4090
2023-02-22,376.0,376.0,365.5,369.5,1450
2023-02-24,367.5,374.5,366.5,370.0,160
2023-02-27,370.5,390.0,368.0,382.0,17440
2023-02-28,383.0,383.0,369.5,379.0,3080
2023-03-01,375.5,379.5,369.5,375.0,1830
2023-03-02,375.0,375.0,368.5,372.0,1020
2023-03-03,368.5,372.0,366.0,372.0,1190
2023-03-06,371.0,371.5,365.0,370.5,1630
2023-03-07,368.0,372.0,366.0,371.5,750
2023-03-09,371.5,375.5,365.0,370.0,5270
2023-03-10,370.0,382.0,360.0,366.5,11000
2023-03-13,368.0,368.5,363.5,367.0,740
2023-03-14,367.0,368.0,367.0,368.0,300
2023-03-15,368.0,368.0,358.0,363.5,900
2023-03-16,364.0,364.0,358.5,359.0,490
2023-03-17,359.5,360.5,358.0,358.0,80
2023-03-20,358.0,361.0,357.5,358.5,290
2023-03-21,359.0,369.5,357.5,369.5,1910
2023-03-22,369.5,369.5,363.5,364.5,230
2023-03-23,364.0,368.5,364.0,368.5,180
2023-03-24,366.0,372.5,366.0,370.0,800
2023-03-27,373.0,376.5,368.5,372.5,550
2023-03-28,371.5,376.0,370.5,371.5,540
2023-03-29,370.0,383.5,370.0,382.0,670
2023-03-30,386.0,389.5,372.0,379.0,2640
2023-03-31,378.0,378.0,375.0,377.0,350
2023-04-03,378.5,381.0,375.0,379.0,710
2023-04-04,376.5,384.0,376.0,379.5,1070
2023-04-05,380.5,384.0,375.5,380.5,1530
2023-04-06,380.5,381.5,376.0,380.5,320
2023-04-07,380.5,381.5,379.0,381.5,610
2023-04-10,381.5,386.0,380.0,382.0,1950
2023-04-11,382.0,382.5,375.0,375.5,1630
2023-04-12,375.0,380.0,375.0,377.5,340
2023-04-13,377.5,377.5,369.5,369.5,1660
2023-04-14,369.5,374.0,367.0,372.0,1770
2023-04-17,372.5,374.0,371.5,372.0,1800
2023-04-18,374.0,374.0,370.0,374.0,920
2023-04-19,374.0,400.0,365.0,400.0,8850
2023-04-20,398.5,415.0,380.5,386.0,3120
2023-04-21,386.0,386.5,375.5,380.0,2080
2023-04-24,377.5,384.5,374.0,374.0,2800
2023-04-25,380.0,380.0,371.5,376.0,670
2023-04-26,373.5,380.0,373.0,379.0,720
2023-04-27,376.0,383.0,376.0,382.0,1130
2023-04-28,382.0,382.0,377.5,378.5,280
2023-05-02,383.0,458.5,364.0,379.0,28490
2023-05-03,392.0,409.0,371.0,371.0,1950
2023-05-04,369.5,384.5,365.0,376.5,1330
2023-05-05,377.0,381.5,374.5,374.5,500
2023-05-08,374.0,389.0,365.0,384.0,1890
2023-05-10,376.5,386.0,372.0,386.0,2230
2023-05-11,386.5,404.5,380.5,400.0,2660
2023-05-12,404.0,440.0,392.0,433.0,12320
2023-05-15,441.0,441.0,405.0,438.0,4910
2023-05-16,416.5,440.0,416.5,439.5,600
2023-05-17,442.0,454.5,428.0,453.5,1750
2023-05-18,456.5,457.5,437.0,451.5,800
2023-05-19,441.5,454.0,441.5,454.0,420
2023-05-22,458.0,472.0,418.0,419.5,3440
2023-05-23,428.5,429.0,391.5,396.0,1640
2023-05-24,404.0,430.0,390.0,427.5,10550
2023-05-25,429.5,441.5,404.5,427.0,3460
2023-05-26,428.0,429.5,410.0,424.5,1380
2023-05-29,414.5,434.5,414.5,421.0,1560
2023-05-30,425.5,430.0,412.5,424.5,2260
2023-05-31,415.0,417.5,404.0,410.0,3420
2023-06-01,406.5,427.5,402.5,409.5,2670
2023-06-02,406.0,423.0,402.0,410.0,2830
2023-06-05,405.0,420.0,400.0,408.0,1400
2023-06-06,406.5,418.5,403.0,418.5,820
2023-06-07,418.0,418.0,398.0,400.0,6320
2023-06-08,398.5,412.0,396.0,398.5,4030
2023-06-09,405.5,405.5,396.0,400.0,620
2023-06-13,408.5,409.5,399.0,402.0,810
2023-06-14,404.5,407.0,401.5,403.5,390
2023-06-15,404.5,411.0,403.5,406.5,780
2023-06-16,412.5,413.5,405.0,409.0,1090
2023-06-19,417.5,420.5,401.0,409.0,1680
2023-06-20,411.0,420.0,407.0,420.0,1460
2023-06-21,441.0,453.5,410.0,430.0,11450
2023-06-22,428.5,440.0,428.5,439.0,3190
2023-06-23,433.0,438.5,406.5,433.0,3090
2023-06-26,423.0,428.0,411.0,420.0,1410
2023-06-27,460.0,460.0,410.0,434.0,2260
2023-06-28,440.0,440.0,410.5,417.0,6670
2023-06-29,421.0,423.5,405.0,413.0,4540
2023-06-30,413.0,425.0,409.5,422.0,1660
2023-07-03,421.0,434.5,410.0,414.0,6540
2023-07-04,411.5,414.5,410.0,410.5,550
2023-07-05,414.0,423.5,410.0,420.0,2570
2023-07-06,418.0,427.5,415.5,423.5,580
2023-07-07,424.0,429.5,418.5,418.5,1860
2023-07-10,417.5,460.0,414.5,434.0,9470
2023-07-11,434.0,448.0,428.0,437.0,5010
2023-07-12,439.5,444.5,435.0,442.0,620
2023-07-13,438.5,441.5,432.5,441.0,710
2023-07-14,436.0,437.5,430.0,435.5,880
2023-07-17,428.5,435.0,423.5,426.5,3390
2023-07-18,431.0,432.5,424.5,430.5,3290
2023-07-19,440.0,450.0,426.0,435.0,5900
2023-07-20,435.0,448.5,433.0,440.0,1020
2023-07-21,441.0,441.0,430.0,437.5,1020
2023-07-24,472.5,539.5,430.0,440.0,65590
2023-07-25,452.0,455.0,440.5,449.0,7940
2023-07-26,442.5,454.0,442.5,447.5,1680
2023-07-27,447.5,453.5,443.0,450.0,4190
2023-07-28,450.0,457.0,445.0,454.5,7270
2023-07-31,458.5,459.5,448.5,457.5,2820
2023-08-01,458.5,469.5,457.5,467.0,3880
2023-08-02,475.5,482.0,458.5,477.0,7000
2023-08-03,478.0,479.0,452.0,478.5,11260
2023-08-04,479.5,487.0,460.0,465.5,9240
2023-08-07,461.5,479.0,461.5,475.0,5400
2023-08-08,478.0,478.0,442.0,459.0,8560
2023-08-09,458.5,466.5,451.5,460.0,5250
2023-08-10,466.5,475.0,455.5,462.0,4440
2023-08-11,465.5,473.0,462.0,463.5,2690
2023-08-14,463.0,470.0,453.0,453.0,1730
2023-08-15,440.5,463.5,434.0,455.5,5690
2023-08-16,455.0,461.5,437.0,446.5,3310
2023-08-17,459.0,467.5,453.0,459.0,2110
2023-08-18,453.0,467.5,445.0,450.0,6130
2023-08-21,455.5,464.5,447.0,460.5,3550
2023-08-22,463.0,463.5,457.5,461.0,580
2023-08-23,456.0,468.0,455.0,455.0,3330
2023-08-24,457.0,460.5,453.0,454.5,1340
2023-08-25,462.5,520.0,456.0,495.0,42850
2023-08-28,499.5,530.0,485.5,496.5,20710
2023-08-29,502.0,503.0,486.5,496.0,5680
2023-08-30,497.5,502.0,486.0,491.0,4920
2023-08-31,492.0,498.5,482.5,488.5,5230
2023-09-01,493.0,500.0,490.0,499.5,7620
2023-09-04,502.0,510.0,501.0,507.5,3380
2023-09-05,513.0,513.0,482.5,508.0,4860
2023-09-06,506.0,540.0,491.0,534.0,14430
2023-09-07,541.0,728.0,541.0,596.0,181630
2023-09-08,629.0,699.5,548.0,695.0,76000
2023-09-11,709.0,709.0,642.0,663.5,32980
2023-09-12,658.5,658.5,486.0,628.0,50670
2023-09-13,628.0,645.0,598.0,609.5,6250
2023-09-14,600.0,600.0,496.0,547.0,19370
2023-09-15,543.0,584.0,521.5,574.0,8240
2023-09-18,574.0,600.0,562.5,575.5,6010
2023-09-19,591.5,605.0,520.0,543.5,4780
2023-09-20,547.5,551.0,501.5,532.0,4760
2023-09-21,518.0,564.5,511.0,552.5,3800
2023-09-22,553.5,582.0,524.0,557.5,3470
2023-09-25,559.5,580.0,540.0,562.5,6420
2023-09-26,562.5,575.0,540.0,561.0,5570
2023-09-27,558.5,571.0,554.5,559.5,2550
2023-09-28,564.5,575.0,543.5,570.0,4130
2023-09-29,560.5,570.0,560.5,570.0,3360
2023-10-02,575.0,580.0,564.0,575.0,4340
2023-10-03,572.0,577.0,550.5,560.0,2480
2023-10-04,553.0,578.0,538.0,557.5,12970
2023-10-05,557.5,588.5,552.0,574.5,4660
2023-10-06,575.0,578.0,555.5,560.5,2680
2023-10-09,569.0,582.0,560.5,574.5,4200
2023-10-10,578.5,587.0,563.0,563.0,7710
2023-10-11,569.5,665.0,553.5,612.0,47110
2023-10-12,612.0,612.0,579.0,612.0,9660
2023-10-13,629.5,629.5,592.5,603.5,8570
2023-10-16,629.0,629.0,603.5,619.0,7130
2023-10-17,619.5,638.0,607.0,621.5,5950
2023-10-18,631.5,631.5,613.5,629.0,5330
2023-10-19,622.0,640.0,612.5,621.0,5890
2023-10-20,628.0,635.5,613.5,618.5,2260
2023-10-23,622.5,625.5,571.0,612.5,7810
2023-10-24,594.0,631.5,594.0,611.5,6750
2023-10-25,615.5,630.0,600.5,617.0,10120
