TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,0.0259,0.02615,0.02585,0.02615,77380000
2023-01-04,0.0262,0.02635,0.02595,0.02625,104600000
2023-01-05,0.02665,0.0279,0.026,0.027,409760000
2023-01-06,0.0274,0.0277,0.0263,0.02675,201120000
2023-01-09,0.027,0.0275,0.0267,0.02715,216710000
2023-01-10,0.02715,0.0274,0.0265,0.02715,244600000
2023-01-11,0.02725,0.02965,0.02705,0.02895,822940000
2023-01-12,0.0294,0.0304,0.02825,0.0292,1047560000
2023-01-13,0.0293,0.0296,0.0285,0.02935,260860000
2023-01-16,0.02985,0.03,0.02815,0.02885,279260000
2023-01-17,0.029,0.0297,0.02755,0.02805,560110000
2023-01-18,0.0281,0.02855,0.0272,0.02825,243450000
2023-01-19,0.0285,0.0285,0.02745,0.02765,210260000
2023-01-20,0.02825,0.0309,0.0278,0.0287,1903340000
2023-01-23,0.02925,0.02925,0.02755,0.02865,451200000
2023-01-24,0.0284,0.03015,0.0284,0.02985,938070000
2023-01-25,0.03005,0.0305,0.029,0.0297,357200000
2023-01-26,0.03025,0.03025,0.02935,0.0298,287690000
2023-01-27,0.0298,0.03275,0.0298,0.0316,1606730000
2023-01-30,0.0316,0.032,0.03045,0.0311,615530000
2023-01-31,0.03115,0.0325,0.03075,0.0313,387110000
2023-02-01,0.0319,0.032,0.0306,0.03085,178790000
2023-02-02,0.0306,0.0311,0.03005,0.0306,201760000
2023-02-03,0.03105,0.03105,0.02975,0.03035,246480000
2023-02-06,0.0301,0.0322,0.0301,0.0311,459830000
2023-02-07,0.03125,0.0319,0.02815,0.02985,796910000
2023-02-08,0.0303,0.03045,0.02965,0.02985,364170000
2023-02-09,0.03015,0.03015,0.0292,0.02995,287780000
2023-02-10,0.02995,0.03095,0.0297,0.0302,501840000
2023-02-13,0.0306,0.03145,0.0295,0.0305,383300000
2023-02-14,0.0306,0.0318,0.0297,0.03095,797780000
2023-02-15,0.03095,0.03115,0.02855,0.02865,359890000
2023-02-16,0.029,0.02965,0.0289,0.029,163510000
2023-02-17,0.0294,0.02955,0.0289,0.02945,160460000
2023-02-20,0.0295,0.02965,0.02865,0.0291,181940000
2023-02-21,0.0287,0.02965,0.0287,0.0296,97550000
2023-02-22,0.02975,0.03195,0.0294,0.0301,578890000
2023-02-24,0.03055,0.03055,0.03005,0.03025,50680000
2023-02-27,0.02995,0.0306,0.02995,0.0304,104580000
2023-02-28,0.0303,0.03065,0.02995,0.03015,250220000
2023-03-01,0.02995,0.0303,0.02995,0.03015,135540000
2023-03-02,0.0301,0.0311,0.02925,0.0297,469580000
2023-03-03,0.02955,0.03015,0.02955,0.03,92570000
2023-03-06,0.0302,0.0304,0.0299,0.0303,289790000
2023-03-07,0.0304,0.032,0.0302,0.03095,1029270000
2023-03-09,0.03135,0.03335,0.0305,0.03175,2238800000
2023-03-10,0.0317,0.03205,0.0311,0.03165,483940000
2023-03-13,0.03185,0.0322,0.0311,0.0314,365060000
2023-03-14,0.03175,0.03175,0.03125,0.0315,105560000
2023-03-15,0.0316,0.0324,0.03115,0.0313,230520000
2023-03-16,0.03155,0.03155,0.0305,0.031,157060000
2023-03-17,0.0309,0.03185,0.0307,0.0316,270750000
2023-03-20,0.0316,0.032,0.0314,0.03185,205230000
2023-03-21,0.03185,0.03285,0.03185,0.032,488740000
2023-03-22,0.032,0.03255,0.03145,0.03175,530360000
2023-03-23,0.0318,0.03235,0.0317,0.0319,225410000
2023-03-24,0.0319,0.03205,0.0318,0.03185,80400000
2023-03-27,0.03205,0.0325,0.0319,0.0324,137960000
2023-03-28,0.03255,0.03275,0.0318,0.0327,273140000
2023-03-29,0.03255,0.0331,0.03215,0.03275,181020000
2023-03-30,0.0327,0.03375,0.0325,0.03345,290050000
