TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,1.028,1.028,1.0045,1.006,13930000
2023-01-04,1.0005,1.018,0.994,1.001,19016000
2023-01-05,0.929,0.944,0.925,0.9325,28838000
2023-01-06,0.933,0.94,0.9195,0.9235,11071000
2023-01-09,0.929,0.9315,0.923,0.9305,4890000
2023-01-10,0.9225,0.9315,0.915,0.931,4608000
2023-01-11,0.9315,0.953,0.9215,0.949,19326000
2023-01-12,0.954,0.985,0.941,0.95,27092000
2023-01-13,0.953,0.955,0.94,0.946,5518000
2023-01-16,0.9595,0.9595,0.946,0.9515,3432000
2023-01-17,0.952,0.96,0.935,0.9415,9102000
2023-01-18,0.94,0.947,0.938,0.941,2480000
2023-01-19,0.941,0.945,0.924,0.9345,3786000
2023-01-20,0.9315,0.961,0.9305,0.942,12245000
2023-01-23,0.946,0.955,0.93,0.9495,5805000
2023-01-24,0.951,0.968,0.9495,0.963,18674000
2023-01-25,0.963,0.969,0.9495,0.9675,13196000
2023-01-26,0.965,0.97,0.954,0.957,2735000
2023-01-27,0.964,0.964,0.9525,0.958,2943000
2023-01-30,0.96,0.9605,0.952,0.9545,5947000
2023-01-31,0.9525,0.962,0.9525,0.957,5192000
2023-02-01,0.9585,0.9665,0.9535,0.9535,6753000
2023-02-02,0.957,0.9605,0.9525,0.9545,3435000
2023-02-03,0.955,0.956,0.935,0.9505,4815000
2023-02-06,0.955,0.957,0.9475,0.951,4554000
2023-02-07,0.9515,0.954,0.9475,0.9505,3180000
2023-02-08,0.954,0.97,0.948,0.959,14874000
2023-02-09,0.961,0.969,0.9575,0.9585,7858000
2023-02-10,0.9595,0.9745,0.952,0.972,5638000
2023-02-13,0.974,0.993,0.972,0.98,13657000
2023-02-14,0.987,0.987,0.9625,0.9675,6812000
2023-02-15,0.9645,0.9645,0.9375,0.94,7561000
2023-02-16,0.94,0.9475,0.94,0.943,2880000
2023-02-17,0.955,0.955,0.9405,0.945,2684000
2023-02-20,0.951,0.951,0.9415,0.947,2250000
2023-02-21,0.954,0.96,0.9375,0.952,5545000
2023-02-22,0.954,0.978,0.954,0.9615,5257000
2023-02-24,0.9685,0.977,0.963,0.971,3491000
2023-02-27,0.9695,0.991,0.9555,0.977,7115000
2023-02-28,0.984,0.991,0.976,0.984,7449000
2023-03-01,0.9845,0.993,0.979,0.9895,7016000
2023-03-02,0.9835,0.994,0.9595,0.9775,6684000
2023-03-03,0.98,0.9935,0.9775,0.993,4172000
2023-03-06,0.993,1.007,0.979,1.0065,8553000
2023-03-07,1.008,1.0085,0.98,1.002,4677000
2023-03-09,1.0015,1.0065,1.0,1.006,3220000
2023-03-10,1.0095,1.0095,0.9865,0.9995,4966000
2023-03-13,0.9925,1.0095,0.99,0.995,3737000
2023-03-14,0.9945,0.9945,0.98,0.985,4935000
2023-03-15,0.9895,0.993,0.971,0.9795,3113000
2023-03-16,0.975,0.985,0.97,0.9715,3873000
2023-03-17,0.977,0.984,0.97,0.9815,2333000
2023-03-20,0.9845,0.9855,0.9645,0.985,8635000
2023-03-21,0.985,1.025,0.985,0.997,16186000
2023-03-22,0.998,1.01,0.982,0.998,6591000
2023-03-23,1.018,1.028,0.9875,0.992,23394000
2023-03-24,0.989,1.0,0.977,0.986,17561000
2023-03-27,0.988,0.9955,0.9855,0.9945,6526000
2023-03-28,0.996,1.03,0.98,1.0075,21649000
2023-03-29,1.015,1.114,1.01,1.045,33311000
2023-03-30,1.0635,1.087,1.026,1.0395,29272000
2023-03-31,1.0455,1.047,1.022,1.0385,7151000
2023-04-03,1.039,1.061,1.023,1.034,21362000
2023-04-04,1.0385,1.0485,1.023,1.0235,16204000
2023-04-05,1.024,1.05,1.011,1.0355,25963000
2023-04-06,1.033,1.0415,1.016,1.024,24435000
2023-04-07,1.025,1.075,1.0195,1.0225,38053000
2023-04-10,1.043,1.0725,1.026,1.043,41031000
2023-04-11,1.049,1.07,1.02,1.0265,34796000
2023-04-12,1.035,1.077,1.02,1.027,29746000
2023-04-13,1.047,1.047,1.01,1.0205,27228000
2023-04-14,1.0215,1.04,1.0205,1.028,8391000
2023-04-17,1.034,1.04,1.0205,1.03,24481000
2023-04-18,1.03,1.049,1.021,1.026,22099000
2023-04-19,1.025,1.049,1.0215,1.0415,43563000
2023-04-20,1.03,1.052,1.026,1.034,33935000
2023-04-21,1.035,1.04,1.0215,1.0275,32463000
2023-04-24,1.0305,1.0645,1.023,1.063,81729000
2023-04-25,1.067,1.0865,1.05,1.079,71608000
2023-04-26,1.0805,1.108,1.066,1.0895,67109000
2023-04-27,1.095,1.113,1.075,1.087,74031000
2023-04-28,1.087,1.113,1.072,1.091,31403000
2023-05-02,1.099,1.1195,1.037,1.066,41562000
2023-05-03,1.051,1.084,1.025,1.036,31201000
2023-05-04,1.038,1.055,1.028,1.04,7782000
2023-05-05,1.0555,1.058,1.0305,1.035,12665000
2023-05-08,1.044,1.044,1.0305,1.035,4093000
2023-05-10,1.0425,1.0765,1.033,1.072,14508000
2023-05-11,1.072,1.09,1.06,1.0705,22482000
