TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,143.4,151.0,141.2,151.0,1274580
2023-01-04,150.5,151.6,146.0,149.55,807000
2023-01-05,150.5,150.5,147.0,147.8,403230
2023-01-06,148.0,154.5,147.2,147.85,2695240
2023-01-09,147.85,149.95,146.3,148.7,710340
2023-01-10,148.1,148.6,145.1,146.3,534420
2023-01-11,146.3,148.1,145.4,146.0,462650
2023-01-12,147.8,148.0,146.0,146.9,382130
2023-01-13,146.5,147.8,145.85,146.05,442900
2023-01-16,146.45,150.5,146.0,149.2,716350
2023-01-17,149.6,152.75,146.25,147.5,595190
2023-01-18,148.0,149.0,146.7,148.6,307900
2023-01-19,148.6,148.6,147.0,147.45,305490
2023-01-20,146.5,148.2,146.2,147.65,198360
2023-01-23,148.6,149.45,145.8,146.9,418900
2023-01-24,147.95,147.95,146.4,147.1,343270
2023-01-25,148.35,148.35,146.0,147.35,169540
2023-01-26,147.05,153.5,147.05,153.35,1098280
2023-01-27,154.45,165.0,154.0,160.0,2604390
2023-01-30,161.8,163.5,157.0,157.95,622690
2023-01-31,157.95,159.7,154.75,156.25,431250
2023-02-01,157.0,160.15,155.55,159.85,619570
2023-02-02,160.4,166.6,160.4,166.0,1476150
2023-02-03,166.0,166.0,161.0,163.65,659310
2023-02-06,163.5,167.0,162.1,164.0,726370
2023-02-07,164.75,167.6,162.15,163.95,566660
2023-02-08,163.9,166.0,158.1,160.05,919910
2023-02-09,160.1,161.6,158.5,161.0,372560
2023-02-10,162.0,162.0,158.7,160.0,295790
2023-02-13,160.2,161.75,159.2,159.9,210750
2023-02-14,159.9,159.9,154.05,157.05,790130
2023-02-15,156.2,156.8,146.7,148.0,1122440
2023-02-16,147.25,154.0,146.6,154.0,1088850
2023-02-17,153.0,153.75,147.1,151.1,490940
2023-02-20,152.25,152.25,148.2,151.25,283360
2023-02-21,150.05,159.5,150.05,157.0,703740
2023-02-22,157.2,157.2,154.4,156.95,216600
2023-02-24,155.4,158.6,155.4,156.9,209980
2023-02-27,156.85,167.5,156.05,164.9,2090630
2023-02-28,164.25,168.5,164.25,166.8,1324910
2023-03-01,166.8,169.1,164.5,165.3,811650
2023-03-02,165.8,165.8,158.5,162.0,901160
2023-03-03,162.0,165.9,161.5,165.9,322070
2023-03-06,165.7,167.75,165.35,166.05,382640
2023-03-07,166.35,171.5,164.95,171.5,1170450
2023-03-09,171.6,173.6,169.1,172.9,777510
2023-03-10,172.5,173.2,169.35,172.3,692710
2023-03-13,173.3,175.2,167.0,168.8,1203680
2023-03-14,169.45,170.8,158.7,165.3,4061870
2023-03-15,165.9,167.85,162.3,163.05,814490
2023-03-16,163.05,165.8,160.6,165.2,959450
2023-03-17,166.0,167.0,164.15,165.75,687890
2023-03-20,165.8,173.3,165.05,171.35,1339410
2023-03-21,169.1,171.85,163.6,167.7,1534950
2023-03-22,167.7,169.0,165.8,167.5,389530
2023-03-23,168.4,168.5,164.65,165.85,788090
2023-03-24,166.2,166.2,163.75,165.55,562010
2023-03-27,165.6,168.35,164.8,168.0,565910
2023-03-28,168.8,174.05,164.25,173.75,2003110
2023-03-29,174.2,177.9,171.3,173.35,1929860
2023-03-30,173.3,176.0,171.5,174.15,786210
2023-03-31,174.35,174.7,170.0,172.3,715190
2023-04-03,173.0,174.65,171.2,173.5,553470
2023-04-04,173.5,175.2,169.05,169.5,1066440
2023-04-05,169.5,169.5,164.15,169.35,954970
2023-04-06,169.35,173.0,167.85,169.65,577990
2023-04-07,169.75,172.3,169.2,172.3,564290
2023-04-10,172.3,174.9,172.0,174.0,1003740
2023-04-11,174.85,183.0,173.7,179.35,4303140
2023-04-12,179.45,184.9,177.85,184.75,1355670
2023-04-13,184.95,192.45,184.65,192.35,2476400
2023-04-14,194.0,194.0,189.15,192.6,804200
2023-04-17,192.7,210.0,192.7,209.1,3133290
