TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,236.45,236.8,235.0,235.35,277380
2023-01-04,235.35,236.7,234.25,236.5,338300
2023-01-05,236.7,236.9,235.0,236.15,308920
2023-01-06,236.2,236.6,235.4,236.5,182140
2023-01-09,236.65,238.8,235.5,237.7,1225110
2023-01-10,237.9,237.9,234.45,237.3,636220
2023-01-11,237.0,240.5,236.15,240.0,869040
2023-01-12,240.0,240.0,238.35,239.0,1054810
2023-01-13,239.4,239.5,238.4,239.2,1247260
2023-01-16,239.5,242.65,235.35,242.2,1457080
2023-01-17,242.3,242.3,238.7,238.7,609190
2023-01-18,238.7,239.5,237.1,237.6,591980
2023-01-19,237.6,239.3,235.8,237.0,1238830
2023-01-20,236.95,240.4,235.8,239.9,1148950
2023-01-23,241.5,241.5,238.75,239.85,735030
2023-01-24,240.5,240.5,237.9,239.0,1058130
2023-01-25,239.0,241.0,237.9,240.5,1097930
2023-01-26,240.8,241.0,237.4,240.0,1322280
2023-01-27,240.8,242.3,239.85,242.15,1177910
2023-01-30,242.2,245.0,241.5,244.9,1215170
2023-01-31,245.2,249.95,243.3,249.65,1246950
2023-02-01,250.0,252.8,248.15,251.75,1075530
2023-02-02,252.0,257.95,248.85,256.1,1829040
2023-02-03,256.35,256.6,252.0,255.2,1216060
2023-02-06,254.8,260.0,253.4,259.2,1379370
2023-02-07,259.35,263.2,259.35,261.05,1497380
2023-02-08,262.0,265.0,259.5,260.7,1660920
2023-02-09,260.75,263.3,255.15,256.85,1956740
2023-02-10,256.1,258.45,254.1,257.65,753210
2023-02-13,257.65,260.8,255.05,259.2,802540
2023-02-14,259.4,259.5,252.5,252.55,1330910
2023-02-15,252.25,252.4,241.25,244.2,2118190
2023-02-16,244.2,249.45,243.0,247.35,1982810
2023-02-17,248.8,250.95,244.4,249.4,1004070
2023-02-20,249.8,250.05,242.5,246.7,1089140
2023-02-21,246.7,252.35,246.7,251.0,1210020
2023-02-22,251.7,252.4,248.3,250.8,814220
2023-02-24,250.8,251.75,248.85,251.15,533790
2023-02-27,247.55,255.15,246.3,254.1,930300
2023-02-28,254.2,260.15,254.2,260.15,1626230
2023-03-01,260.4,261.0,257.0,259.1,1691860
2023-03-02,259.1,259.25,252.45,254.55,1727670
2023-03-03,255.0,261.0,254.1,259.65,2450440
2023-03-06,259.65,261.0,257.55,258.4,1330000
2023-03-07,258.9,259.5,256.5,257.65,997380
2023-03-09,257.55,258.3,256.15,257.15,686250
2023-03-10,257.05,258.8,255.2,257.7,836800
2023-03-13,257.7,258.3,254.25,256.65,1733850
2023-03-14,255.55,257.5,255.0,255.9,841270
2023-03-15,256.5,257.0,248.65,249.95,1564130
2023-03-16,250.9,251.4,245.05,247.9,2861000
2023-03-17,248.9,248.9,245.75,248.1,2549570
2023-03-20,248.55,252.8,246.5,251.8,2273280
2023-03-21,251.55,256.85,250.5,255.25,2411990
2023-03-22,256.0,256.6,253.55,254.4,1405600
2023-03-23,254.4,255.0,252.75,254.4,869630
2023-03-24,254.5,254.6,250.55,252.75,1291790
2023-03-27,253.1,258.0,250.7,256.85,2723060
2023-03-28,257.25,259.3,254.75,257.6,2748330
2023-03-29,258.0,258.45,256.05,257.95,1725570
2023-03-30,258.0,259.95,257.05,259.3,2222430
2023-03-31,259.3,259.3,254.2,257.85,1917040
2023-04-03,258.0,258.85,256.6,258.0,2108850
2023-04-04,258.0,258.25,253.7,254.75,3158640
2023-04-05,255.25,255.4,251.8,254.95,1304830
2023-04-06,255.4,258.0,254.7,255.75,2017160
2023-04-07,256.9,258.0,254.45,257.5,1410680
2023-04-10,258.1,259.3,257.05,259.25,2063740
2023-04-11,259.0,263.3,255.4,257.0,4611770
2023-04-12,258.55,262.95,257.0,261.25,2768440
2023-04-13,261.25,263.5,257.9,260.4,2029460
2023-04-14,260.9,261.3,258.4,260.05,1821130
2023-04-17,260.15,264.5,260.05,261.0,2935230
2023-04-18,262.35,265.5,261.0,265.4,2329050
2023-04-19,265.4,272.25,264.0,266.7,4934990
2023-04-20,267.3,270.4,261.3,268.35,2595190
2023-04-21,269.9,269.9,265.0,266.4,1261920
2023-04-24,266.4,270.5,265.45,269.25,2194260
2023-04-25,269.5,271.4,267.0,271.3,1367800
2023-04-26,271.4,274.0,270.6,272.9,1919570
2023-04-27,272.9,274.15,270.05,273.65,1294110
2023-04-28,274.0,274.05,270.3,272.15,968120
2023-05-02,273.75,276.5,265.55,270.7,2866780
2023-05-03,270.7,271.25,264.5,265.05,3435030
2023-05-04,266.6,269.85,265.4,268.8,1517270
2023-05-05,268.8,269.9,266.0,266.1,1017040
2023-05-08,267.2,267.7,262.4,263.6,770210
2023-05-10,263.6,274.0,262.55,272.65,2205490
2023-05-11,273.85,278.1,265.6,272.5,3392880
2023-05-12,272.5,276.65,270.0,276.4,1750420
2023-05-15,278.8,288.0,277.65,287.1,8177650
2023-05-16,288.0,295.55,285.95,293.8,5662730
2023-05-17,294.8,295.0,290.55,293.1,2730840
2023-05-18,294.0,314.95,290.75,313.55,16911330
2023-05-19,313.0,313.0,305.6,308.0,8635080
2023-05-22,309.0,309.75,301.5,305.3,4137400
2023-05-23,305.85,308.0,301.65,306.85,3784070
2023-05-24,307.0,308.6,305.0,306.2,2768890
2023-05-25,306.9,306.9,303.65,306.4,2679680
2023-05-26,306.05,308.15,306.05,308.0,2515550
2023-05-29,309.35,314.9,308.75,313.65,5181420
2023-05-30,312.65,319.95,311.05,316.6,6242340
2023-05-31,317.0,318.75,313.65,317.1,4090620
2023-06-01,317.5,319.0,315.65,317.35,2816470
2023-06-02,319.45,327.0,317.5,326.85,9258900
2023-06-05,330.0,333.7,325.0,329.6,8725580
2023-06-06,329.0,329.6,325.4,327.95,5241540
2023-06-07,328.9,328.95,325.05,326.6,3204630
2023-06-08,326.5,327.2,323.25,324.8,3302150
2023-06-09,324.8,329.35,324.4,328.9,3548690
2023-06-13,330.0,331.95,328.5,330.5,3925980
2023-06-14,331.45,331.55,326.45,330.3,2867950
2023-06-15,331.0,337.35,330.0,336.55,6706180
