TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,160.3,167.0,160.3,166.2,288251
2023-01-04,166.1,174.2,164.5,173.5,644605
2023-01-05,174.0,175.0,168.8,169.7,499676
2023-01-06,170.0,170.3,166.0,167.0,173232
2023-01-09,167.0,172.6,167.0,170.5,319077
2023-01-10,170.5,171.2,168.1,169.9,71463
2023-01-11,170.7,172.4,169.4,171.0,150714
2023-01-12,172.0,174.0,169.9,171.3,214128
2023-01-13,172.9,172.9,169.0,170.9,139974
2023-01-16,171.0,176.8,169.4,175.6,427138
2023-01-17,177.0,181.9,174.5,177.8,757143
2023-01-18,177.8,183.7,171.6,177.7,959896
2023-01-19,177.5,179.0,172.8,174.0,319999
2023-01-20,173.9,174.6,172.1,172.7,146724
2023-01-23,173.8,180.3,172.0,179.3,772148
2023-01-24,179.8,181.1,176.4,177.5,436291
2023-01-25,177.5,177.5,174.2,175.8,189732
2023-01-26,176.2,177.0,174.0,174.0,114934
2023-01-27,174.8,177.3,174.1,175.8,200427
2023-01-30,175.8,177.5,175.1,175.1,149191
2023-01-31,175.1,178.6,175.0,177.7,260934
2023-02-01,178.9,184.8,177.5,180.5,764898
2023-02-02,180.5,184.4,180.3,182.3,281558
2023-02-03,182.5,183.2,178.2,180.4,226681
2023-02-06,180.5,183.5,179.9,182.3,189837
2023-02-07,183.0,183.4,180.0,181.6,185915
2023-02-08,182.4,190.0,180.2,185.3,966112
2023-02-09,185.4,191.0,185.3,187.8,436879
2023-02-10,188.7,188.7,185.2,187.0,176824
2023-02-13,187.2,190.9,186.0,187.5,134145
2023-02-14,186.9,187.7,181.0,181.5,484574
2023-02-15,181.8,182.3,172.0,173.8,373364
2023-02-16,175.5,177.0,172.0,172.6,343721
2023-02-17,172.0,173.4,167.2,172.3,283979
2023-02-20,172.1,174.5,170.1,173.6,166580
2023-02-21,174.7,180.0,173.5,175.6,181159
2023-02-22,175.8,177.8,174.4,175.3,76805
2023-02-24,175.8,177.6,174.7,175.9,45873
2023-02-27,175.0,181.4,174.6,179.5,304433
2023-02-28,179.7,181.4,178.0,179.1,122572
2023-03-01,180.0,183.7,179.1,182.2,246695
2023-03-02,182.2,183.3,176.2,179.3,344417
2023-03-03,179.1,180.9,178.3,179.9,139489
2023-03-06,179.9,183.7,177.6,181.4,401000
2023-03-07,182.6,186.9,180.8,184.0,613769
2023-03-09,184.0,184.8,179.5,182.1,326735
2023-03-10,182.0,183.6,180.2,181.8,117876
2023-03-13,181.9,185.0,180.0,182.9,371963
2023-03-14,182.9,183.8,181.5,182.7,229007
2023-03-15,182.7,183.5,177.5,180.5,245779
2023-03-16,180.5,181.0,177.2,179.8,135342
2023-03-17,178.8,181.0,178.5,178.9,202970
2023-03-20,178.9,181.8,178.5,181.8,430556
2023-03-21,182.0,182.4,179.1,179.9,340352
2023-03-22,180.0,180.7,178.5,179.9,130943
2023-03-23,178.8,179.9,178.2,178.8,155449
2023-03-24,178.1,180.5,177.5,178.3,167642
2023-03-27,190.0,192.9,182.0,189.4,3079961
2023-03-28,190.0,191.8,184.0,188.0,995730
2023-03-29,189.9,191.2,187.5,190.6,622923
2023-03-30,191.0,195.9,188.5,195.3,1333282
2023-03-31,195.9,196.3,189.3,191.8,890043
2023-04-03,192.9,194.5,189.5,190.3,649021
2023-04-04,191.5,193.3,188.6,191.5,557935
2023-04-05,191.5,191.5,187.0,188.0,556010
2023-04-06,187.4,189.7,187.4,188.6,310948
2023-04-07,188.6,189.5,186.5,188.7,196886
2023-04-10,189.0,194.9,187.5,193.5,770826
2023-04-11,193.7,199.0,190.6,192.4,1177701
2023-04-12,192.2,195.3,190.2,193.9,494246
2023-04-13,193.9,195.1,190.1,192.1,303182
2023-04-14,192.5,194.0,190.3,192.0,263064
2023-04-17,192.9,195.0,192.6,194.0,370010
2023-04-18,194.1,194.8,192.0,193.8,344074
2023-04-19,194.0,198.0,190.9,193.5,870677
2023-04-20,193.5,195.0,191.7,194.4,315741
2023-04-21,194.5,195.9,193.5,194.2,272235
2023-04-24,194.0,205.9,193.4,205.9,1650157
2023-04-25,205.9,208.0,202.6,205.5,1425992
2023-04-26,206.5,209.4,203.4,207.4,1495945
2023-04-27,206.1,208.7,203.0,205.1,721772
2023-04-28,204.4,208.6,195.4,201.0,1399411
2023-05-02,200.0,200.9,188.5,190.7,1090896
2023-05-03,190.0,190.5,180.5,182.8,842117
2023-05-04,183.4,188.4,182.4,188.2,443887
2023-05-05,188.2,188.7,183.5,185.2,330226
2023-05-08,185.3,185.5,182.8,182.9,129325
2023-05-10,182.6,191.4,182.6,189.5,408307
2023-05-11,190.0,191.3,181.3,185.4,575965
2023-05-12,182.8,187.5,182.8,186.8,170053
2023-05-15,187.0,194.0,187.0,193.4,398262
2023-05-16,193.4,195.9,190.3,191.7,510523
2023-05-17,192.1,195.7,191.9,194.3,393537
2023-05-18,193.7,195.3,191.6,193.9,251817
2023-05-19,193.5,193.8,187.8,190.1,326826
2023-05-22,190.8,195.3,190.3,193.4,433127
2023-05-23,194.1,194.6,190.0,192.3,316648
2023-05-24,191.2,192.3,186.2,188.2,882996
2023-05-25,188.2,189.2,186.0,188.8,235235
2023-05-26,188.4,191.2,187.8,188.7,346094
2023-05-29,188.6,192.2,188.6,191.3,344196
2023-05-30,190.8,200.0,189.3,190.1,1234293
2023-05-31,190.9,191.8,187.2,190.3,336438
2023-06-01,190.3,190.7,188.3,188.6,125146
2023-06-02,188.4,191.2,188.2,190.2,194911
2023-06-05,190.6,197.8,187.3,188.2,1664974
2023-06-06,187.9,189.0,183.6,188.7,436936
2023-06-07,189.2,191.7,188.2,189.8,288616
2023-06-08,190.0,190.4,187.6,189.7,348225
2023-06-09,189.9,190.2,187.5,187.7,343655
2023-06-13,189.0,191.7,188.0,190.7,481240
2023-06-14,190.1,191.5,189.0,191.0,270066
2023-06-15,191.4,194.0,191.0,193.7,565845
2023-06-16,194.0,195.4,190.8,192.5,428820
