TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,73.5,75.3,73.5,74.96,143700
2023-01-04,74.7,75.44,74.7,74.94,138840
2023-01-05,74.94,75.12,73.46,73.7,139490
2023-01-06,74.36,74.36,73.06,73.92,72140
2023-01-09,74.58,76.88,73.84,75.06,753140
2023-01-10,76.04,76.36,74.8,75.2,166340
2023-01-11,75.8,76.32,75.46,76.32,175110
2023-01-12,76.4,76.42,75.5,75.52,112800
2023-01-13,75.5,76.18,75.3,76.0,93220
2023-01-16,76.34,76.36,75.8,76.2,127650
2023-01-17,76.34,76.36,75.22,75.22,119590
2023-01-18,75.22,76.32,74.9,75.8,121170
2023-01-19,75.7,75.76,74.78,75.0,109540
2023-01-20,75.38,75.38,74.14,74.96,143360
2023-01-23,75.2,76.9,74.82,75.58,211240
2023-01-24,76.0,85.26,75.46,80.4,6965580
2023-01-25,82.42,83.5,76.56,76.62,2205680
2023-01-26,76.8,81.0,76.6,77.6,1536590
2023-01-27,78.5,78.82,77.2,77.78,375400
2023-01-30,78.3,81.44,77.96,79.92,927410
2023-01-31,80.44,82.0,79.82,79.98,475990
2023-02-01,80.0,81.8,79.9,80.68,350260
2023-02-02,80.7,81.26,79.94,80.54,247470
2023-02-03,81.0,81.0,78.48,79.9,421480
2023-02-06,80.5,82.18,79.18,81.56,681150
2023-02-07,81.6,85.88,81.6,83.84,2143550
2023-02-08,84.96,85.7,83.02,84.0,903500
2023-02-09,84.62,85.68,83.22,84.24,484440
2023-02-10,85.18,85.18,83.8,84.2,326020
2023-02-13,84.9,90.5,84.22,87.22,4327390
2023-02-14,88.8,90.86,86.08,87.06,3246190
2023-02-15,87.6,87.6,81.2,82.96,1175200
2023-02-16,83.0,84.9,81.62,82.44,517130
2023-02-17,82.46,85.78,80.2,82.34,952030
2023-02-20,83.3,84.44,81.0,83.72,476950
2023-02-21,84.28,84.68,82.0,83.96,311020
2023-02-22,83.98,85.6,83.92,85.12,418210
2023-02-24,85.48,86.84,84.82,84.98,310020
2023-02-27,84.12,87.0,81.04,85.0,477540
2023-02-28,85.6,86.32,85.04,85.44,310800
2023-03-01,85.76,86.38,85.54,86.08,243790
2023-03-02,87.0,87.3,84.9,85.46,556410
2023-03-03,85.72,86.9,85.12,86.8,219850
2023-03-06,87.08,89.2,87.02,88.66,574680
2023-03-07,88.72,90.82,88.22,90.1,727450
2023-03-09,90.8,91.1,89.8,90.0,289790
2023-03-10,90.0,90.9,89.32,89.82,393810
2023-03-13,90.66,90.72,89.0,89.8,362510
2023-03-14,90.0,90.32,89.46,90.32,215400
2023-03-15,90.32,90.36,88.6,89.34,289300
2023-03-16,89.34,89.4,86.28,87.4,689700
2023-03-17,87.62,90.46,87.62,89.66,660590
2023-03-20,89.86,90.62,89.3,89.8,385310
2023-03-21,89.82,90.6,89.34,90.2,349190
2023-03-22,90.3,90.86,89.5,90.58,326370
2023-03-23,89.98,94.5,89.86,93.16,1273080
2023-03-24,92.8,98.9,92.8,97.06,1986530
2023-03-27,97.5,98.1,95.22,95.74,814430
2023-03-28,95.9,96.08,91.18,93.24,1261780
2023-03-29,93.0,94.88,92.5,93.76,392190
2023-03-30,94.38,94.6,93.72,94.0,361820
2023-03-31,94.2,94.3,93.04,93.4,331620
2023-04-03,93.5,95.76,93.5,95.14,430100
2023-04-04,95.5,96.46,95.0,95.08,484780
2023-04-05,94.84,96.1,93.72,95.4,293350
2023-04-06,95.4,97.0,95.4,95.52,350390
2023-04-07,96.0,96.32,94.76,95.06,272290
2023-04-10,95.4,100.0,94.68,97.76,1389680
2023-04-11,98.0,98.92,94.12,96.18,902700
2023-04-12,96.18,99.6,96.02,96.8,1063050
2023-04-13,97.0,97.1,95.2,95.8,257350
2023-04-14,96.4,97.16,95.5,96.34,198490
2023-04-17,95.7,97.3,95.7,97.2,180480
2023-04-18,97.18,97.78,95.82,96.44,282460
2023-04-19,96.98,96.98,94.74,95.14,331150
2023-04-20,95.0,95.36,94.2,95.0,282290
2023-04-21,95.0,95.46,94.5,94.96,153140
2023-04-24,95.44,96.66,94.14,95.24,514270
2023-04-25,95.26,98.24,94.3,96.1,611550
2023-04-26,96.3,96.7,95.4,95.58,152800
2023-04-27,95.7,95.8,94.42,94.84,257320
2023-04-28,94.84,95.0,92.5,92.92,381890
2023-05-02,92.52,93.08,87.22,89.0,733580
2023-05-03,89.0,89.0,86.02,86.84,454570
2023-05-04,86.6,90.8,86.6,88.28,261180
2023-05-05,88.28,89.12,86.86,86.88,144150
2023-05-08,86.9,87.74,85.0,85.76,133440
2023-05-10,85.02,89.1,85.02,88.8,245060
2023-05-11,89.5,90.74,89.22,90.02,324350
2023-05-12,89.52,89.52,88.2,89.0,135750
2023-05-15,90.2,92.74,89.3,92.32,295240
2023-05-16,92.9,93.3,92.32,92.86,157440
2023-05-17,93.5,95.6,92.9,94.8,441670
2023-05-18,94.82,95.64,93.42,94.5,748420
2023-05-19,95.5,96.94,94.96,96.28,754120
2023-05-22,96.7,98.56,80.24,92.0,2933330
2023-05-23,92.0,92.0,88.74,89.8,540280
2023-05-24,89.8,93.0,88.74,89.9,563800
2023-05-25,90.46,92.18,89.9,91.88,508390
2023-05-26,91.9,92.56,82.02,82.2,3448880
2023-05-29,82.2,82.78,80.0,80.62,2002260
2023-05-30,80.72,82.86,80.22,80.7,728550
2023-05-31,81.5,81.5,79.72,80.14,502360
2023-06-01,80.2,80.64,78.24,78.68,807710
2023-06-02,78.1,79.4,78.1,79.22,317800
2023-06-05,79.3,81.28,79.1,80.04,818190
2023-06-06,80.04,80.04,78.36,79.7,467110
2023-06-07,79.6,81.4,79.6,80.18,388280
2023-06-08,80.3,84.5,80.3,83.3,1027230
2023-06-09,83.6,83.6,82.02,82.58,309530
2023-06-13,83.4,83.4,82.58,82.9,190430
2023-06-14,83.0,83.22,80.36,81.9,547720
2023-06-15,82.26,82.96,81.34,82.46,295180
2023-06-16,82.7,82.98,82.1,82.4,144700
2023-06-19,82.44,82.68,80.6,82.36,179330
2023-06-20,82.36,82.4,80.9,81.5,334290
2023-06-21,81.98,84.2,81.52,82.92,1053230
2023-06-22,83.26,83.8,82.92,83.12,292040
2023-06-23,83.0,83.0,82.0,82.24,206250
2023-06-26,82.06,86.5,80.8,83.64,2035870
2023-06-27,84.04,87.0,83.72,85.46,1257290
2023-06-28,86.0,89.18,84.82,88.4,2931410
2023-06-29,88.68,89.86,86.62,86.76,1260780
2023-06-30,87.04,88.16,85.6,85.7,779380
2023-07-03,86.34,87.18,85.64,85.84,378030
2023-07-04,86.5,86.5,81.7,84.36,528890
2023-07-05,84.36,86.48,82.9,86.02,1054640
