TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,84.15,85.25,83.75,84.85,29160
2023-01-04,85.2,85.45,84.65,85.4,24020
2023-01-05,85.5,87.5,84.2,84.85,77070
2023-01-06,85.3,86.2,84.1,84.9,26760
2023-01-09,86.1,96.5,85.1,88.65,852210
2023-01-10,88.65,91.75,88.1,89.8,134260
2023-01-11,90.3,92.15,89.8,91.25,67020
2023-01-12,91.2,92.35,87.2,88.3,169260
2023-01-13,88.4,90.7,87.25,88.85,60380
2023-01-16,90.0,90.0,88.9,89.7,37190
2023-01-17,89.1,90.1,89.05,89.3,23230
2023-01-18,89.7,89.95,88.1,88.8,31350
2023-01-19,88.9,88.9,87.15,88.0,30110
2023-01-20,88.0,92.0,87.85,89.35,137160
2023-01-23,91.3,92.45,89.15,90.2,88120
2023-01-24,92.15,124.1,90.8,113.95,8786830
2023-01-25,116.0,121.35,104.8,107.15,2853200
2023-01-26,107.0,109.95,101.1,102.65,1532300
2023-01-27,103.3,103.3,98.65,99.45,515720
2023-01-30,100.2,108.6,99.0,101.7,1192000
2023-01-31,101.7,103.8,100.0,101.55,286140
2023-02-01,102.0,104.0,101.0,101.5,288380
2023-02-02,101.5,102.95,101.0,101.9,115900
2023-02-03,102.5,104.95,101.75,102.0,243370
2023-02-06,104.0,108.6,101.45,103.75,1090180
2023-02-07,104.15,119.4,103.1,111.6,4279020
2023-02-08,114.2,116.5,110.0,111.65,1063000
2023-02-09,112.05,115.0,105.85,107.05,527190
2023-02-10,107.1,115.0,105.05,107.65,583250
2023-02-13,108.85,131.8,107.0,124.4,12826750
2023-02-14,127.0,148.0,127.0,139.2,19946910
2023-02-15,143.0,143.0,116.2,117.0,8877570
2023-02-16,110.75,119.1,110.15,111.45,1830950
2023-02-17,113.4,123.45,110.35,113.7,2560670
2023-02-20,115.9,116.05,107.05,110.9,783240
2023-02-21,111.0,112.6,110.45,111.9,312880
2023-02-22,112.3,117.95,111.7,113.0,974880
2023-02-24,114.0,115.5,112.7,113.6,263710
2023-02-27,111.6,116.75,110.2,115.35,490850
2023-02-28,115.95,121.75,115.4,117.2,752230
2023-03-01,119.0,120.5,117.3,119.3,447560
2023-03-02,119.45,119.55,113.2,115.85,420920
2023-03-03,115.95,118.75,115.95,117.05,227690
2023-03-06,118.7,120.0,117.2,118.75,405990
2023-03-07,118.85,127.3,118.5,119.75,2013570
2023-03-09,120.5,120.7,119.0,120.25,193720
2023-03-10,120.0,120.0,118.35,118.95,170210
2023-03-13,118.95,120.65,117.4,118.35,282000
2023-03-14,118.4,119.25,116.35,117.85,170770
2023-03-15,118.35,118.35,114.65,115.55,242880
2023-03-16,116.25,117.1,114.3,115.9,149310
2023-03-17,116.0,116.8,115.55,115.9,118480
2023-03-20,115.9,117.45,115.0,116.0,200420
2023-03-21,116.0,119.6,116.0,117.4,372640
2023-03-22,118.35,119.0,117.0,118.25,147780
2023-03-23,118.9,120.7,118.55,119.75,333610
2023-03-24,120.6,122.85,119.55,121.1,515770
2023-03-27,122.3,122.8,119.3,120.1,261810
2023-03-28,120.5,120.85,118.15,118.55,203770
2023-03-29,119.25,119.9,118.3,118.95,123420
2023-03-30,119.4,121.3,119.1,120.15,211020
2023-03-31,121.15,121.15,118.25,118.85,160140
2023-04-03,119.0,122.7,119.0,121.05,344910
2023-04-04,121.3,121.8,120.2,120.4,154370
2023-04-05,120.8,121.5,117.05,120.8,262210
2023-04-06,121.7,124.95,120.4,122.0,508750
2023-04-07,123.0,124.3,121.0,121.85,386490
2023-04-10,123.4,135.95,122.05,126.9,2709810
2023-04-11,127.3,133.0,115.5,123.0,1920130
2023-04-12,124.9,137.35,124.05,131.1,2573700
2023-04-13,131.5,131.7,124.2,126.05,640610
2023-04-14,126.8,127.8,123.3,126.8,380150
2023-04-17,127.5,128.0,126.15,126.8,200540
2023-04-18,127.25,127.3,125.05,125.6,163570
2023-04-19,125.9,125.9,121.45,122.9,266110
2023-04-20,122.9,123.55,120.0,123.3,213330
2023-04-21,124.5,125.0,121.5,121.5,120590
2023-04-24,121.8,128.5,121.8,123.9,419490
2023-04-25,123.3,129.2,123.0,124.7,470220
2023-04-26,125.3,125.5,123.15,123.25,129630
2023-04-27,124.1,124.45,122.0,123.25,132500
2023-04-28,123.85,124.6,121.15,121.3,99180
2023-05-02,122.3,122.3,111.5,115.05,277800
2023-05-03,115.05,115.5,110.1,110.9,189990
