TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,113.0,115.2,112.7,114.36,6514130
2023-01-04,114.58,114.62,111.82,112.34,4175450
2023-01-05,112.3,112.66,110.88,112.06,2307060
2023-01-06,112.28,112.5,111.18,111.34,1900130
2023-01-09,111.9,112.38,109.78,110.4,4637480
2023-01-10,109.9,110.18,108.64,109.22,3618880
2023-01-11,109.0,112.28,109.0,112.1,3466590
2023-01-12,112.16,112.4,110.22,111.5,2323150
2023-01-13,111.5,112.3,110.7,112.16,2004210
2023-01-16,112.2,114.48,112.2,114.3,4360870
2023-01-17,114.38,114.52,111.0,111.38,4752060
2023-01-18,111.3,113.3,110.84,111.54,3256210
2023-01-19,111.5,112.46,110.58,111.5,2790070
2023-01-20,111.8,112.28,110.88,111.98,1824050
2023-01-23,112.3,112.46,111.28,112.02,1599340
2023-01-24,111.82,112.8,111.08,111.26,1771970
2023-01-25,111.26,112.1,110.72,111.64,1695540
2023-01-26,111.76,113.16,111.24,112.36,1873700
2023-01-27,112.38,113.98,112.22,113.76,2287450
2023-01-30,113.76,115.38,113.76,115.16,3012340
2023-01-31,115.4,116.98,114.8,116.8,2916450
2023-02-01,117.0,120.0,116.5,118.96,5212200
2023-02-02,119.8,120.88,118.0,120.22,5557330
2023-02-03,120.22,120.68,118.1,120.28,4158360
2023-02-06,120.4,123.68,119.82,123.44,5094800
2023-02-07,123.22,123.9,120.8,121.84,3420720
2023-02-08,121.9,122.42,119.1,119.3,3494750
2023-02-09,119.3,123.24,118.34,122.5,4592900
2023-02-10,122.04,125.7,121.72,125.0,7148240
2023-02-13,125.04,127.48,125.02,126.7,4232450
2023-02-14,126.26,126.66,122.76,122.94,4197050
2023-02-15,122.5,122.58,115.2,117.6,6673050
2023-02-16,118.4,120.34,115.46,118.0,5494170
2023-02-17,116.88,118.6,115.74,117.44,4329660
2023-02-20,117.22,118.34,114.4,117.86,3838740
2023-02-21,117.88,122.0,117.72,121.78,6029390
2023-02-22,122.02,122.38,119.56,120.94,4047060
2023-02-24,121.32,122.44,118.9,120.0,3075770
2023-02-27,119.88,124.64,117.84,124.06,6001650
2023-02-28,124.2,126.0,123.8,125.2,5401590
2023-03-01,125.98,128.52,125.14,127.98,5697540
2023-03-02,127.9,128.9,124.32,126.14,6605430
2023-03-03,126.2,128.54,125.3,128.32,2937840
2023-03-06,128.5,129.1,126.6,126.96,5010860
2023-03-07,126.9,127.4,125.7,126.38,3379770
2023-03-09,126.4,127.22,125.22,126.46,2627510
2023-03-10,125.9,127.2,125.4,126.64,2660590
2023-03-13,127.0,127.2,124.02,124.92,4497660
2023-03-14,125.0,126.26,124.02,125.7,2717770
2023-03-15,125.94,126.42,122.5,123.82,3345810
2023-03-16,123.8,124.32,120.8,124.14,3420980
2023-03-17,125.02,125.96,124.32,125.1,3986750
2023-03-20,125.4,128.0,124.42,127.58,5779970
2023-03-21,128.24,128.58,125.12,126.08,3454180
2023-03-22,125.98,126.32,125.0,125.1,1487410
2023-03-23,125.0,126.54,123.92,126.2,2879070
2023-03-24,126.2,126.5,125.4,126.5,1260580
2023-03-27,127.0,128.42,126.86,128.18,2806660
2023-03-28,128.58,128.94,126.56,127.54,2272840
2023-03-29,128.0,134.44,127.1,131.84,10374850
2023-03-30,132.3,133.44,129.8,130.6,4848160
2023-03-31,130.6,130.6,128.34,130.44,5213360
2023-04-03,130.44,133.9,130.42,133.04,4192460
2023-04-04,133.3,133.8,131.22,132.44,3245400
2023-04-05,131.7,133.5,130.52,133.02,2314260
2023-04-06,133.06,135.46,130.22,131.34,15357150
2023-04-07,131.08,131.7,128.0,131.38,9235560
2023-04-10,132.24,132.4,130.0,131.66,5393340
2023-04-11,131.86,132.0,128.3,129.78,6795400
2023-04-12,130.06,130.84,128.4,130.48,3835390
2023-04-13,130.82,131.2,129.2,130.32,2319390
2023-04-14,130.2,131.5,129.62,131.34,2510700
2023-04-17,131.98,132.9,131.2,132.6,3299650
2023-04-18,132.5,138.0,131.74,137.44,8577520
2023-04-19,137.7,142.3,135.34,138.5,11631120
2023-04-20,138.1,141.82,135.6,140.16,5282870
2023-04-21,140.46,140.88,138.04,139.92,2943400
2023-04-24,139.9,140.3,138.16,139.2,2114990
2023-04-25,139.02,139.38,137.7,138.22,1675450
2023-04-26,137.94,138.86,136.0,136.5,2063350
2023-04-27,135.6,139.32,135.6,139.28,2502880
2023-04-28,139.42,139.5,136.36,137.28,2875130
2023-05-02,136.7,138.0,132.5,133.34,4956670
2023-05-03,133.34,135.5,128.34,129.8,7357210
2023-05-04,129.8,131.76,126.72,129.46,5750980
2023-05-05,129.46,129.96,126.7,127.34,4010230
2023-05-08,127.82,128.08,125.88,127.22,1410100
2023-05-10,127.22,130.66,127.22,130.38,2809380
2023-05-11,130.84,132.3,127.3,128.76,5177490
2023-05-12,128.8,131.2,127.3,129.64,4161820
2023-05-15,130.8,134.0,130.14,133.16,4294270
2023-05-16,133.52,134.4,132.12,132.86,2728490
2023-05-17,132.8,133.74,131.3,133.64,2201930
2023-05-18,133.64,135.68,133.24,134.78,4494660
2023-05-19,134.42,135.46,133.42,134.58,2760650
2023-05-22,136.0,136.82,132.7,133.04,2962590
2023-05-23,133.0,136.4,132.2,134.84,4105020
2023-05-24,135.38,135.4,132.42,134.68,4626050
2023-05-25,134.82,139.3,134.14,137.86,6672360
2023-05-26,138.34,139.84,137.38,139.36,3759310
2023-05-29,141.0,142.8,138.66,141.7,13289970
2023-05-30,141.24,146.7,140.16,143.6,10725500
2023-05-31,143.62,147.72,143.62,147.16,4892450
2023-06-01,146.68,149.6,146.68,147.88,5794400
2023-06-02,148.62,152.0,146.5,151.54,6920350
2023-06-05,153.0,153.42,148.08,148.84,4773930
2023-06-06,148.02,148.72,146.22,148.08,3077640
2023-06-07,148.2,151.72,147.74,149.78,3043210
2023-06-08,149.5,151.7,148.56,150.98,2728780
2023-06-09,151.28,153.6,151.18,152.46,2941980
2023-06-13,153.0,159.78,152.6,159.58,4142950
2023-06-14,159.52,161.26,156.52,157.98,4863890
2023-06-15,158.54,166.5,157.0,166.22,9806740
2023-06-16,166.3,166.32,163.0,164.5,4971640
2023-06-19,164.82,172.98,162.12,172.3,10820530
2023-06-20,172.3,175.0,169.24,173.8,8861660
2023-06-21,173.72,178.0,170.92,175.26,10620910
2023-06-22,175.0,177.5,171.5,171.9,7143440
2023-06-23,171.34,175.44,167.06,171.36,15526160
2023-06-26,172.8,174.7,164.24,167.24,11288870
2023-06-27,166.5,174.2,165.04,172.4,10670180
2023-06-28,172.92,174.6,168.2,170.14,6327700
2023-06-29,170.6,170.8,165.7,169.22,3723280
2023-06-30,169.7,174.0,167.84,172.74,8008180
2023-07-03,173.0,177.7,173.0,175.98,8447150
2023-07-04,176.1,177.5,174.1,175.56,7055490
2023-07-05,175.9,179.84,175.68,179.12,5581060
2023-07-06,179.52,182.38,176.7,178.2,8237470
2023-07-07,177.9,181.92,176.66,181.34,6531640
2023-07-10,182.4,182.6,180.0,181.76,6110830
2023-07-11,181.02,182.16,180.28,181.22,2763160
2023-07-12,181.28,185.24,181.0,184.38,6419080
2023-07-13,184.98,187.68,183.8,185.26,4367220
2023-07-14,184.88,193.5,183.8,193.5,10418780
2023-07-17,191.98,196.0,190.3,194.0,9141690
2023-07-18,193.86,196.48,190.62,192.92,10921910
2023-07-19,193.2,193.24,190.8,192.28,3378670
2023-07-20,192.0,193.74,189.66,190.28,6002910
2023-07-21,190.28,192.38,189.0,192.3,3733690
2023-07-24,192.3,193.66,190.64,192.06,3252000
2023-07-25,192.3,198.08,191.42,197.32,6539290
2023-07-26,197.5,197.82,194.4,196.14,4405800
2023-07-27,196.44,206.42,195.0,203.36,14887170
2023-07-28,202.78,205.4,202.12,204.44,5492870
2023-07-31,205.3,212.0,205.1,211.44,7773200
2023-08-01,212.04,214.98,209.4,212.0,7285130
2023-08-02,211.36,213.66,209.02,210.56,5904620
2023-08-03,210.4,213.5,209.2,212.52,5262180
2023-08-04,213.42,213.42,206.2,206.64,9696310
2023-08-07,208.0,210.0,200.16,202.36,8194930
2023-08-08,201.58,202.84,198.52,202.22,7111300
2023-08-09,202.88,206.5,201.94,202.5,5896660
2023-08-10,203.02,205.54,200.26,205.3,4275790
2023-08-11,205.5,207.78,201.82,203.94,4872400
2023-08-14,204.3,207.1,195.18,197.16,10410360
2023-08-15,196.5,203.18,195.42,197.14,7449360
2023-08-16,196.6,198.14,188.14,191.1,12577560
2023-08-17,191.56,193.44,188.02,191.04,6195050
2023-08-18,191.4,194.62,189.0,194.38,5183030
2023-08-21,195.0,197.84,194.44,197.24,6823090
2023-08-22,197.82,200.0,194.8,198.6,5031080
2023-08-23,199.0,203.0,193.04,193.8,15981440
2023-08-24,194.38,197.58,194.18,196.4,7494340
2023-08-25,196.4,197.08,194.34,195.5,4648780
2023-08-28,195.96,201.64,195.96,201.3,6545550
2023-08-29,201.7,202.84,197.42,197.9,8235390
2023-08-30,197.9,201.38,195.64,199.6,6805480
2023-08-31,200.18,204.48,197.68,204.3,8783370
2023-09-01,204.58,205.0,200.56,202.0,4878320
2023-09-04,203.12,204.24,201.12,202.64,4537950
2023-09-05,203.46,203.46,197.86,199.26,8137980
2023-09-06,199.0,199.0,192.0,193.26,10866500
2023-09-07,193.26,197.88,190.28,191.58,10791310
2023-09-08,191.7,193.52,187.0,187.1,7372660
2023-09-11,187.0,190.06,184.44,188.86,9173950
2023-09-12,189.5,195.28,189.36,195.28,4641380
2023-09-13,195.0,195.32,190.08,190.48,4098880
2023-09-14,190.6,192.9,186.02,192.08,5607430
2023-09-15,192.4,194.56,190.1,192.6,3518210
2023-09-18,192.6,193.64,188.3,190.36,4587070
2023-09-19,189.8,197.22,188.88,194.44,25128170
2023-09-20,194.7,201.46,192.64,197.62,21329930
2023-09-21,196.96,201.34,195.12,199.0,18304320
2023-09-22,199.62,207.8,198.82,207.74,21761310
2023-09-25,208.0,208.5,201.24,202.32,10678050
2023-09-26,201.9,209.4,200.24,209.0,17693960
2023-09-27,209.46,209.9,205.4,207.36,9687530
2023-09-28,207.36,211.0,206.04,209.5,12064830
2023-09-29,210.0,210.82,208.14,209.42,6503400
2023-10-02,210.5,212.0,207.12,209.96,7211800
2023-10-03,209.96,210.28,207.1,209.28,3690690
2023-10-04,208.86,214.84,208.5,212.84,13142560
2023-10-05,212.84,214.4,209.58,210.88,6627890
2023-10-06,210.8,212.9,208.2,212.28,4886140
2023-10-09,212.28,212.7,208.84,209.72,4620910
2023-10-10,210.0,210.3,205.3,207.72,6322050
2023-10-11,207.72,208.82,200.56,201.36,14595970
2023-10-12,200.84,202.48,196.58,199.02,13115900
2023-10-13,199.94,200.98,196.1,198.44,8511980
2023-10-16,199.2,200.36,197.84,200.3,5600330
2023-10-17,200.6,202.0,199.08,199.56,5331280
2023-10-18,199.96,200.38,196.2,197.56,6320840
2023-10-19,197.5,197.84,194.26,197.0,8116190
2023-10-20,197.02,198.26,194.48,197.22,5659050
2023-10-23,197.46,198.9,193.56,194.22,4653010
2023-10-24,194.04,195.5,192.8,194.46,5200060
2023-10-25,194.44,194.44,191.52,191.68,5112930
2023-10-26,191.64,196.0,191.22,192.1,8233590
2023-10-27,192.1,193.58,190.2,191.5,4482180
2023-10-30,191.5,194.2,190.4,192.14,3499900
2023-10-31,191.76,193.4,189.12,189.76,3773170
2023-11-01,190.1,191.18,188.7,189.16,3460860
2023-11-02,189.36,189.98,187.22,187.5,3890310
2023-11-03,187.74,195.0,185.54,194.2,13108540
2023-11-06,195.04,200.32,194.5,199.36,11892980
2023-11-07,199.1,199.46,196.5,196.86,6834480
2023-11-08,196.86,197.6,193.7,194.6,5171100
2023-11-09,194.6,197.42,194.0,195.44,5036510
2023-11-10,196.0,196.14,194.58,195.3,2908300
2023-11-13,195.5,198.68,195.02,195.94,3538930
2023-11-14,196.28,196.28,189.88,191.22,5039010
