TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,4.52,4.64,4.46,4.555,2945200
2023-01-04,4.555,4.59,4.505,4.56,1312400
2023-01-05,4.55,4.59,4.545,4.58,1158700
2023-01-06,4.59,4.695,4.56,4.575,3227100
2023-01-09,4.58,4.64,4.56,4.585,2738200
2023-01-10,4.63,4.84,4.59,4.66,14698000
2023-01-11,4.7,4.76,4.62,4.695,5022600
2023-01-12,4.7,4.8,4.7,4.71,3743700
2023-01-13,4.735,4.735,4.65,4.71,2959900
2023-01-16,4.745,4.88,4.685,4.835,6688100
2023-01-17,4.88,5.855,4.85,5.28,286085900
2023-01-18,5.32,5.54,5.11,5.22,63981200
2023-01-19,5.265,5.295,5.05,5.095,16087000
2023-01-20,5.1,5.32,5.02,5.09,18642800
2023-01-23,5.11,5.31,5.11,5.21,17536500
2023-01-24,5.28,5.285,5.1,5.245,15289000
2023-01-25,5.24,5.28,5.14,5.16,7188200
2023-01-26,5.185,5.26,5.16,5.17,6744800
2023-01-27,5.22,5.4,5.165,5.225,20603000
2023-01-30,5.235,5.345,5.225,5.3,7666300
2023-01-31,5.32,5.51,5.32,5.36,32107000
2023-02-01,5.36,5.685,5.36,5.43,48034200
2023-02-02,5.48,5.52,5.43,5.45,7009300
2023-02-03,5.47,5.47,5.305,5.375,6508300
2023-02-06,5.375,5.49,5.31,5.415,5458700
2023-02-07,5.435,5.515,5.375,5.415,6778900
2023-02-08,5.45,5.59,5.405,5.475,19398900
2023-02-09,5.495,5.76,5.465,5.63,21612700
2023-02-10,5.68,5.68,5.53,5.61,9560200
2023-02-13,5.62,5.79,5.595,5.645,14018400
2023-02-14,5.645,5.75,5.415,5.45,17253100
2023-02-15,5.45,5.455,5.06,5.1,10926500
2023-02-16,5.185,5.295,5.12,5.165,8406600
2023-02-17,5.18,5.26,5.11,5.22,3022400
2023-02-20,5.24,5.265,5.055,5.21,4878800
2023-02-21,5.28,5.65,5.175,5.39,19083600
2023-02-22,5.41,5.57,5.31,5.485,8530200
2023-02-24,5.49,5.54,5.345,5.425,4161600
2023-02-27,5.41,5.515,5.36,5.495,5439000
2023-02-28,5.515,5.595,5.38,5.555,7287200
2023-03-01,5.57,5.7,5.57,5.61,6110900
2023-03-02,5.65,5.65,5.43,5.46,6545400
2023-03-03,5.475,5.61,5.46,5.525,6460800
2023-03-06,5.64,5.78,5.57,5.635,15772600
2023-03-07,5.64,6.05,5.62,5.755,50490900
2023-03-09,5.84,6.065,5.72,6.04,36234500
2023-03-10,6.04,6.405,5.87,6.1,79879700
2023-03-13,6.22,6.51,6.135,6.325,87094300
2023-03-14,6.335,6.395,6.19,6.245,11396800
2023-03-15,6.265,6.28,6.04,6.095,11642100
2023-03-16,6.145,6.145,5.925,5.97,8055500
2023-03-17,6.03,6.32,6.005,6.195,46486500
2023-03-20,6.19,6.33,6.15,6.27,12437000
2023-03-21,6.33,6.355,6.165,6.19,8008900
2023-03-22,6.19,6.27,6.135,6.21,5539500
2023-03-23,6.26,6.26,6.12,6.175,3580700
2023-03-24,6.195,6.41,6.16,6.31,13473200
2023-03-27,6.365,6.52,6.31,6.5,20896100
2023-03-28,6.51,6.855,6.5,6.65,28740300
2023-03-29,6.7,6.71,6.51,6.605,9096500
2023-03-30,6.605,6.65,6.51,6.575,7568300
2023-03-31,6.64,6.64,6.31,6.53,11158500
2023-04-03,6.59,6.85,6.57,6.72,17535300
2023-04-04,6.69,6.765,6.57,6.635,7173400
2023-04-05,6.63,6.69,6.565,6.615,4528300
2023-04-06,6.685,6.745,6.565,6.635,7062000
2023-04-07,6.635,6.975,6.595,6.79,33226900
2023-04-10,6.85,8.0,6.815,7.535,340891300
2023-04-11,7.535,7.675,7.16,7.25,70698800
2023-04-12,7.305,7.485,7.2,7.27,23081100
2023-04-13,7.295,7.465,7.05,7.1,16565000
2023-04-14,7.13,7.235,7.01,7.115,9833800
2023-04-17,7.185,7.375,7.165,7.285,14920300
2023-04-18,7.29,7.83,7.275,7.5,122018800
2023-04-19,7.515,7.54,7.3,7.34,16991900
2023-04-20,7.4,7.495,7.115,7.315,15909200
2023-04-21,7.35,7.39,7.235,7.32,5541100
2023-04-24,7.32,7.61,7.24,7.36,21570000
2023-04-25,7.43,7.525,7.345,7.46,11485700
2023-04-26,7.51,7.88,7.43,7.635,92064100
2023-04-27,7.635,7.64,7.41,7.47,18762600
2023-04-28,7.52,7.705,7.405,7.43,17856700
2023-05-02,7.52,7.58,6.695,6.96,29637300
2023-05-03,7.0,7.345,6.6,6.7,24526000
2023-05-04,6.8,7.095,6.755,6.855,11189400
2023-05-05,6.895,6.95,6.7,6.745,6803100
2023-05-08,6.815,6.835,6.615,6.73,3074300
2023-05-10,6.95,7.275,6.71,7.2,26126100
2023-05-11,7.185,7.34,7.1,7.15,16879100
2023-05-12,7.175,7.215,7.05,7.105,6661400
2023-05-15,7.24,7.24,7.095,7.24,8248500
2023-05-16,7.36,7.5,7.28,7.4,17182800
2023-05-17,7.43,7.445,7.265,7.275,6284300
2023-05-18,7.275,7.47,7.24,7.27,6176800
2023-05-19,7.285,7.49,7.08,7.345,17490300
2023-05-22,7.395,7.48,7.3,7.445,9191500
2023-05-23,7.52,7.55,7.32,7.39,6184000
2023-05-24,7.505,7.77,7.46,7.7,35868800
2023-05-25,7.73,7.8,7.515,7.59,14507000
2023-05-26,7.69,7.925,7.58,7.825,39607500
2023-05-29,7.87,8.27,7.86,8.12,73143900
2023-05-30,8.06,8.32,7.925,7.99,34421000
2023-05-31,8.01,8.15,7.82,8.0,17337200
2023-06-01,8.085,8.42,8.01,8.18,43613600
2023-06-02,8.25,8.6,8.21,8.495,85554200
2023-06-05,8.51,8.665,8.04,8.35,32961700
2023-06-06,8.355,8.54,8.075,8.54,21619900
2023-06-07,8.55,8.67,8.45,8.63,25532100
2023-06-08,8.63,9.235,8.5,9.175,177444600
2023-06-09,9.295,9.5,8.945,8.945,73553800
2023-06-13,9.05,9.175,8.965,9.035,23745500
2023-06-14,9.05,9.095,8.95,9.015,14644300
2023-06-15,9.05,9.065,8.955,8.97,13397600
2023-06-16,8.99,9.095,8.98,9.01,11349100
2023-06-19,9.075,9.09,8.98,9.0,11122200
2023-06-20,9.015,9.34,8.65,9.095,41785100
2023-06-21,9.16,9.38,9.095,9.27,26864900
2023-06-22,9.3,9.625,9.295,9.53,47237700
2023-06-23,9.495,9.55,9.125,9.36,20671800
2023-06-26,9.375,9.465,9.155,9.335,15642900
2023-06-27,9.4,9.75,9.335,9.59,34542600
2023-06-28,9.635,9.95,9.615,9.795,53158100
2023-06-29,9.88,9.915,9.795,9.86,12168700
2023-06-30,9.91,9.935,9.75,9.77,19336100
2023-07-03,9.805,9.89,9.47,9.495,25413200
2023-07-04,9.525,9.63,9.215,9.34,21010000
2023-07-05,9.34,9.705,9.34,9.685,22036900
2023-07-06,9.7,9.8,9.345,9.35,38904100
2023-07-07,9.35,9.385,9.05,9.15,30535100
2023-07-10,9.18,9.645,9.16,9.635,60027100
2023-07-11,9.09,9.45,9.06,9.28,148661800
2023-07-12,9.33,9.39,9.26,9.26,13524700
2023-07-13,9.26,9.3,9.15,9.17,10927600
2023-07-14,9.175,9.285,9.105,9.185,13006000
2023-07-17,9.2,9.41,9.195,9.385,36906300
2023-07-18,9.56,9.7,9.475,9.55,50593800
2023-07-19,9.645,9.645,9.46,9.545,13621200
2023-07-20,9.52,9.595,9.105,9.15,26296200
2023-07-21,9.18,9.445,9.12,9.36,15209500
2023-07-24,9.395,9.48,9.35,9.425,9887700
2023-07-25,9.455,9.94,9.4,9.935,108586300
2023-07-26,9.995,10.275,9.94,9.995,79353100
2023-07-27,10.01,10.31,9.8,10.165,59236000
2023-07-28,10.215,10.23,10.07,10.09,15394900
2023-07-31,10.16,10.47,10.11,10.275,45723800
2023-08-01,10.275,10.535,10.15,10.25,54806900
2023-08-02,10.42,12.72,10.41,11.91,642036000
2023-08-03,12.14,13.635,12.005,13.0,472054800
2023-08-04,12.895,13.805,12.1,13.055,347968200
2023-08-07,13.195,17.445,13.195,16.43,1364453200
2023-08-08,16.65,17.29,14.56,14.83,755509100
2023-08-09,14.83,15.92,13.965,15.195,399723000
2023-08-10,15.35,15.595,14.715,14.84,142727000
2023-08-11,14.885,15.42,14.61,14.995,94801700
2023-08-14,15.18,15.2,14.21,14.4,78106200
2023-08-15,13.95,15.0,13.55,14.37,86815100
2023-08-16,14.49,14.59,12.945,13.515,156563400
2023-08-17,13.725,14.7,13.505,14.03,188574200
2023-08-18,14.125,14.4,13.83,14.4,62525000
2023-08-21,14.6,15.78,14.55,15.78,330937200
2023-08-22,15.895,16.095,15.205,15.4,189812600
2023-08-23,15.395,15.495,14.805,15.155,81724500
2023-08-24,14.98,15.25,14.9,15.135,35016300
2023-08-25,15.28,15.35,14.96,15.105,40824300
2023-08-28,15.21,15.545,15.105,15.41,71301200
2023-08-29,15.4,15.5,15.0,15.31,46330900
2023-08-30,15.49,15.58,15.1,15.205,25405200
2023-08-31,15.28,15.305,15.04,15.1,22056800
2023-09-01,15.11,15.95,14.5,15.72,143323900
2023-09-04,15.97,16.265,15.415,15.495,180002400
2023-09-05,15.5,15.67,15.06,15.2,44573200
2023-09-06,15.305,15.895,15.0,15.4,84887400
2023-09-07,15.52,15.825,14.73,15.055,76874800
2023-09-08,15.1,15.32,14.6,15.0,37824700
2023-09-11,15.145,15.24,14.8,14.9,32565900
2023-09-12,14.945,15.1,14.405,14.85,44162800
2023-09-13,14.98,15.0,14.435,14.475,29952400
2023-09-14,14.475,14.485,11.04,13.35,221515800
2023-09-15,13.245,14.095,12.65,13.785,79834000
2023-09-18,13.865,14.175,13.165,13.41,57245600
2023-09-19,13.4,13.455,12.305,12.55,117014600
2023-09-20,12.5,12.625,11.555,12.185,125430600
2023-09-21,12.1,12.185,11.51,11.52,51059700
2023-09-22,11.5,12.445,11.215,12.34,69579300
2023-09-25,12.345,12.81,11.92,12.4,92032100
2023-09-26,12.4,12.565,12.055,12.4,41931600
2023-09-27,12.55,13.3,12.5,13.06,135720700
2023-09-28,13.04,13.34,12.93,13.3,86109200
2023-09-29,13.45,13.48,12.96,12.96,40211700
2023-10-02,13.17,13.205,12.55,12.605,40181700
2023-10-03,12.5,12.98,12.29,12.695,39341100
2023-10-04,12.69,13.15,12.685,12.98,41875800
2023-10-05,13.0,13.08,12.76,12.8,22029500
2023-10-06,12.8,12.98,12.5,12.575,24525800
2023-10-09,12.74,12.905,12.61,12.64,20780900
2023-10-10,12.7,12.82,12.505,12.82,15087200
2023-10-11,12.9,12.96,12.595,12.63,14804900
2023-10-12,12.375,12.68,12.115,12.52,23072900
2023-10-13,12.55,12.78,12.53,12.635,18670100
2023-10-16,12.635,12.77,12.635,12.635,9084600
2023-10-17,12.645,13.37,12.645,13.37,97398200
2023-10-18,13.435,13.685,13.23,13.29,53706800
2023-10-19,13.27,13.275,13.035,13.095,19418300
2023-10-20,13.1,13.15,12.8,12.95,18774400
2023-10-23,12.99,13.08,12.84,12.975,11805600
2023-10-24,12.995,13.12,12.915,13.0,8856500
2023-10-25,13.095,13.095,12.88,12.895,11204500
2023-10-26,12.9,13.4,12.64,12.64,38299700
2023-10-27,12.615,12.88,12.39,12.62,21977200
