TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,6400,6530,6390,6520,34049
2023-01-04,6520,6576,6485,6527,29454
2023-01-05,6526,6550,6492,6518,20255
2023-01-06,6530,6530,6472,6487,22439
2023-01-09,6470,6477,6300,6382,108003
2023-01-10,6382,6382,6280,6326,37863
2023-01-11,6301,6380,6286,6372,42713
2023-01-12,6375,6395,6343,6360,21608
2023-01-13,6363,6384,6348,6363,17794
2023-01-16,6399,6432,6380,6422,29563
2023-01-17,6422,6440,6328,6373,37347
2023-01-18,6373,6404,6337,6376,37805
2023-01-19,6376,6385,6316,6358,25102
2023-01-20,6360,6361,6300,6322,23137
2023-01-23,6310,6425,6299,6400,36731
2023-01-24,6418,6440,6373,6398,34605
2023-01-25,6410,6430,6325,6420,25216
2023-01-26,6421,6430,6382,6392,20865
2023-01-27,6415,6425,6385,6416,21977
2023-01-30,6424,6468,6418,6459,35457
2023-01-31,6459,6480,6406,6465,25978
2023-02-01,6475,6667,6457,6600,117201
2023-02-02,6617,6648,6557,6604,47901
2023-02-03,6606,6700,6600,6664,79984
2023-02-06,6666,6930,6637,6896,148762
2023-02-07,6915,6976,6414,6873,98711
2023-02-08,6886,7000,6699,6745,172774
2023-02-09,6708,6841,6702,6825,41887
2023-02-10,6825,6875,6781,6842,34858
2023-02-13,6850,6893,6739,6780,43829
2023-02-14,6780,6783,6638,6676,51245
2023-02-15,6650,6663,6330,6407,96939
2023-02-16,6450,6476,6380,6409,56836
2023-02-17,6417,6431,6364,6393,55262
2023-02-20,6380,6393,6302,6379,39369
2023-02-21,6385,6569,6286,6527,73364
2023-02-22,6500,6703,6450,6673,68703
2023-02-24,6690,6799,6612,6675,53507
2023-02-27,6676,6788,6656,6732,56832
2023-02-28,6750,6799,6706,6763,48755
2023-03-01,6784,6900,6771,6895,69533
2023-03-02,6920,6959,6676,6720,141344
2023-03-03,6721,7094,6720,7090,527775
2023-03-06,7120,7185,7064,7163,207888
2023-03-07,7178,7185,7115,7132,76354
2023-03-09,7132,7150,7061,7093,76610
2023-03-10,7093,7134,7028,7041,77314
2023-03-13,7041,7096,6981,7032,76314
2023-03-14,7034,7034,6952,7015,64525
2023-03-15,7040,7077,7008,7071,62577
2023-03-16,7080,7133,7021,7098,99436
2023-03-17,7101,7120,7030,7059,92200
2023-03-20,7081,7227,7050,7206,141332
2023-03-21,7220,7348,7180,7250,125041
2023-03-22,7249,7300,7233,7282,51820
2023-03-23,7295,7305,7255,7277,49624
2023-03-24,7277,7395,7277,7375,144219
2023-03-27,7385,7465,7380,7442,106703
2023-03-28,7468,7468,7083,7416,144122
2023-03-29,7401,7449,7360,7413,89133
2023-03-30,7410,7440,7395,7419,94062
2023-03-31,7401,7513,7372,7504,196688
2023-04-03,7080,7306,7071,7294,312469
2023-04-04,7314,7382,7275,7301,110737
2023-04-05,7290,7330,7231,7301,70912
2023-04-06,7282,7338,7260,7280,50742
2023-04-07,7280,7305,7150,7213,78445
2023-04-10,7200,7268,7183,7227,56003
2023-04-11,7233,7248,7091,7141,78588
2023-04-12,7158,7249,7158,7206,55724
2023-04-13,7234,7234,7179,7217,39121
2023-04-14,7193,7220,7150,7185,53264
2023-04-17,7190,7256,7181,7239,44768
2023-04-18,7258,7258,7190,7235,44900
2023-04-19,7257,7278,7165,7238,82510
2023-04-20,7238,7350,7175,7281,81409
2023-04-21,7294,7390,7294,7330,62448
2023-04-24,7330,7385,7282,7331,47787
2023-04-25,7325,7360,7280,7308,33635
2023-04-26,7333,7333,7282,7283,20098
2023-04-27,7298,7376,7230,7300,55676
2023-04-28,7309,7327,7249,7276,26805
2023-05-02,7250,7300,7150,7202,45210
2023-05-03,7201,7235,7013,7065,63292
2023-05-04,7065,7152,7040,7109,27995
2023-05-05,7138,7147,7058,7061,24694
2023-05-08,7059,7100,7033,7040,13478
2023-05-10,7030,7220,7016,7190,46801
2023-05-11,7200,7227,7068,7102,90723
2023-05-12,7103,7168,7050,7094,47906
2023-05-15,7120,7340,7102,7286,67939
2023-05-16,7290,7340,7199,7308,53861
2023-05-17,7317,7392,7264,7367,41197
2023-05-18,7375,7439,7206,7242,124544
2023-05-19,7212,7375,7212,7288,62898
2023-05-22,7320,7386,7255,7364,49046
2023-05-23,7360,7650,7360,7541,159306
2023-05-24,7555,7592,7420,7540,74477
2023-05-25,7543,7576,7376,7471,63939
2023-05-26,7471,7643,7413,7550,144282
2023-05-29,7555,7607,7520,7538,68130
2023-05-30,7516,7664,7500,7579,66534
2023-05-31,7580,7750,7557,7692,95689
2023-06-01,7692,7720,7650,7664,37077
2023-06-02,7670,7727,7480,7553,100402
2023-06-05,7535,7590,7289,7377,137373
2023-06-06,7380,7533,7290,7424,102873
2023-06-07,7394,7434,7294,7405,103185
2023-06-08,7408,7522,7391,7473,61377
2023-06-09,7476,7476,7431,7471,24754
2023-06-13,7477,7585,7471,7551,59343
2023-06-14,7551,7566,7405,7477,73427
2023-06-15,7480,7516,7412,7494,86071
2023-06-16,7500,7516,7443,7476,52170
2023-06-19,7488,7559,7440,7495,82030
2023-06-20,7472,7530,7451,7492,56728
2023-06-21,7492,7525,7460,7472,35281
2023-06-22,7479,7482,7420,7433,38251
2023-06-23,7422,7498,7350,7393,63098
2023-06-26,7428,7494,7350,7428,64310
2023-06-27,7436,7482,7375,7410,81328
2023-06-28,7410,7435,7367,7377,56502
2023-06-29,7367,7402,7295,7324,92186
2023-06-30,7344,7347,7288,7310,66013
2023-07-03,7322,7330,7171,7206,138872
2023-07-04,7201,7219,7150,7169,86373
2023-07-05,7169,7251,7150,7248,79496
2023-07-06,7257,7440,7225,7339,174156
2023-07-07,7301,7432,7258,7391,111673
2023-07-10,7249,7339,7200,7336,89947
2023-07-11,7348,7348,7260,7278,56309
2023-07-12,7270,7330,7253,7312,49744
2023-07-13,7315,7456,7280,7340,119109
2023-07-14,7340,7366,7302,7318,51087
2023-07-17,7307,7387,7305,7326,51468
2023-07-18,7347,7378,7301,7353,63173
2023-07-19,7363,7450,7356,7426,80476
2023-07-20,7434,7484,7351,7410,93757
2023-07-21,7414,7470,7381,7421,40675
2023-07-24,7420,7472,7401,7451,43362
2023-07-25,7454,7480,7430,7449,38482
2023-07-26,7435,7450,7351,7392,63812
2023-07-27,7416,7434,7393,7415,48731
2023-07-28,7433,7472,7410,7453,69742
2023-07-31,7471,7600,7471,7548,157823
2023-08-01,7573,7635,7478,7538,124062
2023-08-02,7540,7624,7518,7581,73237
2023-08-03,7581,7599,7508,7572,73308
2023-08-04,7587,7649,7406,7483,148734
2023-08-07,7477,7610,7411,7492,91977
2023-08-08,7500,7578,7447,7559,55916
2023-08-09,7580,7590,7507,7547,65452
2023-08-10,7552,7567,7480,7500,92728
2023-08-11,7514,7550,7455,7516,88757
2023-08-14,7538,7893,7519,7635,351592
2023-08-15,7620,7750,7517,7607,140958
2023-08-16,7601,7621,7455,7509,107957
2023-08-17,7530,7540,7420,7494,76948
2023-08-18,7470,7748,7470,7675,131849
2023-08-21,7753,7789,7582,7640,106450
2023-08-22,7645,7736,7590,7633,104206
2023-08-23,7644,7650,7441,7494,87769
2023-08-24,7510,7547,7452,7518,72992
2023-08-25,7530,7569,7493,7526,37273
2023-08-28,7535,7617,7511,7550,80075
2023-08-29,7550,7562,7458,7493,125081
2023-08-30,7493,7501,7310,7356,171099
2023-08-31,7350,7357,7234,7314,210069
2023-09-01,7322,7322,7164,7217,282367
2023-09-04,7240,7281,7181,7268,271046
2023-09-05,7268,7279,7191,7217,128645
2023-09-06,7217,7386,7188,7330,280011
2023-09-07,7349,7353,7101,7218,211383
2023-09-08,7218,7254,7101,7183,87776
2023-09-11,7180,7218,7108,7149,70192
2023-09-12,7155,7235,7117,7211,70204
2023-09-13,7220,7221,7131,7138,48348
2023-09-14,7138,7144,6981,7062,122060
2023-09-15,7082,7150,7023,7121,70697
2023-09-18,7139,7139,6990,7027,87287
2023-09-19,7048,7048,6821,6843,122523
2023-09-20,6843,6980,6797,6857,119486
2023-09-21,6850,6868,6657,6665,153780
2023-09-22,6651,6732,6505,6690,119480
2023-09-25,6700,6700,6580,6610,97569
2023-09-26,6610,6691,6500,6637,106669
2023-09-27,6637,6833,6631,6807,109669
2023-09-28,6832,6832,6750,6808,51046
2023-09-29,6808,6820,6730,6783,68963
2023-10-02,6805,6847,6705,6728,115323
2023-10-03,6690,6817,6561,6580,195536
2023-10-04,6550,6620,6503,6522,210051
2023-10-05,6522,6627,6456,6614,158635
2023-10-06,6638,6923,6584,6920,383899
2023-10-09,6900,7000,6811,6876,128802
2023-10-10,6900,6900,6782,6831,82920
2023-10-11,6830,6860,6700,6714,96134
2023-10-12,6701,6780,6682,6756,54768
2023-10-13,6750,6783,6730,6761,42979
2023-10-16,6770,6950,6761,6876,92804
2023-10-17,6878,6894,6813,6885,45462
2023-10-18,6885,6971,6849,6948,87565
2023-10-19,6960,6970,6827,6899,68746
2023-10-20,6887,6899,6732,6770,86066
2023-10-23,6788,6850,6738,6829,66979
2023-10-24,6828,6843,6771,6819,40490
2023-10-25,6805,6894,6794,6877,53467
2023-10-26,6890,6948,6785,6810,59950
2023-10-27,6812,6866,6706,6790,55619
2023-10-30,6790,6866,6726,6734,48030
2023-10-31,6755,6757,6636,6641,57989
2023-11-01,6641,6696,6641,6669,43983
2023-11-02,6671,6727,6658,6701,42530
2023-11-03,6722,6722,6591,6655,67220
2023-11-06,6655,6808,6654,6798,38941
2023-11-07,6819,6823,6749,6775,33942
2023-11-08,6775,6826,6751,6821,38791
2023-11-09,6795,6997,6795,6877,138893
2023-11-10,6888,6895,6800,6872,67774
2023-11-13,6871,6900,6809,6813,49704
2023-11-14,6816,6878,6751,6854,61070
2023-11-15,6850,6870,6813,6864,24403
2023-11-16,6888,6899,6770,6789,44516
2023-11-17,6786,6829,6755,6791,31706
2023-11-20,6812,6826,6781,6795,17738
2023-11-21,6795,6850,6755,6813,27634
2023-11-22,6800,6827,6770,6800,24572
2023-11-23,6780,6831,6719,6781,34923
2023-11-24,6783,6796,6733,6755,38249
2023-11-27,6756,6764,6655,6680,46320
2023-11-28,6711,6890,6654,6828,60098
2023-11-29,6828,6828,6737,6748,19171
2023-11-30,6750,6806,6695,6732,44409
2023-12-01,6728,6780,6668,6702,39735
2023-12-04,6702,6768,6600,6700,46009
2023-12-05,6700,6770,6658,6770,44677
2023-12-06,6770,6780,6617,6625,41738
2023-12-07,6634,6699,6605,6662,28860
2023-12-08,6662,6708,6660,6704,19806
2023-12-11,6703,6714,6631,6644,45995
2023-12-12,6644,6693,6603,6613,34987
2023-12-13,6604,6639,6554,6612,52660
2023-12-14,6618,6679,6568,6577,44727
2023-12-15,6591,6735,6575,6707,59234
2023-12-18,6734,6774,6691,6734,54803
2023-12-19,6735,6768,6701,6736,41364
2023-12-20,6745,6894,6740,6805,84619
2023-12-21,6809,6840,6761,6808,94800
2023-12-22,6808,6890,6770,6868,141313
2023-12-25,6616,6685,6588,6668,215514
2023-12-26,6678,6685,6626,6660,45011
2023-12-27,6660,6660,6571,6575,66718
2023-12-28,6575,6609,6560,6578,38477
2023-12-29,6594,6600,6565,6587,24819
2024-01-03,6600,6668,6595,6663,20239
2024-01-04,6678,6702,6641,6649,17541
2024-01-05,6666,6668,6632,6665,13251
2024-01-08,6680,6703,6671,6703,14849
2024-01-09,6717,6740,6648,6659,36412
2024-01-10,6660,6708,6650,6688,34676
2024-01-11,6699,6738,6666,6714,49202
2024-01-12,6714,6724,6676,6692,26097
2024-01-15,6694,6777,6682,6761,78589
2024-01-16,6763,6805,6718,6769,59009
2024-01-17,6786,6800,6750,6769,49401
2024-01-18,6769,6830,6758,6820,59146
2024-01-19,6820,6849,6724,6812,93223
2024-01-22,6816,6831,6779,6798,37948
2024-01-23,6800,6839,6790,6818,48375
2024-01-24,6828,6828,6729,6756,37746
2024-01-25,6758,6798,6722,6767,46112
2024-01-26,6765,6789,6750,6768,23176
2024-01-29,6768,6850,6754,6800,45777
2024-01-30,6802,6818,6708,6750,72430
2024-01-31,6753,6785,6736,6765,23815
2024-02-01,6772,6778,6751,6759,17730
2024-02-02,6760,6768,6720,6737,29919
2024-02-05,6738,6776,6736,6774,40344
2024-02-06,6775,6800,6767,6798,30431
2024-02-07,6800,6800,6751,6771,38016
2024-02-08,6773,6805,6755,6766,48237
2024-02-09,6770,6819,6764,6795,38218
2024-02-12,6795,6830,6790,6825,30819
2024-02-13,6830,6970,6824,6944,123444
2024-02-14,6964,7029,6884,6932,88118
2024-02-15,6933,6942,6871,6913,59651
2024-02-16,6925,6950,6841,6851,63722
2024-02-19,6851,6915,6845,6869,37992
2024-02-20,6869,6906,6700,6715,90390
2024-02-21,6715,6754,6621,6668,77450
2024-02-22,6669,6711,6660,6702,24970
2024-02-26,6724,6874,6706,6828,61474
2024-02-27,6827,6831,6714,6745,39022
2024-02-28,6745,6776,6692,6717,30606
2024-02-29,6718,6764,6677,6755,61365
2024-03-01,6755,6810,6731,6792,39298
2024-03-04,6792,6830,6719,6757,65461
2024-03-05,6750,6820,6719,6811,46098
2024-03-06,6820,6825,6760,6779,43315
2024-03-07,6762,6800,6744,6791,24534
2024-03-11,6802,6819,6731,6746,54674
2024-03-12,6741,6794,6722,6759,32344
2024-03-13,6771,6797,6745,6760,44478
2024-03-14,6777,6780,6708,6745,59606
2024-03-15,6745,6780,6745,6751,20350
2024-03-18,6751,6784,6685,6693,63093
2024-03-19,6694,6698,6630,6657,56884
2024-03-20,6656,6697,6610,6680,46876
2024-03-21,6680,6700,6629,6682,40045
2024-03-22,6680,6689,6605,6623,46315
2024-03-25,6623,6665,6584,6609,44914
2024-03-26,6609,6635,6593,6628,40942
2024-03-27,6640,6644,6600,6607,25590
2024-03-28,6622,6672,6601,6658,36862
2024-03-29,6658,6670,6597,6625,44521
2024-04-01,6631,6750,6631,6748,70862
2024-04-02,6750,6760,6693,6728,48325
2024-04-03,6732,6754,6693,6746,40977
2024-04-04,6746,6763,6701,6706,37495
2024-04-05,6703,6729,6650,6680,61392
2024-04-08,6710,6746,6700,6736,35157
2024-04-09,6736,6740,6670,6699,31473
2024-04-10,6682,6740,6673,6691,50941
2024-04-11,6693,6759,6650,6741,45978
2024-04-12,6741,6810,6738,6771,53998
2024-04-15,6774,6815,6750,6784,47975
2024-04-16,6807,6808,6721,6730,46334
2024-04-17,6752,6752,6688,6702,39975
2024-04-18,6710,6810,6700,6802,68545
2024-04-19,6802,6824,6750,6754,30442
2024-04-22,6757,6795,6748,6780,38480
2024-04-23,6790,6790,6698,6702,41922
2024-04-24,6725,6725,6659,6680,28655
2024-04-25,6680,6688,6603,6660,36319
2024-04-26,6661,6710,6600,6603,68102
2024-04-27,6613,6658,6576,6610,39539
2024-04-29,6630,6630,6583,6601,23500
2024-04-30,6612,6654,6602,6610,22204
2024-05-02,6622,6636,6610,6633,21475
2024-05-03,6609,6633,6602,6610,15676
2024-05-06,6610,6618,6550,6551,49004
2024-05-07,6555,6594,6530,6540,36473
2024-05-08,6560,6568,6530,6534,27759
2024-05-10,6530,6597,6502,6535,24917
2024-05-13,6540,6553,6505,6511,32980
2024-05-14,6505,6577,6505,6545,30496
2024-05-15,6545,6572,6511,6554,33456
2024-05-16,6566,6566,6515,6543,17024
2024-05-17,6544,6647,6519,6618,56837
2024-05-20,6618,6650,6572,6612,46418
2024-05-21,6591,6600,6460,6503,56502
2024-05-22,6504,6525,6333,6357,109571
2024-05-23,6357,6357,6135,6182,160419
2024-05-24,6190,6279,6182,6266,86800
2024-05-27,6289,6296,6200,6231,67119
2024-05-28,6249,6356,6000,6008,123766
2024-05-29,5997,6089,5891,6077,156940
2024-05-30,6077,6199,6001,6032,86183
2024-05-31,6020,6053,5920,5934,92543
2024-06-03,5941,6080,5656,5910,157055
2024-06-04,5930,6008,5788,5940,57804
2024-06-05,5940,6022,5817,5836,58004
2024-06-06,5865,5950,5805,5854,69368
2024-06-07,5853,6014,5833,6006,77286
2024-06-10,6045,6086,5842,5894,59106
2024-06-11,5885,5900,5717,5724,65391
2024-06-13,5449,5930,5449,5830,81349
2024-06-14,5832,5977,5811,5960,44712
2024-06-17,5977,6002,5826,5846,65092
2024-06-18,5847,5882,5750,5844,54411
2024-06-19,5858,5858,5655,5721,62835
2024-06-20,5735,6096,5720,6094,158498
2024-06-21,6099,6099,5940,6030,94509
2024-06-24,6031,6083,5934,5945,39619
2024-06-25,5954,5967,5830,5940,61752
2024-06-26,5950,5965,5842,5873,56279
2024-06-27,5876,5909,5804,5856,43072
2024-06-28,5866,5888,5835,5869,20493
2024-07-01,5871,5898,5830,5856,32476
2024-07-02,5865,6000,5844,5999,51338
2024-07-03,6000,6030,5937,6012,45445
2024-07-04,6015,6070,5869,5923,67712
2024-07-05,5937,5985,5881,5908,33272
2024-07-08,5927,6141,5921,5998,98690
2024-07-09,5981,6050,5839,5885,86881
2024-07-10,5862,5897,5459,5595,188259
