TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,777.8,791.0,775.35,790.3,180375
2023-01-04,794.4,803.6,792.5,801.45,161839
2023-01-05,801.45,801.5,783.3,787.55,124266
2023-01-06,789.05,793.6,778.0,790.5,145785
2023-01-09,798.0,799.95,780.0,784.5,189192
2023-01-10,783.0,790.0,775.1,787.6,124591
2023-01-11,790.5,792.0,785.6,788.15,103052
2023-01-12,789.9,797.45,785.0,793.4,132621
2023-01-13,793.7,812.0,790.15,806.8,294338
2023-01-16,809.5,826.0,807.6,822.8,299549
2023-01-17,822.75,828.0,810.7,812.9,216465
2023-01-18,812.8,824.85,808.05,815.5,163646
2023-01-19,816.0,820.0,803.9,816.45,158990
2023-01-20,816.9,820.5,813.0,817.45,97678
2023-01-23,820.0,826.9,816.15,822.4,131783
2023-01-24,825.0,844.7,825.0,843.5,404338
2023-01-25,847.0,856.95,843.5,856.95,247464
2023-01-26,857.1,876.9,852.85,876.6,419351
2023-01-27,877.45,878.0,866.25,876.8,200047
2023-01-30,883.0,929.8,878.1,925.25,673608
2023-01-31,924.8,951.5,907.0,947.8,666765
2023-02-01,947.5,981.5,935.5,972.0,1084265
2023-02-02,980.0,980.0,943.0,944.9,645288
2023-02-03,944.75,954.5,915.8,924.8,850812
2023-02-06,926.35,943.4,921.0,934.2,314275
2023-02-07,935.0,939.0,902.5,911.15,427163
2023-02-08,909.95,928.7,902.5,921.85,388662
2023-02-09,924.95,929.8,912.1,913.95,189302
2023-02-10,910.25,915.0,904.25,912.35,151353
2023-02-13,912.35,924.0,906.3,908.0,157625
2023-02-14,910.1,914.45,889.0,893.15,282553
2023-02-15,887.65,887.7,808.55,837.5,1014185
2023-02-16,847.3,862.0,830.3,842.7,582271
2023-02-17,830.1,869.35,822.7,866.7,412027
2023-02-20,864.3,894.9,842.2,892.25,666283
2023-02-21,892.65,915.0,882.4,896.35,619415
2023-02-22,899.85,899.85,870.45,874.3,293322
