TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,1275.0,1290.0,1262.0,1288.6,30140
2023-01-04,1284.0,1295.0,1279.8,1288.4,27427
2023-01-05,1293.4,1293.4,1211.0,1276.6,21698
2023-01-06,1265.6,1277.0,1255.0,1259.6,37406
2023-01-09,1264.8,1286.8,1264.0,1286.8,42407
2023-01-10,1287.0,1290.0,1277.6,1281.4,18226
2023-01-11,1281.6,1312.2,1281.4,1309.8,98020
2023-01-12,1301.2,1353.0,1301.2,1348.2,249316
2023-01-13,1350.0,1370.0,1321.0,1347.2,188527
2023-01-16,1353.2,1380.0,1352.0,1375.0,160820
2023-01-17,1378.0,1380.0,1332.0,1337.2,114616
2023-01-18,1333.0,1362.4,1322.0,1360.6,97558
2023-01-19,1363.0,1365.0,1337.6,1350.8,44842
2023-01-20,1364.0,1364.0,1338.4,1350.8,48319
2023-01-23,1359.8,1384.4,1350.0,1374.4,121137
2023-01-24,1380.0,1406.8,1377.0,1397.0,169461
2023-01-25,1397.0,1474.0,1390.2,1450.0,276419
2023-01-26,1450.4,1499.0,1448.2,1493.0,197576
2023-01-27,1500.0,1500.0,1460.0,1473.0,161941
2023-01-30,1487.8,1572.0,1475.2,1563.6,379679
2023-01-31,1570.0,1620.0,1564.4,1610.0,355501
2023-02-01,1604.0,1617.8,1560.8,1595.6,200705
2023-02-02,1596.2,1605.0,1575.0,1593.6,88971
2023-02-03,1593.0,1593.0,1542.6,1579.0,126530
2023-02-06,1581.0,1618.2,1565.0,1605.0,180060
2023-02-07,1611.8,1624.0,1591.0,1602.6,112125
2023-02-08,1601.0,1607.6,1576.6,1581.2,77981
2023-02-09,1580.0,1586.2,1541.0,1564.2,105246
2023-02-10,1564.2,1564.2,1513.8,1545.0,111017
2023-02-13,1567.0,1581.6,1546.0,1563.8,76504
2023-02-14,1569.2,1569.2,1526.8,1541.6,72322
2023-02-15,1535.0,1540.0,1420.2,1463.4,266363
2023-02-16,1463.6,1538.0,1463.6,1514.2,156678
2023-02-17,1514.2,1529.2,1494.0,1514.2,61132
2023-02-20,1505.2,1517.0,1475.0,1509.0,83973
2023-02-21,1510.0,1633.0,1509.4,1594.8,323184
2023-02-22,1599.8,1616.0,1573.6,1585.2,75737
2023-02-24,1599.0,1604.0,1584.0,1592.6,43788
2023-02-27,1600.0,1614.0,1560.2,1605.4,109769
2023-02-28,1618.2,1635.0,1604.8,1623.2,117750
2023-03-01,1635.0,1639.4,1614.0,1639.2,122003
2023-03-02,1639.4,1642.4,1571.0,1613.4,162020
2023-03-03,1621.0,1633.0,1614.8,1628.6,75258
2023-03-06,1650.0,1717.4,1640.2,1680.6,439266
2023-03-07,1685.0,1686.2,1656.0,1672.0,166383
2023-03-09,1675.0,1685.6,1672.8,1682.4,89874
2023-03-10,1675.0,1688.2,1640.0,1678.8,110499
2023-03-13,1689.2,1715.0,1683.0,1711.0,221160
2023-03-14,1719.2,1748.0,1708.0,1728.2,433139
2023-03-15,1728.2,1737.0,1672.8,1697.0,537248
2023-03-16,1700.0,1700.0,1639.8,1682.6,249072
2023-03-17,1682.6,1692.0,1654.6,1671.2,192095
2023-03-20,1680.2,1688.8,1635.8,1679.6,229189
2023-03-21,1680.0,1707.6,1666.0,1696.0,235187
2023-03-22,1699.0,1705.6,1686.0,1703.6,150842
2023-03-23,1708.0,1714.0,1699.2,1703.0,96333
2023-03-24,1703.2,1718.2,1700.2,1702.8,157692
