TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2024-07-12,390.0,407.0,388.0,407.0,710751
2024-07-15,408.0,408.0,399.0,401.05,147147
2024-07-16,403.75,404.95,399.0,400.0,84978
2024-07-17,400.05,402.4,399.0,401.0,59715
2024-07-18,401.05,404.9,399.0,402.25,155779
2024-07-19,402.15,405.0,396.0,400.7,188899
2024-07-22,401.15,402.0,399.0,400.0,62552
2024-07-23,400.0,403.05,396.05,400.5,59894
2024-07-24,401.05,406.0,399.0,405.3,50569
2024-07-25,405.5,440.0,401.25,420.5,150875
2024-07-26,420.5,423.05,410.0,413.0,33744
2024-07-29,413.0,430.0,401.0,405.0,96506
2024-07-30,412.0,418.55,405.0,410.1,40389
2024-07-31,410.1,430.0,410.0,415.1,118181
2024-08-01,416.0,424.5,414.3,419.3,34235
2024-08-02,419.3,438.95,417.05,422.05,86588
2024-08-05,420.0,420.0,400.0,409.5,44420
2024-08-06,410.0,415.0,403.85,405.5,24581
2024-08-07,405.75,412.0,401.0,408.0,15838
2024-08-08,418.4,418.4,407.0,407.0,29429
2024-08-09,411.0,411.0,403.8,405.05,30941
2024-08-12,408.4,411.75,401.0,402.1,28796
2024-08-13,404.9,407.7,400.1,404.2,84696
2024-08-14,403.05,407.0,400.05,401.0,25573
2024-08-15,401.5,407.0,399.25,399.55,58367
2024-08-16,399.6,415.0,397.0,398.0,124241
2024-08-19,398.0,403.65,390.2,392.0,36157
2024-08-20,392.35,400.05,381.1,393.3,58965
2024-08-21,396.95,401.0,387.35,391.05,23012
2024-08-22,391.45,394.45,376.0,378.05,26683
2024-08-23,376.0,378.05,353.0,361.75,50969
2024-08-26,362.2,375.6,362.2,374.0,13916
2024-08-27,374.0,375.4,364.75,365.7,17370
2024-08-28,365.7,369.35,355.75,359.8,10241
2024-08-29,363.9,385.0,334.8,358.65,77628
2024-08-30,358.65,368.0,350.4,361.1,71005
2024-09-02,355.0,371.55,332.4,362.25,38672
2024-09-03,362.3,369.75,345.9,349.0,11208
2024-09-04,349.0,355.05,340.0,349.95,21009
2024-09-05,355.0,363.8,347.0,362.0,16352
2024-09-06,362.0,420.0,353.6,393.15,213614
2024-09-09,390.0,416.0,390.0,399.6,26367
2024-09-10,399.6,419.0,399.6,408.7,44222
2024-09-11,408.7,427.0,408.7,411.2,95144
2024-09-12,410.05,411.05,399.0,407.95,36336
2024-09-13,405.9,413.8,391.0,407.5,40995
2024-09-16,410.0,412.1,404.45,408.1,20377
2024-09-17,408.1,411.15,400.6,404.7,12093
2024-09-18,405.8,406.6,397.05,400.0,21283
2024-09-19,399.0,403.9,397.15,399.35,35629
2024-09-20,399.4,405.55,399.4,400.55,49528
2024-09-23,405.25,426.5,400.0,405.6,484652
2024-09-24,405.6,405.9,386.35,393.9,171770
2024-09-25,394.75,394.75,377.05,379.4,61112
2024-09-26,377.95,410.0,377.55,381.0,571445
2024-09-27,383.05,387.0,380.0,381.6,77052
2024-09-30,381.5,389.5,378.0,382.5,72264
2024-10-01,379.9,385.0,371.15,375.2,74293
2024-10-02,376.55,386.8,373.0,373.6,42942
2024-10-03,370.0,374.75,358.05,368.45,53920
2024-10-04,371.55,408.0,369.05,381.15,573077
2024-10-07,389.5,402.9,381.9,383.7,306015
2024-10-08,381.95,386.8,375.5,376.75,85634
2024-10-09,380.55,389.0,377.4,379.7,90137
2024-10-10,383.2,393.1,381.05,382.6,90202
2024-10-11,382.05,383.4,377.0,379.0,45207
2024-10-14,378.0,390.0,372.0,380.0,86310
2024-10-15,380.0,382.5,376.0,376.35,79328
2024-10-16,378.25,384.3,374.2,374.2,61746
2024-10-17,376.45,382.1,371.0,373.2,107150
2024-10-18,372.9,374.45,371.0,371.4,27965
2024-10-21,372.0,377.25,370.0,372.25,36200
2024-10-22,372.25,374.95,371.65,372.95,11628
2024-10-23,372.0,373.65,370.0,371.25,20989
2024-10-24,371.0,371.2,367.5,371.0,23924
2024-10-25,370.0,373.0,360.1,361.0,27179
2024-10-28,356.95,367.0,329.05,332.2,109349
2024-10-29,334.35,345.15,330.05,341.55,43210
2024-10-30,341.6,346.05,333.15,340.2,35182
2024-10-31,337.65,343.7,330.1,343.7,43788
2024-11-01,344.8,344.8,335.0,338.95,27185
2024-11-02,339.05,341.15,337.05,338.75,13409
2024-11-05,338.95,342.45,338.6,338.85,11348
2024-11-06,341.45,343.95,337.6,339.85,99323
2024-11-07,339.85,339.85,327.35,332.2,49102
2024-11-08,336.3,336.85,328.65,330.1,42108
2024-11-11,332.25,336.3,328.0,330.6,71027
2024-11-12,331.05,333.35,329.7,332.5,28816
2024-11-13,331.0,336.8,331.0,334.55,48063
2024-11-14,332.85,332.9,329.2,329.2,34378
2024-11-15,329.05,330.9,328.05,330.15,19135
2024-11-18,326.95,327.55,322.25,324.5,29575
2024-11-19,324.5,325.65,316.0,318.55,24219
2024-11-20,318.6,322.45,317.4,319.15,18723
2024-11-21,319.15,319.15,301.9,308.6,31785
2024-11-22,312.3,328.75,310.15,317.35,41920
2024-11-25,316.95,316.95,301.0,305.6,23910
2024-11-26,303.0,310.45,285.0,285.0,48031
2024-11-27,285.0,302.35,285.0,291.0,80775
