TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,0.74,0.754,0.737,0.751,1211400
2023-01-04,0.752,0.7685,0.7515,0.7625,2249100
2023-01-05,0.7725,0.7725,0.752,0.7615000000000001,813600
2023-01-06,0.7685,0.7895,0.748,0.7625,5583400
2023-01-09,0.775,0.7945,0.76,0.7755,4693400
2023-01-10,0.7889999999999999,0.8550000000000001,0.7805,0.7955,38054100
2023-01-19,0.8395,0.99,0.82,0.8999,2000445000
2023-01-20,0.91,0.948,0.86,0.8646,446484000
2023-01-23,0.88,0.9218,0.865,0.8721,245531000
2023-01-24,0.8759,0.9,0.8505,0.859,109807000
2023-01-25,0.8612,0.8639,0.8363,0.8465,58124000
2023-01-26,0.8539,0.8798,0.84,0.8495,211672000
2023-01-27,0.869,0.8734,0.8525,0.8556,104264000
2023-01-30,0.86,0.867,0.8559,0.8606,32346000
2023-01-31,0.8606,0.8642,0.842,0.8527,36346000
2023-02-01,0.8579,0.8742,0.8501,0.8576,58953000
2023-02-02,0.8564,0.869,0.855,0.8601,43111000
2023-02-03,0.8601,0.8635,0.842,0.8482,24576000
2023-02-06,0.8556,0.8594,0.8489,0.8517,24993000
2023-02-07,0.8545,0.896,0.8453,0.8536,239800000
2023-02-08,0.85,0.8687,0.85,0.8546,96382000
2023-02-09,0.8573,0.874,0.8443,0.8555,135800000
2023-02-10,0.85,0.8598,0.8469,0.85,74534000
2023-02-13,0.8555,0.8848,0.8518,0.8675,224579000
2023-02-14,0.8684,0.88,0.8,0.8284,147699000
2023-02-15,0.8284,0.8319,0.76,0.765,132615000
2023-02-16,0.778,0.7887,0.7505,0.7558,72284000
2023-02-17,0.765,0.7815,0.7577,0.758,74753000
2023-02-20,0.7688,0.793,0.759,0.7626,123305000
2023-02-21,0.7749,0.7749,0.7453,0.7635,62822000
2023-02-22,0.7696,0.7696,0.7586,0.761,24181000
2023-02-24,0.7613,0.7672,0.7577,0.7609,16489000
2023-02-27,0.7659,0.7885,0.7601,0.7724,82821000
2023-02-28,0.78,0.7847,0.7669,0.774,48086000
2023-03-01,0.7764,0.7816,0.774,0.7751,33064000
2023-03-02,0.7793,0.7878,0.7555,0.7663,74591000
2023-03-03,0.7683,0.7785,0.7632,0.769,47087000
2023-03-06,0.7812,0.83,0.7715,0.8102,407123000
2023-03-07,0.8222,0.8222,0.7983,0.8018,50382000
2023-03-09,0.803,0.806,0.7846,0.7952,52203000
2023-03-10,0.7952,0.7991,0.78,0.7813,37715000
2023-03-13,0.7815,0.7949,0.7758,0.7777,65002000
2023-03-14,0.7825,0.7973,0.7779,0.7858,49304000
2023-03-15,0.785,0.789,0.7738,0.7771,27228000
2023-03-16,0.7771,0.7795,0.768,0.7692,26658000
2023-03-17,0.7715,0.7739,0.7661,0.769,21951000
2023-03-20,0.77,0.7766,0.7693,0.7766,24094000
2023-03-21,0.777,0.7804,0.7704,0.7759,32362000
2023-03-22,0.777,0.777,0.771,0.7726,18895000
2023-03-23,0.775,0.783,0.7704,0.778,35481000
2023-03-24,0.779,0.789,0.7711,0.7748,38770000
2023-03-27,0.7768,0.7848,0.7722,0.7791,32093000
2023-03-28,0.782,0.7848,0.772,0.778,28949000
2023-03-29,0.7781,0.7846,0.775,0.782,32259000
2023-03-30,0.7838,0.787,0.7777,0.7824,37663000
2023-03-31,0.7825,0.7948,0.774,0.7813,107441000
2023-04-03,0.7957,0.7957,0.7813,0.7882,50729000
