TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,55.95,56.4,55.65,56.3,64380
2023-01-04,56.35,56.4,55.75,56.05,67810
2023-01-05,56.4,56.4,56.0,56.15,39580
2023-01-06,56.3,56.35,56.0,56.3,33920
2023-01-09,56.4,56.8,55.1,55.8,857450
2023-01-10,56.0,56.25,54.2,54.7,1250160
2023-01-11,54.9,55.05,53.75,54.5,2277540
2023-01-12,54.6,54.75,54.25,54.55,366030
2023-01-13,54.75,54.9,53.9,54.65,350600
2023-01-16,54.95,55.3,54.5,55.15,413960
2023-01-17,55.15,55.5,55.0,55.2,244230
2023-01-18,55.2,55.25,54.5,55.1,176920
2023-01-19,55.1,55.15,54.5,54.6,337550
2023-01-20,54.95,55.5,54.55,55.2,214030
2023-01-23,55.5,55.9,55.2,55.25,332960
2023-01-24,55.3,55.75,55.25,55.25,234240
2023-01-25,55.45,55.45,54.85,55.1,203920
2023-01-26,55.15,55.35,54.65,54.8,167110
2023-01-27,54.95,54.95,54.75,54.95,127000
2023-01-30,55.55,57.55,55.5,56.3,1543540
2023-01-31,56.5,56.5,55.65,55.95,381810
2023-02-01,55.85,56.5,55.7,56.3,196060
2023-02-02,56.45,56.65,56.35,56.65,188720
2023-02-03,56.65,57.45,56.4,57.05,432370
2023-02-06,57.25,57.65,56.9,57.4,319830
2023-02-07,57.6,58.25,57.55,57.85,334130
2023-02-08,57.85,58.7,57.8,58.05,236550
2023-02-09,58.05,58.55,56.95,57.95,263140
2023-02-10,58.0,58.2,57.35,57.85,124810
2023-02-13,58.05,59.7,57.85,59.0,464960
2023-02-14,59.05,59.2,58.2,58.65,211930
2023-02-15,58.65,58.65,57.1,57.1,209080
2023-02-16,57.1,59.0,57.0,57.3,141000
2023-02-17,57.3,57.75,57.1,57.6,53720
2023-02-20,57.6,57.75,56.7,57.55,158290
2023-02-21,57.9,58.35,57.4,58.05,110360
2023-02-22,58.15,58.3,57.9,58.1,66020
2023-02-24,58.25,58.7,58.0,58.2,88650
2023-02-27,57.9,58.55,57.75,58.5,78790
2023-02-28,58.6,59.1,58.5,59.05,117290
2023-03-01,59.45,59.9,58.0,59.05,299470
2023-03-02,59.6,59.85,58.2,58.5,215210
2023-03-03,58.55,59.0,58.25,58.95,103040
2023-03-06,59.15,59.6,58.6,59.6,170090
2023-03-07,59.7,59.7,59.0,59.45,79670
2023-03-09,59.1,59.7,59.1,59.35,83930
2023-03-10,59.35,59.55,59.15,59.35,72510
2023-03-13,59.45,59.75,58.6,58.95,254590
2023-03-14,59.45,60.45,58.6,60.15,319790
2023-03-15,60.4,60.4,59.0,59.35,237890
2023-03-16,59.35,60.5,59.3,59.95,430850
2023-03-17,60.45,60.45,59.05,60.05,491920
2023-03-20,60.15,61.0,59.85,60.95,436500
2023-03-21,61.0,61.2,60.0,60.5,279230
2023-03-22,60.5,60.6,60.0,60.6,120130
2023-03-23,60.7,60.95,60.0,60.8,161350
2023-03-24,60.95,61.05,60.6,60.9,106360
2023-03-27,60.9,61.6,60.85,61.3,1070140
2023-03-28,61.5,61.55,60.5,60.8,238870
2023-03-29,61.25,61.25,60.65,60.9,156240
2023-03-30,60.85,60.9,60.4,60.7,196480
2023-03-31,61.2,61.2,60.15,60.6,228380
2023-04-03,61.0,61.25,60.75,61.0,216640
2023-04-04,61.2,61.9,61.05,61.2,257250
2023-04-05,61.35,61.55,60.95,61.45,157250
2023-04-06,61.5,62.0,61.45,61.55,174530
2023-04-07,61.6,61.7,61.25,61.45,157830
2023-04-10,61.6,62.25,61.45,62.05,205320
2023-04-11,62.1,62.45,61.3,61.4,361290
2023-04-12,61.4,62.0,61.1,61.6,170610
2023-04-13,61.9,62.15,61.45,61.6,218200
2023-04-14,62.0,62.45,61.25,61.7,257250
2023-04-17,61.9,62.8,61.4,62.2,272810
2023-04-18,62.6,63.0,62.0,62.5,335000
2023-04-19,62.15,62.9,62.0,62.45,270030
2023-04-20,62.55,62.7,61.9,62.65,181190
2023-04-21,62.65,62.9,62.35,62.8,215000
2023-04-24,62.9,63.3,62.5,63.15,232750
2023-04-25,63.45,63.5,62.75,63.05,186400
2023-04-26,63.2,64.35,63.15,64.0,593730
2023-04-27,64.2,64.35,63.5,64.05,178120
2023-04-28,64.05,65.0,63.7,64.3,436850
2023-05-02,64.3,65.35,61.25,63.15,560470
2023-05-03,63.15,66.15,62.7,63.55,1534050
2023-05-04,63.6,64.6,63.45,64.15,310540
2023-05-05,64.65,64.7,63.5,64.05,239750
2023-05-08,64.2,64.2,63.4,63.5,184490
2023-05-10,63.65,65.3,62.9,64.85,484470
2023-05-11,65.15,65.8,64.75,65.35,203910
2023-05-12,65.15,65.15,64.05,64.45,257150
2023-05-15,64.55,65.75,64.3,65.55,371660
2023-05-16,65.4,66.35,65.35,65.75,193690
2023-05-17,66.0,68.0,65.6,67.3,658710
2023-05-18,67.9,68.95,67.85,68.4,605260
2023-05-19,69.2,71.0,68.65,69.9,1036750
2023-05-22,70.2,70.45,67.85,68.25,453490
2023-05-23,68.25,69.65,67.9,68.95,424180
2023-05-24,69.35,70.5,68.7,70.45,418080
2023-05-25,70.4,70.95,69.7,70.7,410900
2023-05-26,70.95,70.95,70.0,70.6,472410
2023-05-29,71.0,73.55,70.55,73.05,1080320
2023-05-30,73.05,73.75,70.7,71.9,632450
2023-05-31,72.15,72.5,70.65,72.45,292660
2023-06-01,72.25,72.75,69.05,71.0,508500
2023-06-02,71.0,72.8,70.2,72.05,620340
2023-06-05,72.0,74.0,72.0,72.6,793760
2023-06-06,71.85,72.5,69.65,71.85,1318120
2023-06-07,71.85,72.6,70.85,72.15,426210
2023-06-08,72.45,72.45,70.3,71.75,228660
2023-06-09,71.95,72.35,71.9,72.15,255160
2023-06-13,72.8,73.05,72.3,72.65,296830
2023-06-14,72.7,74.3,72.65,73.4,522790
2023-06-15,73.6,75.5,73.15,74.7,566160
2023-06-16,74.7,75.5,74.25,75.0,563370
2023-06-19,75.1,76.35,73.0,75.0,444890
2023-06-20,75.15,76.85,74.65,75.95,498170
2023-06-21,75.85,77.0,75.55,76.3,374850
2023-06-22,76.3,77.05,76.0,76.35,264720
2023-06-23,76.35,76.35,74.55,75.55,323260
2023-06-26,75.0,75.55,73.65,74.8,532380
2023-06-27,74.8,76.75,73.2,74.7,508010
2023-06-28,74.85,75.8,74.35,75.25,279250
2023-06-29,75.25,77.45,75.05,77.1,471210
2023-06-30,74.55,76.2,74.55,75.1,1140830
2023-07-03,75.6,75.75,74.6,75.1,385010
2023-07-04,74.65,75.1,73.75,74.4,258430
2023-07-05,74.4,74.4,73.65,74.0,177950
2023-07-06,74.25,74.7,73.75,74.1,243310
2023-07-07,74.3,74.8,73.75,74.15,209280
2023-07-10,74.15,74.75,74.05,74.4,214080
2023-07-11,74.4,74.9,74.2,74.7,224850
2023-07-12,74.95,74.95,74.5,74.6,236050
2023-07-13,74.85,75.05,73.6,74.25,352170
2023-07-14,74.2,75.4,74.05,74.95,336780
2023-07-17,74.7,75.15,74.0,74.8,260450
2023-07-18,75.0,75.0,74.6,74.7,271470
2023-07-19,74.55,75.0,74.1,74.65,340010
2023-07-20,74.85,74.85,73.7,73.9,249360
2023-07-21,73.6,73.8,72.2,73.65,324780
2023-07-24,73.95,74.5,73.55,74.4,324810
2023-07-25,74.0,74.5,74.0,74.15,224220
2023-07-26,74.45,74.45,73.8,74.1,151360
2023-07-27,74.15,74.45,74.0,74.2,340610
2023-07-28,74.2,74.55,74.0,74.15,194660
2023-07-31,74.4,75.0,74.2,74.45,527200
2023-08-01,74.8,75.5,73.95,74.3,2426340
2023-08-02,74.45,74.5,73.6,74.0,954220
2023-08-03,74.85,75.25,73.8,73.9,5868750
2023-08-04,75.1,75.3,71.6,72.8,4075750
2023-08-07,72.9,74.25,72.9,73.2,1016960
2023-08-08,73.2,75.0,72.4,73.05,890740
2023-08-09,73.55,73.8,72.85,72.95,475770
2023-08-10,73.2,73.4,72.95,73.05,635020
2023-08-11,73.3,73.35,72.8,73.15,616080
2023-08-14,73.25,73.4,72.0,72.35,1834740
2023-08-15,72.2,73.65,70.2,72.7,2563680
2023-08-16,73.0,73.1,70.35,71.55,1599650
2023-08-17,72.0,73.05,71.55,71.8,585740
2023-08-18,72.35,72.9,71.9,72.9,935140
2023-08-21,73.3,73.5,72.5,72.95,849570
2023-08-22,73.15,73.25,72.65,72.95,336010
2023-08-23,73.0,73.1,72.1,72.5,497450
2023-08-24,72.6,72.75,71.9,72.25,312370
2023-08-25,72.55,72.75,72.0,72.1,416480
2023-08-28,72.1,72.55,72.0,72.2,680310
2023-08-29,72.4,72.4,71.95,72.15,1339830
2023-08-30,72.25,72.25,71.9,72.0,553410
2023-08-31,72.0,73.4,71.5,72.15,1278660
2023-09-01,72.1,72.35,71.9,72.15,507830
2023-09-04,72.15,72.3,71.9,72.05,993250
2023-09-05,72.0,72.3,71.65,72.05,1430420
2023-09-06,72.2,73.0,71.8,71.95,3704970
2023-09-07,72.0,74.0,70.6,71.25,7233100
2023-09-08,71.4,73.85,70.0,72.0,5851710
2023-09-11,72.5,72.5,71.2,71.5,1162110
2023-09-12,72.0,72.9,71.5,71.95,1071640
2023-09-13,72.25,72.45,71.35,71.85,1280490
2023-09-14,72.15,72.15,67.55,70.15,2681890
2023-09-15,70.15,70.6,69.65,70.45,894530
