TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,56.19,56.32,55.88,56.12,373410
2023-01-04,56.06,56.29,55.1,55.89,743770
2023-01-05,55.99,55.99,55.7,55.85,197490
2023-01-06,55.8,56.02,55.75,55.9,188100
2023-01-09,55.96,57.2,55.77,56.75,1551810
2023-01-10,57.16,57.16,56.31,56.74,545830
2023-01-11,56.8,57.17,56.45,57.16,1046660
2023-01-12,57.16,57.16,56.74,56.95,396390
2023-01-13,56.75,57.2,56.16,56.84,948270
2023-01-16,57.16,57.95,56.9,57.85,1512410
2023-01-17,57.9,57.93,56.86,57.16,631210
2023-01-18,57.0,57.53,56.64,57.14,664050
2023-01-19,56.76,57.2,55.67,56.35,3355050
2023-01-20,56.35,56.52,55.84,56.34,688020
2023-01-23,56.34,57.63,56.22,57.18,1265030
2023-01-24,57.18,57.36,56.57,56.87,504890
2023-01-25,56.78,57.04,55.91,56.36,1052350
2023-01-26,56.4,56.56,56.21,56.45,279910
2023-01-27,56.5,56.51,56.2,56.39,505190
2023-01-30,61.89,61.89,57.37,59.13,15761510
2023-01-31,58.89,59.4,58.26,58.61,2163910
2023-02-01,58.61,59.09,58.61,58.91,1068950
2023-02-02,59.1,59.68,58.71,59.43,877670
2023-02-03,59.52,59.52,58.5,59.18,939840
2023-02-06,59.5,60.6,58.79,60.57,2154380
2023-02-07,60.4,60.44,59.2,59.65,1468900
2023-02-08,59.7,59.86,58.96,59.1,1269500
2023-02-09,59.2,59.44,58.6,59.22,691000
2023-02-10,59.3,59.98,58.82,59.4,839990
2023-02-13,59.72,59.9,58.8,59.17,995840
2023-02-14,59.5,59.5,58.5,58.59,833890
2023-02-15,58.26,58.56,55.84,56.56,2164910
2023-02-16,56.52,57.79,56.52,57.38,1105020
2023-02-17,57.41,57.8,57.16,57.43,463290
2023-02-20,57.31,57.72,56.38,57.62,963070
2023-02-21,57.62,58.46,57.5,58.11,840600
2023-02-22,58.01,58.01,57.62,57.93,482900
2023-02-24,58.0,58.77,57.66,58.5,422470
2023-02-27,57.88,58.78,57.88,58.52,635170
2023-02-28,58.6,58.78,58.11,58.73,622060
2023-03-01,58.97,59.2,58.71,59.11,850510
2023-03-02,59.11,59.11,57.8,58.13,1186450
2023-03-03,58.1,58.89,58.08,58.75,439110
2023-03-06,58.95,59.7,58.6,59.7,1416520
2023-03-07,59.7,59.74,59.16,59.4,639020
2023-03-09,59.47,59.56,59.12,59.3,490810
2023-03-10,59.15,59.17,58.56,58.85,604090
2023-03-13,58.7,59.47,58.29,58.72,1300620
2023-03-14,58.71,60.99,58.48,60.37,4253320
2023-03-15,60.4,60.54,59.3,59.77,1399750
2023-03-16,59.77,60.75,59.39,60.05,2642830
2023-03-17,60.07,61.7,59.94,61.33,2169300
2023-03-20,61.49,62.0,60.8,61.9,1895020
2023-03-21,61.9,61.97,61.0,61.41,1028090
2023-03-22,61.33,61.66,61.01,61.3,514080
2023-03-23,61.5,61.93,61.03,61.38,963560
2023-03-24,61.22,61.7,61.11,61.29,464310
2023-03-27,61.99,63.29,61.56,62.2,2850530
2023-03-28,62.35,62.5,61.25,61.61,1468660
2023-03-29,61.61,61.77,61.12,61.28,1671430
2023-03-30,61.25,61.25,60.56,61.17,2885650
2023-03-31,61.18,61.38,60.72,61.28,1761760
2023-04-03,61.5,61.99,61.15,61.93,2175090
2023-04-04,61.97,62.5,61.44,62.2,1838420
2023-04-05,62.29,62.3,61.76,62.13,1292270
2023-04-06,62.2,62.61,61.82,62.08,1389220
2023-04-07,61.87,62.2,61.44,61.95,1112800
2023-04-10,62.09,63.76,61.93,63.24,3010030
2023-04-11,63.29,63.55,61.68,62.11,1896600
2023-04-12,62.33,62.47,61.8,62.33,1185910
2023-04-13,62.32,62.7,61.84,62.34,1046420
2023-04-14,62.49,62.7,62.08,62.53,1355860
2023-04-17,62.8,63.84,62.66,63.78,2204410
2023-04-18,63.8,63.91,63.07,63.79,1021160
2023-04-19,63.8,64.31,63.11,63.22,1817770
2023-04-20,63.2,63.7,62.21,63.33,1968830
2023-04-21,63.15,63.6,62.88,63.1,946890
2023-04-24,63.25,64.1,63.0,63.64,1531300
2023-04-25,63.79,63.89,63.41,63.59,884430
2023-04-26,63.59,65.7,63.55,65.1,5334440
2023-04-27,65.1,65.49,64.7,65.28,1481530
2023-04-28,65.16,66.61,64.91,65.49,3205760
2023-05-02,66.0,66.59,64.05,64.96,2525600
2023-05-03,65.0,67.2,64.24,65.27,6426880
2023-05-04,65.4,65.95,64.63,65.21,1491590
2023-05-05,65.32,65.97,63.75,64.12,2121000
2023-05-08,64.32,64.53,63.24,63.27,965580
2023-05-10,64.0,65.37,63.3,65.08,2141580
2023-05-11,65.08,65.57,63.52,64.19,2177140
2023-05-12,64.34,64.5,63.93,64.24,880410
2023-05-15,64.3,66.35,64.25,66.2,3090670
2023-05-16,66.3,66.5,65.53,66.3,1150620
2023-05-17,66.5,69.45,65.92,69.07,4839290
2023-05-18,69.35,72.0,68.33,70.64,4802160
2023-05-19,70.01,72.77,69.39,71.76,4631670
2023-05-22,72.4,72.47,69.34,69.95,3210690
2023-05-23,69.74,71.19,68.53,70.39,2432780
2023-05-24,70.49,72.0,70.19,71.63,2360510
2023-05-25,71.45,71.9,70.25,71.13,3234300
2023-05-26,71.0,72.33,70.85,72.0,1999020
2023-05-29,72.0,74.75,72.0,73.73,3623270
2023-05-30,73.49,75.2,72.67,73.11,3439640
2023-05-31,72.88,73.62,71.6,73.15,1445490
2023-06-01,73.25,73.49,71.84,71.86,1285950
2023-06-02,71.6,74.2,71.6,74.17,2478690
2023-06-05,74.22,75.0,72.0,72.25,2720190
2023-06-06,72.61,72.87,68.33,70.23,13982860
2023-06-07,70.51,71.87,70.26,71.31,4240430
2023-06-08,71.35,71.89,70.67,71.81,1755840
2023-06-09,71.99,72.2,71.14,71.27,1623320
2023-06-13,71.58,72.24,69.97,71.27,3477930
2023-06-14,71.49,71.49,70.73,71.15,2018710
2023-06-15,71.15,72.98,71.09,72.53,4116010
2023-06-16,72.53,73.0,71.43,72.16,2993400
2023-06-19,72.78,75.68,72.19,75.0,6388500
2023-06-20,75.0,75.22,72.72,73.8,4590850
2023-06-21,73.62,75.62,73.3,74.7,5300730
2023-06-22,74.89,75.02,73.3,73.76,2659520
2023-06-23,73.55,74.09,70.5,71.6,3766900
2023-06-26,72.64,73.95,70.63,72.25,4072110
2023-06-27,72.25,73.95,72.0,73.25,2011890
2023-06-28,73.4,73.57,72.41,73.57,1510820
2023-06-29,73.55,74.46,72.07,72.66,6100510
2023-06-30,72.5,72.82,71.25,71.83,2845800
2023-07-03,72.5,72.9,71.73,72.3,2814030
2023-07-04,72.08,72.43,70.24,71.03,2808100
2023-07-05,71.15,72.38,70.45,71.99,3705360
2023-07-06,72.0,72.2,71.16,71.79,2667710
2023-07-07,72.06,72.8,71.45,71.97,2783820
2023-07-10,71.87,72.49,71.8,72.3,1890750
2023-07-11,72.35,72.6,71.62,72.39,1983530
2023-07-12,72.55,73.14,72.12,72.67,2844930
2023-07-13,72.81,73.03,72.02,72.89,2551560
2023-07-14,72.99,72.99,72.34,72.66,1965140
2023-07-17,72.23,72.84,72.12,72.7,1827450
2023-07-18,72.71,73.45,72.38,73.1,2944440
2023-07-19,73.1,73.65,72.54,73.45,2585270
2023-07-20,73.59,73.61,71.27,71.53,3645860
2023-07-21,71.5,72.59,71.5,72.3,1532280
2023-07-24,72.56,74.44,72.09,74.28,5564540
2023-07-25,74.47,74.47,73.55,74.06,3283880
2023-07-26,73.9,74.03,73.2,73.88,2106860
2023-07-27,73.76,74.1,73.56,73.63,2148950
2023-07-28,73.61,74.1,73.4,73.62,2780820
2023-07-31,74.04,74.97,73.84,74.79,5454380
2023-08-01,74.96,76.5,74.03,75.45,7947680
2023-08-02,75.68,75.69,74.1,75.46,4978050
2023-08-03,76.5,79.0,76.13,79.0,18033150
2023-08-04,79.23,79.88,75.2,76.2,14696330
2023-08-07,76.53,79.4,76.27,76.84,6835580
2023-08-08,76.84,77.59,75.06,76.82,4940920
2023-08-09,77.09,77.37,75.98,76.93,2460190
2023-08-10,77.31,77.31,76.01,76.9,3374310
2023-08-11,76.9,77.38,76.24,76.6,2744480
2023-08-14,77.0,77.28,74.23,74.42,6422710
2023-08-15,74.3,77.2,73.56,75.25,10758090
2023-08-16,75.48,75.72,73.06,74.02,4458360
2023-08-17,73.75,74.74,73.58,74.45,2184980
2023-08-18,74.5,76.76,74.11,76.38,3874720
2023-08-21,76.65,76.83,75.93,76.25,2260070
2023-08-22,76.25,76.45,75.18,75.75,2491680
2023-08-23,75.55,75.99,73.9,74.35,3414480
2023-08-24,74.41,75.3,74.09,74.82,1995500
2023-08-25,75.0,75.05,74.46,74.73,1410020
2023-08-28,74.89,75.62,74.6,75.52,2399530
2023-08-29,75.68,75.68,74.8,75.23,2304660
2023-08-30,75.25,75.41,74.72,75.31,1406890
2023-08-31,75.32,76.5,75.21,75.88,3055710
2023-09-01,76.06,76.5,75.0,75.95,2358910
2023-09-04,75.52,76.47,75.52,76.2,3953110
2023-09-05,76.3,76.8,76.0,76.77,3968270
2023-09-06,76.77,78.83,76.06,77.85,7779890
2023-09-07,77.85,79.71,74.43,75.56,14569740
2023-09-08,75.59,78.19,73.5,76.13,15826640
2023-09-11,76.48,76.53,74.63,75.61,4913460
2023-09-12,75.72,76.83,75.2,76.45,4833230
2023-09-13,76.68,77.0,75.13,75.52,2773900
2023-09-14,75.52,75.91,73.15,74.29,5096530
2023-09-15,74.5,75.72,73.9,74.77,2597180
2023-09-18,74.94,75.68,74.31,74.67,2562760
2023-09-19,74.7,74.98,71.72,72.36,5558040
2023-09-20,72.36,73.98,70.95,73.11,4901540
2023-09-21,73.11,73.21,71.13,71.5,3514040
2023-09-22,71.3,72.19,70.95,71.95,2201750
2023-09-25,72.35,73.75,71.5,73.32,1961450
2023-09-26,73.24,73.52,72.32,73.1,1525450
2023-09-27,73.31,74.5,73.1,74.0,2068180
2023-09-28,74.2,74.28,73.42,73.8,1270850
2023-09-29,74.04,74.04,72.92,73.42,1357750
2023-10-02,73.69,73.99,72.73,72.83,1444220
2023-10-03,72.83,73.2,71.7,72.67,2382050
2023-10-04,72.98,72.98,72.26,72.4,872770
2023-10-05,72.5,72.74,72.12,72.52,917800
2023-10-06,72.3,72.72,71.87,72.55,1302690
2023-10-09,72.3,75.7,72.3,75.49,6160940
2023-10-10,75.2,76.3,74.5,74.76,3141390
2023-10-11,74.76,75.57,73.71,74.15,3077800
2023-10-12,74.17,77.49,73.75,76.1,13364970
2023-10-13,76.36,76.36,75.38,75.66,2068250
2023-10-16,76.06,76.2,75.5,75.79,2485840
2023-10-17,75.99,79.3,75.51,78.7,18115050
2023-10-18,79.09,79.49,76.7,77.51,9584410
2023-10-19,77.6,77.94,76.88,77.8,5266860
2023-10-20,77.8,77.8,77.02,77.39,2035040
2023-10-23,77.8,78.46,77.3,77.55,2765480
2023-10-24,77.4,77.76,77.18,77.5,1674770
2023-10-25,77.7,77.98,77.47,77.52,1913930
2023-10-26,77.53,77.98,76.24,76.76,3854100
2023-10-27,76.7,77.07,75.61,76.09,4742460
2023-10-30,76.12,77.07,76.02,76.2,2430050
2023-10-31,75.95,76.35,75.01,75.22,3361150
2023-11-01,75.2,75.44,74.93,75.3,3327090
2023-11-02,75.49,75.8,74.58,75.44,2659400
2023-11-03,75.44,75.5,74.45,74.7,3450760
2023-11-06,74.98,75.74,74.63,75.67,2031720
