TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,49.6,55.0,49.6,51.1,18160
2023-01-04,51.1,51.5,49.8,50.9,7220
2023-01-05,50.8,51.9,50.0,50.9,5630
2023-01-06,50.8,51.5,50.1,50.8,6230
2023-01-09,51.5,51.5,50.3,50.9,12740
2023-01-10,50.4,51.5,49.5,51.1,23020
2023-01-11,51.3,52.6,50.8,51.7,6950
2023-01-12,51.8,62.7,51.3,52.0,470650
2023-01-13,52.3,55.8,51.7,52.3,54560
2023-01-16,52.8,54.8,51.6,52.0,25940
2023-01-17,52.1,52.9,50.6,51.8,25000
2023-01-18,51.8,54.0,51.4,52.1,19020
2023-01-19,51.8,52.4,51.4,51.6,9500
2023-01-20,51.4,52.0,51.2,51.8,4350
2023-01-23,51.8,52.7,51.5,51.9,4850
2023-01-24,51.8,52.6,51.7,52.3,3700
2023-01-25,52.3,52.5,51.1,52.1,7570
2023-01-26,51.3,54.3,51.3,52.3,9590
2023-01-27,51.6,52.4,50.9,52.2,9320
2023-01-30,52.3,54.8,51.9,53.0,21750
2023-01-31,54.9,54.9,52.3,52.9,9690
2023-02-01,53.5,54.7,52.6,52.9,10310
2023-02-02,52.9,54.6,52.7,53.3,11700
2023-02-03,52.9,54.0,52.8,53.3,8700
2023-02-06,53.4,53.7,53.0,53.4,14850
2023-02-07,53.6,56.8,52.7,54.0,99910
2023-02-08,53.9,55.3,53.5,54.4,24070
2023-02-09,56.8,62.6,54.6,55.9,187270
2023-02-10,56.5,57.7,54.4,54.5,15880
2023-02-13,55.6,56.5,54.5,55.2,12500
2023-02-14,55.1,56.4,53.0,53.0,23590
2023-02-15,53.8,56.9,52.8,53.2,45680
2023-02-16,53.0,55.0,53.0,53.7,8500
2023-02-17,53.7,54.3,53.1,53.4,3240
2023-02-20,54.1,54.9,53.0,53.2,4670
2023-02-21,53.3,54.8,53.2,54.1,8190
2023-02-22,54.5,56.0,53.9,54.3,5540
2023-02-24,54.3,56.8,54.1,55.2,4190
2023-02-27,54.9,55.2,54.2,54.7,3280
2023-02-28,55.2,55.2,54.5,55.0,2830
2023-03-01,55.1,56.5,54.6,55.2,10620
2023-03-02,55.2,56.3,53.2,54.0,17830
2023-03-03,55.5,55.5,54.0,55.0,7840
2023-03-06,55.1,57.0,55.0,57.0,24100
2023-03-07,57.0,60.0,55.0,56.7,40530
2023-03-09,55.9,57.6,55.5,56.1,12000
2023-03-10,56.2,56.2,55.1,55.5,8050
2023-03-13,55.3,55.8,55.0,55.2,4880
2023-03-14,55.2,55.3,55.0,55.2,4090
2023-03-15,55.6,56.1,55.1,55.1,8930
2023-03-16,55.2,56.6,55.0,55.6,12230
2023-03-17,55.8,56.0,54.6,55.2,8760
2023-03-20,55.0,55.4,54.3,55.2,6310
2023-03-21,55.2,55.4,54.8,55.2,7510
2023-03-22,55.2,55.5,54.8,55.3,5040
2023-03-23,55.0,56.2,54.9,55.5,6610
2023-03-24,55.4,55.5,55.1,55.5,2720
2023-03-27,56.0,58.5,55.7,56.5,38130
2023-03-28,57.0,57.3,55.8,56.2,9160
2023-03-29,56.2,57.7,55.9,57.2,24450
2023-03-30,57.2,59.0,56.3,58.7,40110
2023-03-31,58.3,58.3,57.2,57.9,11530
2023-04-03,57.9,59.3,56.8,58.5,11250
2023-04-04,58.1,60.0,57.4,58.2,19480
2023-04-05,57.3,59.0,57.3,58.5,7180
2023-04-06,58.7,59.3,57.4,57.5,17070
2023-04-07,58.0,67.4,57.5,60.0,116690
2023-04-10,59.2,69.7,59.0,65.0,219720
2023-04-11,67.2,79.8,62.1,64.1,400010
2023-04-12,65.1,65.2,62.2,63.3,43550
2023-04-13,63.2,64.2,61.4,62.5,18780
2023-04-14,62.5,63.3,60.4,62.0,9410
2023-04-17,62.6,79.7,62.6,72.0,860140
2023-04-18,71.9,74.5,68.1,68.9,152770
2023-04-19,70.2,70.2,66.1,67.6,67430
2023-04-20,67.4,69.0,65.2,67.8,54460
2023-04-21,67.0,69.1,67.0,68.5,14940
2023-04-24,68.5,69.0,66.5,67.8,16610
2023-04-25,67.2,68.8,66.9,66.9,11250
2023-04-26,66.5,68.8,66.3,67.0,14480
2023-04-27,68.4,69.0,66.2,66.4,11150
2023-04-28,66.9,83.9,66.3,73.9,416780
2023-05-02,74.2,76.2,68.6,69.8,58520
2023-05-03,71.0,71.0,65.6,68.2,26040
2023-05-04,68.2,68.2,61.9,64.1,112600
2023-05-05,66.5,66.6,59.0,60.2,57340
2023-05-08,60.2,63.7,56.3,60.9,22090
2023-05-10,60.7,62.9,60.3,62.6,11190
2023-05-11,62.9,63.9,61.5,62.7,11350
2023-05-12,63.4,66.3,62.0,62.7,44880
2023-05-15,63.7,66.4,62.0,63.2,46050
2023-05-16,63.6,63.8,61.4,62.9,30240
2023-05-17,63.0,63.7,62.0,62.8,12840
2023-05-18,62.4,63.5,61.9,62.8,16930
2023-05-19,63.0,63.5,61.7,62.5,19810
2023-05-22,62.6,62.7,61.2,62.1,13530
2023-05-23,61.8,61.8,60.0,61.0,19260
2023-05-24,61.1,64.0,60.6,62.1,14740
2023-05-25,62.4,63.7,61.4,61.9,10590
2023-05-26,62.8,62.9,61.5,61.9,6380
2023-05-29,62.0,62.9,61.1,62.8,6290
2023-05-30,62.8,62.8,61.5,61.5,8970
2023-05-31,61.8,62.7,60.9,62.1,11640
2023-06-01,62.1,63.2,61.5,62.5,12280
2023-06-02,62.0,62.3,61.6,62.0,7090
2023-06-05,62.0,62.5,60.9,61.7,8770
2023-06-06,61.0,62.3,61.0,62.0,2830
2023-06-07,61.7,62.3,59.1,61.7,17470
2023-06-08,61.7,62.3,61.0,61.3,9180
2023-06-09,62.2,68.0,61.7,62.4,199180
2023-06-13,62.5,66.8,62.5,66.0,47450
2023-06-14,66.0,66.3,64.2,65.0,23370
2023-06-15,64.7,65.6,63.4,64.0,28180
2023-06-16,65.1,66.9,61.7,63.7,44790
2023-06-19,64.9,65.4,61.8,63.3,25330
2023-06-20,63.5,64.3,62.8,63.7,7050
2023-06-21,63.9,64.1,63.0,63.7,7280
2023-06-22,63.8,63.9,63.5,63.7,1920
2023-06-23,63.1,64.2,62.0,63.0,12060
2023-06-26,63.3,63.6,62.5,63.0,4850
2023-06-27,63.0,63.6,62.5,63.5,6040
2023-06-28,63.3,64.5,62.6,63.9,26840
2023-06-29,64.0,64.3,63.3,64.0,3990
2023-06-30,64.0,64.2,63.3,63.7,2480
2023-07-03,63.7,64.0,63.0,63.8,3170
2023-07-04,63.8,63.9,63.2,63.2,2270
2023-07-05,63.3,88.4,63.3,88.4,1093380
2023-07-06,88.4,95.7,75.0,75.5,495240
2023-07-07,75.6,88.6,73.0,76.7,553300
2023-07-10,82.9,82.9,74.2,75.0,82620
2023-07-11,74.7,96.7,73.2,84.4,918030
2023-07-12,87.8,94.9,81.1,86.6,401420
2023-07-13,88.4,90.6,82.4,82.5,56680
2023-07-14,90.8,103.5,84.1,91.0,946260
2023-07-17,92.0,96.0,90.6,92.0,193730
2023-07-18,92.4,93.4,88.3,91.8,50560
2023-07-19,91.5,91.9,87.6,91.5,97410
2023-07-20,91.9,91.9,88.0,88.5,34900
2023-07-21,89.8,89.8,86.5,88.4,36020
2023-07-24,88.3,88.3,85.3,88.2,33430
2023-07-25,88.3,92.0,86.6,88.1,58250
2023-07-26,88.1,89.2,86.0,87.8,32290
2023-07-27,88.4,89.1,87.0,87.9,18080
2023-07-28,88.8,88.8,87.2,87.8,9510
2023-07-31,88.5,88.5,83.9,86.7,50030
2023-08-01,86.8,87.0,85.4,86.4,30510
2023-08-02,86.9,87.0,85.5,86.1,12990
2023-08-03,86.4,86.5,84.8,85.8,16660
2023-08-04,86.5,90.0,85.4,86.3,62390
2023-08-07,86.5,87.4,84.5,86.8,20970
2023-08-08,86.7,86.7,85.1,85.2,13300
2023-08-09,86.5,86.9,84.8,86.3,16670
2023-08-10,86.0,89.0,85.2,87.1,33650
2023-08-11,88.2,88.5,87.0,87.6,13870
2023-08-14,87.9,89.0,86.1,86.1,21120
2023-08-15,86.0,88.3,85.0,87.8,10960
2023-08-16,87.8,97.2,81.9,83.9,284090
2023-08-17,84.3,86.4,82.2,85.1,32290
2023-08-18,85.9,87.3,84.0,84.6,19020
2023-08-21,84.5,86.7,84.5,86.4,11740
2023-08-22,86.9,86.9,85.1,86.0,19450
2023-08-23,86.1,95.0,86.1,89.0,338680
2023-08-24,91.0,117.8,89.8,98.9,1600890
2023-08-25,101.0,103.0,92.5,96.0,255730
2023-08-28,99.0,99.0,93.1,95.0,131460
2023-08-29,97.0,102.2,93.8,98.0,160060
2023-08-30,98.6,100.7,95.0,96.8,57100
2023-08-31,97.6,100.9,95.0,96.1,80650
2023-09-01,96.1,97.8,95.3,96.6,23740
2023-09-04,97.0,99.3,95.6,97.9,39100
2023-09-05,97.2,99.1,95.8,95.8,74200
2023-09-06,97.0,104.0,96.1,101.0,192990
2023-09-07,102.0,103.8,86.4,92.9,98200
2023-09-08,94.0,95.7,90.3,93.1,31440
2023-09-11,92.0,94.6,89.0,90.3,29910
2023-09-12,91.7,93.4,90.5,91.6,9940
2023-09-13,93.4,93.4,91.1,91.9,19890
2023-09-14,92.3,92.9,72.0,81.1,79380
2023-09-15,80.2,86.5,77.7,85.8,23570
2023-09-18,84.1,86.2,83.1,84.4,17070
2023-09-19,84.0,86.8,76.5,80.7,31840
2023-09-20,80.4,96.9,77.1,83.4,196000
2023-09-21,84.4,84.4,81.0,81.6,17670
2023-09-22,81.6,83.8,79.5,81.4,14870
2023-09-25,82.4,82.4,78.4,80.5,17990
2023-09-26,80.2,80.7,78.1,80.0,14770
2023-09-27,80.6,87.5,79.8,81.6,87600
2023-09-28,81.6,83.6,80.7,81.6,21580
2023-09-29,81.0,87.0,80.8,82.6,53930
2023-10-02,83.0,86.0,82.0,83.5,52080
2023-10-03,84.3,84.3,81.8,82.7,17000
2023-10-04,82.7,85.9,82.1,84.2,20780
2023-10-05,85.0,95.8,83.8,89.1,362380
2023-10-06,89.2,89.8,84.2,87.6,66170
2023-10-09,88.9,88.9,83.0,85.4,27860
2023-10-10,86.4,100.5,85.0,91.5,344540
2023-10-11,91.9,92.0,89.0,91.2,26870
2023-10-12,90.9,91.9,89.2,90.1,20340
2023-10-13,90.1,94.7,90.1,92.5,37960
2023-10-16,92.8,95.8,91.5,94.1,41300
2023-10-17,93.5,100.0,93.5,96.1,65450
2023-10-18,96.2,96.5,94.4,94.8,13750
2023-10-19,95.5,96.4,94.1,94.2,10070
2023-10-20,96.0,96.0,89.2,90.4,28960
2023-10-23,91.4,91.4,89.9,89.9,8300
2023-10-24,88.3,90.5,88.3,89.7,7690
2023-10-25,89.5,92.3,89.5,91.1,19540
2023-10-26,92.1,102.3,92.1,94.2,289570
2023-10-27,94.2,114.2,91.1,114.2,601420
2023-10-30,111.0,125.4,109.6,125.4,162880
2023-10-31,137.8,137.8,137.8,137.8,46580
2023-11-01,151.4,151.4,142.0,151.4,435510
2023-11-02,164.8,164.8,130.0,138.3,715410
2023-11-03,134.0,139.0,123.0,124.1,260940
2023-11-06,124.9,136.2,124.9,136.2,116730
2023-11-07,148.5,149.7,142.1,149.7,340640
2023-11-08,154.4,164.5,150.6,164.5,527620
2023-11-09,168.3,180.8,164.8,180.8,512790
2023-11-10,183.1,198.5,183.0,198.5,441030
2023-11-13,200.5,218.0,200.2,218.0,222490
2023-11-14,238.6,239.6,167.0,186.0,833960
2023-11-15,196.9,200.0,156.5,178.3,542330
2023-11-16,190.0,190.0,162.2,166.7,257040
2023-11-17,166.7,175.0,146.0,155.0,199020
2023-11-20,155.0,170.2,141.3,170.2,591080
2023-11-21,178.6,187.0,166.4,181.6,608650
2023-11-22,181.6,186.7,166.5,169.9,256960
2023-11-23,152.9,166.5,146.4,147.6,238540
2023-11-24,147.0,162.0,141.3,149.6,247670
2023-11-27,151.6,158.0,135.2,137.3,223790
2023-11-28,140.7,142.0,123.3,129.3,301190
