TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,1.212,1.232,1.21,1.214,40000
2023-01-04,1.218,1.232,1.218,1.218,33000
2023-01-05,1.228,1.238,1.22,1.228,12000
2023-01-06,1.228,1.25,1.17,1.23,61000
2023-01-09,1.25,1.25,1.226,1.234,23000
2023-01-10,1.228,1.228,1.2,1.214,331000
2023-01-11,1.226,1.248,1.21,1.248,164000
2023-01-12,1.25,1.26,1.234,1.24,72000
2023-01-13,1.24,1.244,1.24,1.244,11000
2023-01-16,1.244,1.252,1.242,1.252,42000
2023-01-17,1.252,1.3,1.22,1.236,181000
2023-01-18,1.222,1.24,1.222,1.24,12000
2023-01-19,1.24,1.45,1.228,1.26,1838000
2023-01-20,1.24,1.294,1.232,1.262,69000
2023-01-23,1.244,1.288,1.238,1.284,94000
2023-01-24,1.298,1.34,1.242,1.298,773000
2023-01-25,1.288,1.288,1.28,1.28,35000
2023-01-26,1.28,1.288,1.26,1.274,88000
2023-01-27,1.264,1.344,1.264,1.3,88000
2023-01-30,1.294,1.294,1.26,1.274,108000
2023-01-31,1.29,1.326,1.276,1.288,26000
2023-02-01,1.302,1.302,1.26,1.268,113000
2023-02-02,1.28,1.28,1.268,1.268,12000
2023-02-03,1.27,1.27,1.26,1.26,16000
2023-02-06,1.264,1.28,1.264,1.28,11000
2023-02-07,1.29,1.29,1.252,1.286,71000
2023-02-08,1.274,1.282,1.262,1.27,24000
2023-02-09,1.274,1.3,1.27,1.3,157000
2023-02-10,1.318,1.318,1.286,1.314,85000
2023-02-13,1.312,1.312,1.292,1.304,70000
2023-02-14,1.31,1.31,1.29,1.296,26000
2023-02-15,1.298,1.5,1.298,1.3,2029000
2023-02-16,1.336,1.336,1.282,1.3,324000
2023-02-17,1.348,1.348,1.28,1.294,42000
2023-02-20,1.294,1.308,1.282,1.282,33000
2023-02-21,1.284,1.304,1.284,1.304,10000
2023-02-22,1.294,1.306,1.292,1.296,21000
2023-02-24,1.322,1.322,1.29,1.3,79000
2023-02-27,1.302,1.302,1.27,1.288,57000
2023-02-28,1.298,1.3,1.28,1.3,159000
2023-03-01,1.302,1.312,1.3,1.3,55000
2023-03-02,1.3,1.32,1.3,1.32,54000
2023-03-03,1.32,1.39,1.32,1.328,250000
2023-03-06,1.36,1.6,1.35,1.394,4164000
2023-03-07,1.394,1.4,1.356,1.378,429000
2023-03-09,1.41,1.41,1.358,1.378,74000
2023-03-10,1.372,1.39,1.37,1.37,45000
2023-03-13,1.36,1.372,1.36,1.36,9000
2023-03-14,1.36,1.378,1.358,1.364,10000
2023-03-15,1.37,1.376,1.33,1.344,100000
2023-03-16,1.34,1.344,1.3,1.33,141000
2023-03-17,1.34,1.34,1.33,1.33,21000
2023-03-20,1.324,1.36,1.324,1.342,171000
