TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,0.1074,0.1076,0.107,0.107,40000
2023-01-04,0.107,0.1084,0.107,0.1084,530000
2023-01-05,0.1082,0.1082,0.107,0.1072,210000
2023-01-06,0.1078,0.1248,0.1078,0.1174,12860000
2023-01-09,0.1186,0.1188,0.1104,0.1164,1050000
2023-01-10,0.1164,0.1164,0.1104,0.1136,540000
2023-01-11,0.1106,0.1162,0.1106,0.114,810000
2023-01-12,0.1144,0.12,0.1132,0.1148,1670000
2023-01-13,0.114,0.1142,0.1122,0.114,650000
2023-01-16,0.1134,0.1206,0.1134,0.1148,1300000
2023-01-17,0.114,0.114,0.111,0.1128,790000
2023-01-18,0.1122,0.1122,0.11,0.1106,1260000
2023-01-19,0.1118,0.1178,0.1104,0.1148,3090000
2023-01-20,0.114,0.1144,0.1106,0.1144,890000
2023-01-23,0.1126,0.1176,0.1126,0.1154,980000
2023-01-24,0.1154,0.1186,0.1154,0.1158,330000
2023-01-25,0.1156,0.1166,0.1156,0.1156,140000
2023-01-26,0.118,0.118,0.1156,0.116,70000
2023-01-27,0.1188,0.1188,0.115,0.1162,1120000
2023-01-30,0.1176,0.1178,0.1168,0.117,40000
2023-01-31,0.1222,0.1232,0.1178,0.1182,3800000
2023-02-01,0.1182,0.1186,0.1152,0.1186,800000
2023-02-02,0.1188,0.1188,0.116,0.1178,560000
2023-02-03,0.1176,0.119,0.1174,0.1182,450000
2023-02-06,0.119,0.1218,0.1176,0.119,460000
2023-02-07,0.1184,0.1184,0.118,0.118,30000
2023-02-08,0.1188,0.1208,0.1174,0.12,800000
2023-02-09,0.1218,0.1228,0.1182,0.1192,870000
2023-02-10,0.12,0.123,0.119,0.1222,1990000
2023-02-13,0.123,0.123,0.117,0.119,3400000
2023-02-14,0.119,0.1206,0.1188,0.1188,1240000
2023-02-15,0.1194,0.122,0.1186,0.1198,2520000
2023-02-16,0.1212,0.1228,0.119,0.121,1470000
2023-02-17,0.1194,0.1214,0.1184,0.1214,1430000
2023-02-20,0.1188,0.1196,0.1182,0.1196,190000
2023-02-21,0.1196,0.1224,0.1172,0.121,1480000
2023-02-22,0.121,0.1212,0.1192,0.1212,220000
2023-02-24,0.1202,0.1208,0.1194,0.1208,270000
2023-02-27,0.1208,0.121,0.12,0.1208,160000
2023-02-28,0.1198,0.1208,0.1192,0.1208,80000
2023-03-01,0.121,0.1218,0.1194,0.1212,1370000
2023-03-02,0.121,0.1228,0.121,0.1216,1440000
2023-03-03,0.1216,0.127,0.1216,0.1252,5690000
2023-03-06,0.1264,0.1276,0.1222,0.1256,3760000
2023-03-07,0.1238,0.1272,0.1238,0.126,260000
2023-03-09,0.1264,0.127,0.1258,0.1262,2020000
2023-03-10,0.126,0.1262,0.1254,0.1262,110000
2023-03-13,0.1238,0.126,0.1238,0.126,260000
2023-03-14,0.126,0.129,0.1242,0.129,3070000
2023-03-15,0.1298,0.1298,0.127,0.1278,750000
2023-03-16,0.1264,0.1272,0.1262,0.1262,130000
2023-03-17,0.1256,0.1272,0.125,0.125,180000
2023-03-20,0.126,0.1262,0.1258,0.1262,60000
2023-03-21,0.1254,0.1276,0.125,0.127,160000
2023-03-22,0.1262,0.127,0.1254,0.127,1540000
2023-03-23,0.1274,0.1274,0.1268,0.127,600000
2023-03-24,0.127,0.1286,0.1258,0.127,640000
2023-03-27,0.1262,0.1326,0.1262,0.1316,2630000
2023-03-28,0.131,0.1314,0.13,0.131,160000
2023-03-29,0.1302,0.1338,0.13,0.13,680000
2023-03-30,0.1306,0.1354,0.1306,0.1352,1210000
2023-03-31,0.1346,0.1346,0.132,0.1326,290000
2023-04-03,0.135,0.135,0.133,0.1336,200000
2023-04-04,0.134,0.134,0.1332,0.1332,560000
2023-04-05,0.1342,0.1344,0.1294,0.1316,1120000
2023-04-06,0.1332,0.1336,0.1306,0.1336,460000
2023-04-07,0.1344,0.1346,0.13,0.1338,1000000
2023-04-10,0.1342,0.1868,0.1338,0.159,84260000
2023-04-11,0.1628,0.1662,0.1502,0.1566,8750000
2023-04-12,0.157,0.1598,0.15,0.156,5800000
2023-04-13,0.1578,0.183,0.1578,0.162,40640000
2023-04-14,0.1648,0.18,0.1584,0.1614,7290000
2023-04-17,0.1658,0.1718,0.1594,0.1608,5540000
2023-04-18,0.1608,0.1628,0.1572,0.1628,3420000
2023-04-19,0.1638,0.1854,0.1608,0.1712,62950000
2023-04-20,0.187,0.218,0.171,0.1792,84250000
2023-04-21,0.1792,0.1822,0.17,0.1742,26440000
2023-04-24,0.1754,0.1962,0.1726,0.1832,59490000
2023-04-25,0.19,0.2052,0.1734,0.1764,67890000
2023-04-26,0.1786,0.1848,0.1732,0.1764,12450000
2023-04-27,0.1766,0.18,0.1728,0.1768,3940000
2023-04-28,0.1778,0.179,0.1706,0.1758,3670000
2023-05-02,0.175,0.175,0.1598,0.163,8120000
