TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,141.98,143.11,141.01,141.43,2016870
2023-01-04,141.22,142.07,140.63,140.98,1521740
2023-01-05,141.0,141.18,140.2,140.58,1295450
2023-01-06,140.45,140.72,139.8,140.12,1132010
2023-01-09,140.55,142.41,140.5,141.99,3056860
2023-01-10,142.0,142.0,140.62,141.95,1897160
2023-01-11,142.0,148.99,141.93,148.72,8129040
2023-01-12,149.19,149.31,147.14,148.36,4948990
2023-01-13,148.8,151.6,147.39,150.89,5720830
2023-01-16,151.8,153.29,151.36,152.75,4966690
2023-01-17,152.75,153.15,148.56,149.61,7716710
2023-01-18,150.0,152.18,148.72,151.09,4113120
2023-01-19,151.02,151.5,148.5,148.94,4015480
2023-01-20,149.39,150.0,148.3,150.0,3503810
2023-01-23,150.78,152.0,149.64,151.32,4166260
2023-01-24,151.4,152.5,150.06,150.24,4315760
2023-01-25,150.0,151.0,149.68,150.46,2846400
2023-01-26,150.99,151.1,149.91,150.23,2361470
2023-01-27,150.2,151.0,150.0,150.55,1839040
2023-01-30,150.55,151.34,150.14,150.79,2090660
2023-01-31,150.55,155.5,150.55,155.47,5656960
2023-02-01,155.58,157.0,154.49,156.52,6440680
2023-02-02,155.53,158.72,155.5,158.07,5219110
2023-02-03,158.03,161.28,157.0,160.44,8262470
2023-02-06,161.15,165.95,160.62,165.87,8160930
2023-02-07,166.0,169.5,161.02,164.15,10953600
2023-02-08,164.3,165.07,161.24,163.04,5068990
2023-02-09,163.09,165.63,160.8,164.38,7279060
2023-02-10,164.2,164.95,163.5,164.33,3095370
2023-02-13,164.16,165.3,163.32,163.46,2790230
2023-02-14,163.46,163.47,160.21,160.86,4437810
2023-02-15,160.0,160.01,151.74,155.4,10567770
2023-02-16,156.0,158.46,155.29,157.25,5301770
2023-02-17,156.8,158.8,155.0,157.97,4640790
2023-02-20,157.92,158.73,155.08,157.71,5007150
2023-02-21,157.99,164.0,157.77,162.44,10447810
2023-02-22,162.58,162.8,160.61,161.75,3181170
2023-02-24,161.26,163.69,161.26,163.06,2548600
2023-02-27,162.44,167.73,161.75,167.67,5990690
2023-02-28,168.0,169.35,166.69,167.73,5689300
2023-03-01,168.11,169.2,167.71,168.99,3370110
2023-03-02,168.95,168.95,163.5,165.91,7567060
2023-03-03,165.91,168.71,165.91,168.71,3364450
2023-03-06,169.4,171.12,169.4,170.39,4141120
2023-03-07,170.75,172.74,169.73,172.5,3878630
2023-03-09,173.85,173.85,171.0,171.47,6042000
2023-03-10,170.79,172.22,169.37,171.9,3966180
2023-03-13,171.92,172.7,168.08,170.27,5396730
2023-03-14,169.65,174.75,169.43,174.01,5497950
2023-03-15,174.5,175.37,172.0,173.04,4294450
2023-03-16,173.0,174.02,171.35,174.0,3830910
2023-03-17,180.0,193.64,177.0,193.2,37294480
2023-03-20,196.0,205.0,195.71,203.85,19268930
2023-03-21,204.0,208.13,201.3,203.4,12629320
2023-03-22,203.8,204.43,201.8,203.23,5709740
2023-03-23,203.3,204.11,202.62,203.13,2385850
