TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,43.75,44.64,43.62,44.47,305090
2023-01-04,44.47,45.7,44.47,45.08,699490
2023-01-05,45.45,45.47,44.57,44.68,251340
2023-01-06,44.59,44.89,44.12,44.66,278290
2023-01-09,46.5,46.5,44.39,45.26,964490
2023-01-10,45.26,45.51,44.9,45.11,372840
2023-01-11,45.6,45.6,45.01,45.1,164250
2023-01-12,45.02,45.7,45.0,45.32,563430
2023-01-13,45.51,46.2,45.2,45.56,1047120
2023-01-16,46.19,48.29,46.0,47.2,2884510
2023-01-17,47.33,47.72,46.05,46.68,1267560
2023-01-18,46.85,47.38,46.08,46.87,684200
2023-01-19,46.9,48.15,46.11,46.43,908490
2023-01-20,46.89,47.04,46.5,46.73,288910
2023-01-23,46.73,47.72,46.52,46.93,574460
2023-01-24,47.2,47.8,47.04,47.48,773970
2023-01-25,47.63,49.16,47.31,48.3,3386560
2023-01-26,49.3,49.3,48.0,48.15,1968990
2023-01-27,48.94,49.26,47.7,47.98,2087620
2023-01-30,47.5,49.1,47.5,48.82,2096140
2023-01-31,48.72,49.3,48.1,48.48,779550
2023-02-01,48.48,49.14,47.88,48.18,1112410
2023-02-02,49.55,54.89,48.62,51.4,15235440
2023-02-03,51.81,51.9,49.79,50.0,3315010
2023-02-06,50.68,51.4,50.29,50.6,1728250
2023-02-07,50.76,50.89,49.54,49.92,1034190
2023-02-08,49.99,50.45,49.5,49.71,1008390
2023-02-09,50.0,50.2,48.31,49.56,1027910
2023-02-10,49.49,49.49,48.8,48.87,459720
2023-02-13,48.97,50.6,48.9,49.48,1295150
2023-02-14,49.7,50.07,48.2,48.29,1268200
2023-02-15,48.16,48.5,46.18,46.2,1989300
2023-02-16,46.76,48.49,46.5,46.6,1267610
2023-02-17,46.65,47.5,46.61,47.25,586720
2023-02-20,47.4,47.49,46.5,47.24,580620
2023-02-21,47.24,48.2,46.7,47.7,976730
2023-02-22,47.7,47.95,47.07,47.38,264860
2023-02-24,47.5,47.95,46.82,47.1,335700
2023-02-27,47.25,47.78,46.8,47.6,408230
2023-02-28,47.63,48.5,47.5,48.18,772560
2023-03-01,48.25,49.0,48.25,48.63,658790
2023-03-02,48.64,48.65,47.1,47.72,801520
2023-03-03,47.8,49.2,47.74,48.47,549290
2023-03-06,49.0,49.0,48.5,48.71,570590
2023-03-07,48.8,48.93,48.18,48.41,346930
2023-03-09,48.22,48.9,48.18,48.47,412090
2023-03-10,48.4,48.78,48.15,48.56,558720
2023-03-13,49.15,50.18,48.75,49.65,3500650
2023-03-14,50.04,53.0,49.49,49.59,13299340
2023-03-15,49.55,50.21,48.43,49.43,4001040
2023-03-16,49.45,49.59,48.53,48.89,1757640
2023-03-17,49.28,49.53,48.68,49.22,1788350
2023-03-20,49.61,51.19,49.61,49.8,3535510
2023-03-21,49.7,50.0,48.89,49.1,1842100
2023-03-22,49.27,49.47,48.64,49.26,898550
2023-03-23,50.02,50.5,49.29,49.38,1928000
2023-03-24,49.8,49.8,49.1,49.21,1227930
2023-03-27,49.49,49.59,49.0,49.23,1319830
2023-03-28,49.21,49.36,48.82,49.09,1080330
2023-03-29,49.1,49.29,48.9,49.03,742520
2023-03-30,49.04,49.58,48.9,49.1,1654460
2023-03-31,49.28,49.28,48.52,48.77,1002010
2023-04-03,48.45,49.47,48.03,49.28,1888380
2023-04-04,49.6,50.44,49.0,49.86,3007330
2023-04-05,50.32,50.33,48.5,49.76,2541730
2023-04-06,49.76,50.0,49.3,49.35,1110470
2023-04-07,49.5,49.5,49.0,49.07,786960
2023-04-10,49.08,49.84,49.07,49.54,1354370
2023-04-11,49.55,50.28,48.5,49.05,3778270
2023-04-12,49.3,49.85,49.0,49.26,924670
2023-04-13,49.3,50.45,49.2,49.93,4023030
2023-04-14,50.0,50.74,49.3,49.56,2564010
2023-04-17,50.0,50.97,49.61,50.63,3435620
2023-04-18,50.75,50.8,49.91,50.43,1954750
2023-04-19,50.49,50.63,49.64,50.04,1857220
2023-04-20,50.04,50.34,48.98,49.89,1357490
2023-04-21,50.14,53.89,49.6,52.13,21669000
2023-04-24,52.92,52.92,51.52,51.71,2498990
2023-04-25,52.26,52.49,50.8,51.61,1549660
2023-04-26,51.14,53.55,51.0,52.06,4802110
2023-04-27,52.32,53.22,52.09,52.13,1683900
2023-04-28,52.34,52.8,51.2,51.34,1220120
2023-05-02,50.61,52.8,49.16,51.0,3959590
2023-05-03,51.0,51.28,49.29,49.6,1306160
2023-05-04,49.51,51.44,48.5,50.52,1449460
2023-05-05,50.68,52.89,49.02,49.4,4530580
2023-05-08,49.62,49.82,49.26,49.32,421580
2023-05-10,50.6,52.0,49.6,52.0,3036010
2023-05-11,52.7,53.0,50.5,51.46,4736030
2023-05-12,51.39,51.39,49.8,50.02,2418430
2023-05-15,48.11,49.83,48.07,49.35,4653020
2023-05-16,49.83,49.83,49.11,49.38,1210630
2023-05-17,49.63,49.63,48.6,48.97,1228670
2023-05-18,49.03,49.7,48.62,48.77,1192840
2023-05-19,48.77,48.77,48.1,48.13,790530
2023-05-22,48.28,48.76,48.15,48.52,967790
2023-05-23,48.52,48.81,48.21,48.67,642020
2023-05-24,48.6,49.95,48.6,49.39,3012040
2023-05-25,49.4,49.57,48.53,49.05,989630
2023-05-26,49.23,49.42,49.06,49.24,540380
2023-05-29,49.5,49.6,48.8,48.94,947500
2023-05-30,48.59,49.13,48.18,48.67,1081120
2023-05-31,48.9,51.7,48.67,50.23,9119340
2023-06-01,50.5,51.15,48.91,49.77,2042800
2023-06-02,49.99,50.57,49.59,49.86,1241360
2023-06-05,50.1,50.7,49.81,49.98,1393800
2023-06-06,49.81,50.26,49.02,50.2,1461860
2023-06-07,50.2,50.8,49.63,49.78,917190
2023-06-08,49.53,49.85,49.51,49.7,518660
