TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,4.582,4.672,4.575,4.655,13169200
2023-01-04,4.67,4.734,4.612,4.67,14657000
2023-01-05,4.672,4.695,4.63,4.644,10045500
2023-01-06,4.649,4.649,4.602,4.634,6377900
2023-01-09,4.639,4.842,4.635,4.781,52865400
2023-01-10,4.8,4.806,4.691,4.77,22671000
2023-01-11,4.787,4.84,4.762,4.813,25641600
2023-01-12,4.813,4.873,4.8,4.817,26120600
2023-01-13,4.826,4.827,4.731,4.797,22062100
2023-01-16,4.81,4.911,4.798,4.904,34220100
2023-01-17,4.91,4.93,4.782,4.805,38994700
2023-01-18,4.801,4.833,4.74,4.797,23263200
2023-01-19,4.803,4.803,4.615,4.63,33200900
2023-01-20,4.65,4.681,4.577,4.675,20312900
2023-01-23,4.68,4.756,4.649,4.721,14607200
2023-01-24,4.715,4.818,4.688,4.69,18705300
2023-01-25,4.727,4.758,4.675,4.702,14054200
2023-01-26,4.719,4.757,4.706,4.737,11217700
2023-01-27,4.74,4.757,4.711,4.732,10204400
2023-01-30,4.758,4.862,4.756,4.824,26679200
2023-01-31,4.825,4.99,4.825,4.949,58375600
2023-02-01,4.965,5.069,4.8,4.88,60766300
2023-02-02,4.979,5.0,4.87,4.96,29860300
2023-02-03,4.96,4.967,4.85,4.922,19114300
2023-02-06,4.94,5.042,4.936,5.016,33355500
2023-02-07,5.038,5.1,5.016,5.08,43860500
2023-02-08,5.09,5.179,5.0,5.07,52449600
2023-02-09,5.099,5.16,5.01,5.158,50940800
2023-02-10,5.2,5.47,5.158,5.27,352311800
2023-02-13,5.42,5.44,5.221,5.28,75345800
2023-02-14,5.28,5.28,5.05,5.065,56446000
2023-02-15,5.06,5.06,4.884,4.899,51193800
2023-02-16,4.905,5.068,4.904,5.025,34045800
2023-02-17,5.05,5.055,4.975,4.989,17894300
2023-02-20,5.0,5.0,4.86,4.949,29156000
2023-02-21,4.94,5.149,4.9,5.012,48433800
2023-02-22,5.015,5.1,5.0,5.053,19267600
2023-02-24,5.092,5.092,5.015,5.04,10211000
2023-02-27,5.0,5.148,4.914,5.145,32061700
2023-02-28,5.15,5.238,5.13,5.208,38536800
2023-03-01,5.24,5.284,5.225,5.246,24398600
2023-03-02,5.27,5.3,5.171,5.183,56549600
2023-03-03,5.19,5.245,5.175,5.195,16489200
2023-03-06,5.239,5.25,5.19,5.2,22157600
2023-03-07,5.2,5.247,5.171,5.204,20893700
2023-03-09,5.219,5.233,5.191,5.2,13741400
2023-03-10,5.19,5.205,5.145,5.18,17492700
2023-03-13,5.18,5.199,5.07,5.11,30792500
2023-03-14,5.05,5.2,5.05,5.118,33684300
2023-03-15,5.144,5.165,5.061,5.084,14333100
2023-03-16,5.1,5.13,5.02,5.093,20408200
2023-03-17,5.072,5.121,5.071,5.101,23131600
2023-03-20,5.102,5.297,5.074,5.273,58396700
2023-03-21,5.275,5.329,5.145,5.256,67340800
2023-03-22,5.3,5.32,5.221,5.261,37594900
2023-03-23,5.25,5.494,5.25,5.439,95351000
2023-03-24,5.43,5.44,5.313,5.365,60957300
2023-03-27,5.38,5.57,5.365,5.532,107357400
2023-03-28,5.564,5.6,5.4,5.469,68176100
2023-03-29,5.5,5.61,5.421,5.473,66727300
2023-03-30,5.5,5.55,5.455,5.541,48306000
2023-03-31,5.543,5.749,5.353,5.425,233101300
2023-04-03,5.425,5.44,5.331,5.388,83663000
2023-04-04,5.395,5.524,5.331,5.423,227138400
2023-04-05,5.431,5.541,5.36,5.499,65873100
2023-04-06,5.5,5.735,5.5,5.652,135535600
2023-04-07,5.681,5.743,5.61,5.667,73126200
2023-04-10,5.735,5.75,5.66,5.702,44620300
2023-04-11,5.722,5.722,5.5,5.574,84110700
2023-04-12,5.58,5.686,5.58,5.642,38914400
2023-04-13,5.679,5.679,5.544,5.613,21601200
2023-04-14,5.613,5.62,5.552,5.598,17327400
2023-04-17,5.644,5.714,5.601,5.685,37776500
2023-04-18,5.698,5.715,5.58,5.668,34212700
2023-04-19,5.667,5.688,5.5,5.593,39412200
2023-04-20,5.605,5.632,5.536,5.592,30146300
2023-04-21,5.592,5.65,5.572,5.628,26422800
2023-04-24,5.665,5.71,5.584,5.677,39205800
2023-04-25,5.68,5.795,5.65,5.739,91923500
2023-04-26,5.74,5.82,5.7,5.72,58386500
2023-04-27,5.701,5.77,5.661,5.737,43688900
2023-04-28,5.76,5.763,5.621,5.671,30671100
2023-05-02,5.641,5.669,5.391,5.491,50578200
2023-05-03,5.49,5.5,5.2,5.228,51449400
2023-05-04,5.24,5.356,5.24,5.321,34245100
2023-05-05,5.322,5.48,5.2,5.258,34327600
2023-05-08,5.27,5.39,5.251,5.302,13871500
2023-05-10,5.29,5.574,5.29,5.562,45115500
2023-05-11,5.57,5.62,5.325,5.451,61324100
2023-05-12,5.505,5.596,5.458,5.528,33971800
2023-05-15,5.579,5.681,5.55,5.649,52122300
2023-05-16,5.684,5.7,5.581,5.671,46829700
2023-05-17,5.687,5.688,5.617,5.665,20029500
2023-05-18,5.698,5.698,5.473,5.619,43439800
2023-05-19,5.625,5.677,5.362,5.502,100058300
2023-05-22,5.569,5.6,5.43,5.468,28750200
2023-05-23,5.496,5.499,5.35,5.475,47139600
2023-05-24,5.453,5.49,5.116,5.214,188876900
2023-05-25,5.2,5.26,5.03,5.101,122068500
2023-05-26,5.125,5.169,5.072,5.115,56972300
2023-05-29,5.12,5.169,5.0,5.088,79980200
2023-05-30,5.099,5.329,5.09,5.224,167721600
2023-05-31,5.247,5.259,5.1,5.175,60253900
2023-06-01,5.184,5.215,5.094,5.122,58790500
2023-06-02,5.137,5.27,5.094,5.177,56502300
2023-06-05,5.235,5.238,5.103,5.16,52881700
2023-06-06,5.106,5.167,5.104,5.161,24159000
2023-06-07,5.187,5.204,5.136,5.183,23927200
2023-06-08,5.198,5.237,5.162,5.225,37371800
2023-06-09,5.24,5.244,5.164,5.175,25210200
2023-06-13,5.2,5.36,5.185,5.349,93053500
2023-06-14,5.362,5.429,5.325,5.39,80894600
2023-06-15,5.392,5.487,5.342,5.484,79425300
2023-06-16,5.5,5.52,5.372,5.474,76671100
2023-06-19,5.47,5.5,5.367,5.435,55781300
2023-06-20,5.448,5.448,5.225,5.378,51487100
2023-06-21,5.389,5.487,5.304,5.381,60130500
2023-06-22,5.394,5.4,5.311,5.335,26406900
2023-06-23,5.345,5.345,5.17,5.201,66360900
2023-06-26,5.288,5.346,5.172,5.283,58476000
2023-06-27,5.287,5.333,5.241,5.296,25186800
2023-06-28,5.284,5.444,5.283,5.423,69428000
2023-06-29,5.451,5.769,5.425,5.694,345536000
2023-06-30,5.702,5.987,5.641,5.845,377424700
2023-07-03,5.878,6.04,5.708,5.971,247221900
2023-07-04,5.971,6.046,5.802,5.818,113981300
2023-07-05,5.89,6.166,5.82,6.134,306833100
2023-07-06,6.177,6.423,6.161,6.402,400332100
2023-07-07,6.402,6.402,6.124,6.135,216442300
2023-07-10,6.18,6.283,6.053,6.145,161688000
2023-07-11,6.142,6.16,5.97,6.067,128082800
2023-07-12,6.055,6.288,6.033,6.261,207348800
2023-07-13,6.241,6.319,6.118,6.169,127408300
2023-07-14,6.187,6.187,6.11,6.142,60064700
2023-07-17,6.127,6.204,6.1,6.161,64639700
2023-07-18,6.18,6.25,6.143,6.181,97730000
2023-07-19,6.204,6.256,6.153,6.165,81108900
2023-07-20,6.17,6.239,6.054,6.062,88586700
2023-07-21,6.092,6.141,5.904,6.095,81755800
2023-07-24,6.139,6.189,6.1,6.126,45383900
2023-07-25,6.145,6.433,6.121,6.41,314773000
2023-07-26,6.433,6.447,6.251,6.32,150430300
2023-07-27,6.32,6.372,6.267,6.299,60869500
2023-07-28,6.277,6.367,6.156,6.305,91183400
2023-07-31,6.32,6.54,6.314,6.506,189966200
2023-08-01,6.51,6.56,6.37,6.48,140034100
2023-08-02,6.48,6.489,6.371,6.423,108856900
2023-08-03,6.46,6.46,6.375,6.433,65989500
2023-08-04,6.405,6.49,5.98,6.215,212089600
2023-08-07,6.224,6.351,6.13,6.163,118619600
2023-08-08,6.17,6.255,6.005,6.189,90989000
2023-08-09,6.231,6.257,6.114,6.192,44001600
2023-08-10,6.2,6.25,6.16,6.222,46907200
2023-08-11,6.25,6.3,6.187,6.275,81929400
2023-08-14,6.33,6.52,6.08,6.159,337960600
2023-08-15,6.06,6.25,6.008,6.123,125840300
2023-08-16,6.102,6.174,5.853,5.986,137365300
2023-08-17,6.06,6.095,5.901,6.0,98278300
2023-08-18,6.008,6.059,5.906,6.049,71553100
2023-08-21,6.1,6.161,6.054,6.09,61179800
2023-08-22,6.114,6.125,6.03,6.097,56600600
2023-08-23,6.088,6.156,5.912,5.958,127177800
2023-08-24,5.995,6.05,5.947,6.047,39414600
2023-08-25,6.04,6.109,5.998,6.03,61222300
2023-08-28,6.041,6.12,6.012,6.09,72759800
2023-08-29,6.01,6.046,5.893,5.943,165895800
2023-08-30,5.916,5.947,5.8,5.869,129299900
2023-08-31,5.87,5.983,5.824,5.917,90478300
2023-09-01,5.933,5.949,5.871,5.876,40708400
2023-09-04,5.87,5.985,5.87,5.92,63417800
2023-09-05,5.92,5.946,5.871,5.892,46972400
2023-09-06,5.892,5.892,5.804,5.838,56873900
2023-09-07,5.8,5.833,5.642,5.674,165085200
2023-09-08,5.679,5.736,5.408,5.54,135117700
2023-09-11,5.534,5.562,5.43,5.465,70734300
2023-09-12,5.54,5.643,5.47,5.625,75705100
2023-09-13,5.649,5.649,5.504,5.533,39510700
2023-09-14,5.536,5.54,5.236,5.365,100656900
2023-09-15,5.352,5.535,5.342,5.49,52097500
2023-09-18,5.548,5.555,5.373,5.416,50215600
2023-09-19,5.416,5.475,5.248,5.273,92232000
2023-09-20,5.294,5.294,5.1,5.254,83722500
2023-09-21,5.27,5.27,5.12,5.135,40937000
2023-09-22,5.11,5.204,5.077,5.158,53709800
2023-09-25,5.16,5.179,5.05,5.09,57671600
2023-09-26,5.106,5.198,5.032,5.17,84091000
2023-09-27,5.201,5.247,5.082,5.13,117730900
2023-09-28,5.142,5.173,5.1,5.166,58731500
2023-09-29,5.188,5.192,5.1,5.116,56038300
2023-10-02,5.15,5.185,5.102,5.17,60928700
2023-10-03,5.179,5.234,5.111,5.164,78333900
2023-10-04,5.2,5.34,5.157,5.295,125046500
2023-10-05,5.295,5.494,5.243,5.415,226905400
2023-10-06,5.42,5.46,5.34,5.389,59444600
2023-10-09,5.414,5.444,5.36,5.369,39746800
2023-10-10,5.384,5.399,5.305,5.354,42584400
2023-10-11,5.378,5.383,5.2,5.227,66165400
2023-10-12,5.2,5.31,5.16,5.269,68285700
2023-10-13,5.251,5.359,5.251,5.28,50605000
2023-10-16,5.333,5.38,5.28,5.35,59122700
2023-10-17,5.35,5.35,5.292,5.31,37727600
2023-10-18,5.305,5.339,5.25,5.274,37243200
2023-10-19,5.27,5.35,5.26,5.302,43814700
2023-10-20,5.316,5.316,5.261,5.296,33527200
2023-10-23,5.328,5.335,5.227,5.26,43966800
2023-10-24,5.26,5.3,5.227,5.255,34067100
2023-10-25,5.26,5.261,5.173,5.203,48197600
2023-10-26,5.203,5.239,5.117,5.121,58719600
2023-10-27,5.133,5.167,4.965,5.019,152635700
2023-10-30,5.018,5.019,4.862,4.879,132646600
2023-10-31,4.87,4.964,4.78,4.81,157861300
2023-11-01,4.809,4.896,4.691,4.815,157748700
2023-11-02,4.801,4.925,4.621,4.648,336738000
2023-11-03,4.62,4.724,4.584,4.694,183295800
2023-11-06,4.694,4.795,4.694,4.756,59587600
2023-11-07,4.762,4.793,4.701,4.732,65525600
2023-11-08,4.732,4.744,4.651,4.685,70560600
2023-11-09,4.671,4.684,4.601,4.622,78342500
2023-11-10,4.615,4.739,4.6,4.702,111709400
2023-11-13,4.69,4.785,4.423,4.438,336573800
2023-11-14,4.421,4.436,4.1,4.225,910019100
2023-11-15,4.192,4.354,4.17,4.327,264619400
2023-11-16,4.31,4.32,4.206,4.263,158551000
2023-11-17,4.26,4.288,4.214,4.277,68866100
2023-11-20,4.265,4.317,4.24,4.261,69295100
2023-11-21,4.29,4.392,4.21,4.248,289390000
2023-11-22,4.245,4.288,4.08,4.12,545491500
2023-11-23,4.12,4.135,3.916,3.929,642408400
2023-11-24,3.921,3.98,3.848,3.94,543013000
2023-11-27,3.95,3.957,3.85,3.896,249966400
2023-11-28,3.896,4.38,3.881,4.357,1439196600
2023-11-29,4.332,4.69,4.2,4.254,2375238800
2023-11-30,4.25,4.319,4.127,4.167,621068500
2023-12-01,4.16,4.18,3.956,3.99,556792600
2023-12-04,3.94,4.121,3.861,4.008,754242000
2023-12-05,4.002,4.087,3.98,4.027,241351000
2023-12-06,4.05,4.077,3.892,3.95,288816400
2023-12-07,3.953,3.98,3.881,3.958,231315000
2023-12-08,3.975,4.012,3.915,3.951,150587800
2023-12-11,3.94,4.04,3.885,3.975,284384500
2023-12-12,3.988,4.011,3.937,3.988,126277600
2023-12-13,3.972,4.03,3.943,4.0,99762800
2023-12-14,4.024,4.066,3.909,3.939,207703800
2023-12-15,3.935,4.044,3.9,4.018,344415100
2023-12-18,4.021,4.16,4.006,4.126,309551800
2023-12-19,4.126,4.143,4.041,4.071,140625700
2023-12-20,4.071,4.115,4.056,4.078,86390800
2023-12-21,4.077,4.081,4.018,4.054,128286900
2023-12-22,4.066,4.098,4.033,4.049,108045400
2023-12-25,4.07,4.09,4.03,4.051,66283300
2023-12-26,4.051,4.06,3.915,3.929,205905800
2023-12-27,3.92,3.925,3.785,3.811,298424400
2023-12-28,3.811,3.811,3.68,3.697,214308800
2023-12-29,3.705,3.805,3.691,3.7,253924600
2024-01-03,3.7,3.795,3.7,3.782,100177800
2024-01-04,3.794,3.838,3.779,3.818,124938100
2024-01-05,3.831,3.831,3.795,3.81,49094000
2024-01-08,3.811,3.879,3.811,3.86,95440600
2024-01-09,3.9,3.977,3.803,3.956,260492400
