TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,2430.0,2450.0,2406.5,2424.5,14630
2023-01-04,2424.0,2440.5,2416.0,2428.0,16238
2023-01-05,2420.0,2447.5,2275.0,2397.5,48917
2023-01-06,2424.0,2424.0,2390.0,2390.0,15080
2023-01-09,2390.0,2415.0,2387.0,2395.0,16788
2023-01-10,2399.0,2406.5,2373.0,2406.5,20109
2023-01-11,2409.5,2496.0,2409.5,2496.0,93227
2023-01-12,2497.0,2567.0,2495.0,2536.5,148524
2023-01-13,2536.5,2541.0,2477.0,2541.0,52424
2023-01-16,2539.0,2554.0,2522.0,2532.0,52176
2023-01-17,2532.0,2538.5,2485.0,2509.0,42532
2023-01-18,2500.0,2511.0,2447.0,2496.0,46001
2023-01-19,2510.0,2510.0,2468.5,2469.0,32995
2023-01-20,2470.0,2472.5,2439.0,2457.0,21070
2023-01-23,2455.0,2475.5,2455.0,2461.5,17376
2023-01-24,2470.0,2505.0,2450.0,2495.0,42423
2023-01-25,2494.0,2538.0,2479.5,2509.0,41822
2023-01-26,2505.0,2536.0,2499.5,2509.0,36522
2023-01-27,2509.0,2530.0,2509.0,2524.5,32026
2023-01-30,2531.0,2531.0,2506.5,2526.5,24112
2023-01-31,2529.0,2653.0,2496.0,2623.0,178492
2023-02-01,2644.0,2675.5,2563.5,2563.5,101143
2023-02-02,2586.0,2631.5,2575.0,2602.0,48465
2023-02-03,2582.0,2600.0,2545.5,2579.0,37197
2023-02-06,2578.0,2624.0,2565.5,2611.5,46507
2023-02-07,2625.5,2633.0,2590.0,2612.5,32872
2023-02-08,2612.5,2619.0,2576.5,2595.5,38201
2023-02-09,2617.0,2621.5,2585.0,2605.0,25063
2023-02-10,2752.0,2752.0,2629.0,2675.5,299868
2023-02-13,2704.5,2717.5,2690.0,2702.0,46774
2023-02-14,2705.0,2708.0,2634.5,2670.0,67483
2023-02-15,2670.0,2670.0,2510.0,2539.5,75596
2023-02-16,2539.5,2612.5,2526.0,2553.5,69271
2023-02-17,2554.0,2603.5,2540.0,2555.0,52530
2023-02-20,2560.0,2567.0,2463.0,2524.0,84904
2023-02-21,2526.0,2694.5,2500.5,2553.0,336074
2023-02-22,2575.0,2575.0,2524.0,2529.5,51995
2023-02-24,2531.5,2578.0,2529.5,2549.0,41527
2023-02-27,2540.0,2620.0,2532.0,2620.0,102968
2023-02-28,2625.0,2629.5,2600.0,2606.0,53995
2023-03-01,2617.5,2622.5,2578.0,2597.5,67904
2023-03-02,2598.5,2602.5,2502.5,2543.0,126998
2023-03-03,2577.0,2579.0,2517.0,2546.0,62546
2023-03-06,2558.0,2580.0,2550.5,2567.0,44275
2023-03-07,2574.0,2574.5,2554.0,2565.0,42294
2023-03-09,2563.5,2580.0,2541.5,2548.5,55791
2023-03-10,2521.0,2546.0,2507.5,2535.5,34337
2023-03-13,2536.0,2575.5,2505.0,2526.0,87649
2023-03-14,2520.0,2525.0,2503.0,2514.5,56942
2023-03-15,2510.0,2526.0,2470.5,2495.0,90552
2023-03-16,2496.0,2510.5,2450.5,2495.5,48824
2023-03-17,2475.0,2520.0,2470.0,2484.5,98876
2023-03-20,2485.0,2522.0,2473.0,2511.5,99739
2023-03-21,2511.5,2520.0,2485.0,2502.0,89934
2023-03-22,2510.0,2511.5,2477.0,2483.0,42932
2023-03-23,2486.0,2502.0,2475.0,2490.0,62005
2023-03-24,2490.0,2564.0,2423.0,2452.0,362432
2023-03-27,2434.0,2604.0,2426.0,2568.5,528838
2023-03-28,2583.0,2583.0,2514.5,2553.5,131635
2023-03-29,2560.0,2645.0,2551.5,2620.5,363473
2023-03-30,2642.0,2677.0,2596.5,2659.5,268173
2023-03-31,2668.0,2687.5,2566.5,2610.5,202978
