TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,26.2,26.235,25.96,26.14,3408900
2023-01-04,26.14,26.22,25.95,26.055,3934000
2023-01-05,26.01,26.15,25.965,26.025,3698100
2023-01-06,26.03,26.09,25.955,26.01,2299400
2023-01-09,26.01,26.14,25.915,26.025,5367500
2023-01-10,26.0,26.0,25.6,25.865,6470100
2023-01-11,25.95,26.37,25.75,26.355,7383200
2023-01-12,26.4,26.4,25.955,26.0,7795000
2023-01-13,26.05,26.355,25.88,26.26,9042400
2023-01-16,26.365,26.92,26.305,26.845,12420100
2023-01-17,26.84,27.185,26.185,26.535,11473200
2023-01-18,26.54,27.07,26.4,26.835,9547100
2023-01-19,26.8,27.0,26.32,26.57,8383800
2023-01-20,26.57,26.75,26.425,26.67,5225700
2023-01-23,26.9,27.0,26.78,26.99,5457500
2023-01-24,27.0,27.145,26.805,27.0,9078600
2023-01-25,27.04,27.1,26.64,27.055,8918700
2023-01-26,27.12,27.14,26.96,27.045,4106200
2023-01-27,27.075,28.15,27.025,28.115,25338100
2023-01-30,28.6,28.6,27.765,28.055,12122500
2023-01-31,28.1,28.285,27.9,28.14,5462300
2023-02-01,28.1,28.195,27.94,28.065,4496000
2023-02-02,28.02,28.525,27.97,28.245,8499600
2023-02-03,28.3,28.3,27.825,28.095,5962800
2023-02-06,28.2,28.27,27.92,28.045,10918600
2023-02-07,28.145,28.28,27.98,28.055,6680600
2023-02-08,28.145,28.215,27.245,27.64,15157200
2023-02-09,27.59,28.07,27.56,27.995,6789300
2023-02-10,27.905,27.985,27.775,27.85,3197800
2023-02-13,27.85,28.015,27.775,27.91,2901000
2023-02-14,27.93,27.96,27.555,27.62,5672800
2023-02-15,27.47,27.575,26.21,26.775,12632000
2023-02-16,27.09,27.42,26.7,27.05,6952900
2023-02-17,27.045,27.24,26.805,26.885,4303900
2023-02-20,26.88,27.13,26.66,27.0,5862800
2023-02-21,27.0,27.4,26.89,27.355,5800000
2023-02-22,27.385,27.385,26.915,27.115,5280500
2023-02-24,27.115,27.29,27.04,27.155,2417700
2023-02-27,27.0,27.65,26.95,27.645,5768000
2023-02-28,27.655,27.995,27.54,27.935,7709100
2023-03-01,28.05,28.15,27.8,28.105,6212100
2023-03-02,28.1,28.15,27.425,27.635,12103300
2023-03-03,27.645,27.88,27.645,27.805,4889600
2023-03-06,27.9,28.0,27.775,27.88,10837900
2023-03-07,27.8,27.91,27.72,27.76,5538100
2023-03-09,27.795,27.825,27.64,27.715,4111300
2023-03-10,27.68,27.74,27.5,27.715,4103600
2023-03-13,27.74,27.89,27.5,27.66,6384500
2023-03-14,27.775,27.805,27.605,27.68,5397000
2023-03-15,27.765,27.91,27.27,27.785,18021600
2023-03-16,27.8,28.5,27.58,28.03,17394400
2023-03-17,28.135,28.79,27.945,28.57,14189700
2023-03-20,28.605,29.55,28.265,29.415,24346000
2023-03-21,29.4,29.54,29.0,29.165,16094600
2023-03-22,29.175,29.375,29.035,29.17,6927800
2023-03-23,29.12,29.63,29.085,29.55,10816300
2023-03-24,29.655,29.845,29.26,29.8,12102000
2023-03-27,29.845,32.26,29.84,31.695,66813200
2023-03-28,31.71,31.77,31.005,31.505,21472500
2023-03-29,31.51,31.7,31.07,31.46,14795900
2023-03-30,31.4,32.415,31.215,32.16,22019500
2023-03-31,32.16,32.16,31.31,31.645,16179700
2023-04-03,31.95,32.44,31.825,32.09,16339900
2023-04-04,32.2,34.885,32.1,33.9,87760000
2023-04-05,33.98,34.3,33.36,34.2,26314200
2023-04-06,34.2,35.3,34.2,34.585,39873300
2023-04-07,34.995,35.25,33.825,34.54,30210200
2023-04-10,34.57,34.66,33.945,34.4,12165300
2023-04-11,34.51,34.935,33.86,33.9,19193800
2023-04-12,34.19,34.27,33.85,34.035,8608700
2023-04-13,33.9,34.025,33.6,33.82,9208600
2023-04-14,33.84,34.1,33.505,34.07,8048800
2023-04-17,34.085,34.44,34.05,34.305,7033600
2023-04-18,34.35,34.47,33.88,34.265,6895900
2023-04-19,34.27,34.82,34.05,34.51,14656600
2023-04-20,34.39,35.81,33.88,35.55,45550200
2023-04-21,35.65,36.495,35.435,36.475,39123900
2023-04-24,36.59,37.27,35.82,36.895,45757100
2023-04-25,36.895,37.44,35.54,35.61,55309400
2023-04-26,35.65,35.73,35.0,35.185,17025200
2023-04-27,35.25,35.695,35.01,35.46,12380200
2023-04-28,35.33,35.58,34.65,35.205,15243400
2023-05-02,34.8,35.17,33.33,33.905,19592800
2023-05-03,33.995,34.725,33.33,33.575,22323000
2023-05-04,33.64,34.235,33.035,33.44,12331500
2023-05-05,33.45,33.76,33.2,33.305,7064800
2023-05-08,33.33,33.625,32.86,33.085,4972800
2023-05-10,33.0,34.31,32.87,34.05,13809100
2023-05-11,34.135,35.42,33.6,34.535,29455500
2023-05-12,34.695,34.91,34.205,34.58,11367200
2023-05-15,34.9,36.75,34.71,36.655,45353400
2023-05-16,36.75,36.825,35.9,36.445,25055400
2023-05-17,36.51,36.625,36.11,36.58,16782200
2023-05-18,36.71,38.2,31.61,31.795,303118700
2023-05-19,31.5,31.7,30.675,30.88,74610900
2023-05-22,31.3,31.78,31.005,31.325,32613800
2023-05-23,31.41,31.6,30.96,31.25,17566000
2023-05-24,31.255,31.5,30.55,30.975,20912400
2023-05-25,31.07,31.18,29.66,30.51,31451700
2023-05-26,30.45,31.38,30.255,31.28,37518500
2023-05-29,31.65,31.83,31.25,31.78,31914700
2023-05-30,31.41,31.76,30.52,31.2,25735000
2023-05-31,31.055,31.56,30.91,31.545,12402600
2023-06-01,31.6,31.73,31.505,31.615,12592900
2023-06-02,31.7,32.3,31.36,32.09,22386000
2023-06-05,32.2,32.695,31.77,31.97,28852400
2023-06-06,31.855,33.18,31.855,33.025,32736400
2023-06-07,33.12,33.355,32.63,32.765,22681900
2023-06-08,32.765,33.665,32.765,33.565,29758700
2023-06-09,35.5,36.08,34.655,35.195,123547300
2023-06-13,35.49,36.345,35.085,36.24,79121600
2023-06-14,36.6,37.32,36.25,36.745,71125900
2023-06-15,36.73,36.775,35.86,36.36,49143500
2023-06-16,36.4,36.48,35.9,36.21,48939000
2023-06-19,36.255,36.55,35.785,36.04,37746400
2023-06-20,36.1,36.87,35.93,36.87,34538600
2023-06-21,36.87,37.79,36.74,37.72,35844000
2023-06-22,37.715,38.54,37.46,37.685,50183200
2023-06-23,37.68,38.19,36.43,36.97,64210200
2023-06-26,38.09,39.35,37.4,39.025,147668100
2023-06-27,39.155,39.94,38.925,39.93,72013400
2023-06-28,40.01,40.74,39.74,40.25,76508500
2023-06-29,40.395,41.6,40.13,41.465,98509200
2023-06-30,41.62,42.1,40.92,41.79,95245200
2023-07-03,41.9,41.98,40.12,40.715,65596700
2023-07-04,40.755,41.7,40.225,40.745,50165700
2023-07-05,40.89,41.845,40.89,41.785,42895800
2023-07-06,42.09,42.45,41.445,41.65,68927600
2023-07-07,41.65,41.76,41.13,41.65,20990600
2023-07-10,42.0,42.145,41.42,41.675,27624200
2023-07-11,41.5,41.85,41.31,41.685,17215400
2023-07-12,41.75,42.88,41.75,42.87,48918000
2023-07-13,42.9,43.305,42.505,42.75,42914600
2023-07-14,42.8,43.0,42.52,43.0,26301900
2023-07-17,42.88,43.1,42.6,42.97,29224400
2023-07-18,43.0,43.85,42.92,43.75,64884400
2023-07-19,43.34,43.525,43.0,43.265,36536800
2023-07-20,43.385,43.385,41.875,42.025,31289600
2023-07-21,42.1,43.0,41.845,42.875,33990500
2023-07-24,43.015,43.47,42.225,43.2,40499900
2023-07-25,43.2,43.285,42.71,42.95,21243000
2023-07-26,43.035,44.4,42.9,44.325,52051700
2023-07-27,44.57,44.98,44.375,44.905,25161800
2023-07-28,44.975,45.87,44.7,45.81,33003600
2023-07-31,46.01,46.83,45.51,46.795,46561800
2023-08-01,46.75,47.645,46.305,46.93,41335100
2023-08-02,46.95,48.085,46.85,48.03,42021000
2023-08-03,47.9,48.97,47.525,48.905,44655800
2023-08-04,49.0,50.7,47.22,48.765,111539200
2023-08-07,49.3,50.105,47.735,48.075,62110100
2023-08-08,48.0,49.58,46.8,49.245,72793500
2023-08-09,49.24,49.94,48.6,49.19,56886400
2023-08-10,49.0,49.89,48.82,49.52,38978400
2023-08-11,49.78,50.66,49.42,50.6,67954800
2023-08-14,51.0,52.4,48.22,48.48,156099500
2023-08-15,48.0,51.3,47.705,48.86,174996800
2023-08-16,49.19,49.58,46.82,47.9,133862700
2023-08-17,48.505,48.83,47.1,48.575,71941400
2023-08-18,48.685,49.7,47.765,49.61,46945300
2023-08-21,49.62,50.0,48.65,49.38,43541800
2023-08-22,49.43,49.75,48.795,49.17,48323800
2023-08-23,49.245,49.32,47.845,48.035,48104700
2023-08-24,48.175,48.745,47.935,48.73,26994000
