TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,17.6,17.7,17.3,17.6,182406
2023-01-04,17.55,17.65,17.35,17.55,120649
2023-01-05,17.55,17.75,17.4,17.4,119047
2023-01-06,17.5,17.5,16.95,17.25,366839
2023-01-09,17.25,17.45,17.1,17.2,168307
2023-01-10,17.3,17.35,17.15,17.3,89053
2023-01-11,17.3,17.5,17.15,17.3,199623
2023-01-12,17.5,18.75,17.15,18.2,688235
2023-01-13,18.25,18.25,17.55,18.0,298962
2023-01-16,18.05,18.15,17.55,17.95,379688
2023-01-17,17.9,17.95,17.6,17.6,290098
2023-01-18,17.6,18.25,17.6,18.05,385949
2023-01-19,18.1,19.25,17.7,19.0,957545
2023-01-20,19.2,19.4,18.1,18.5,437043
2023-01-23,18.85,18.85,17.85,18.45,647211
2023-01-24,18.4,19.4,18.25,19.1,726549
2023-01-25,19.1,19.35,18.6,18.8,592772
2023-01-26,19.1,19.25,18.4,18.7,281029
2023-01-27,18.7,18.9,18.5,18.7,233902
2023-01-30,18.7,18.85,18.45,18.55,216877
2023-01-31,18.6,18.9,18.55,18.6,337672
2023-02-01,18.8,18.8,18.45,18.55,282068
2023-02-02,18.75,18.8,18.55,18.7,179275
2023-02-03,18.8,19.2,18.55,18.8,391890
2023-02-06,18.95,19.1,18.65,18.9,229623
2023-02-07,18.95,22.15,18.65,20.75,2885736
2023-02-08,21.1,21.8,19.8,20.2,1315439
2023-02-09,20.55,21.7,20.2,21.4,1186201
2023-02-10,21.6,21.65,20.5,21.3,704569
2023-02-13,21.5,29.65,21.25,28.0,15396276
2023-02-14,28.0,28.85,24.1,24.55,3959536
2023-02-15,25.35,25.35,21.7,21.85,1576575
2023-02-16,21.85,24.9,21.65,23.65,1866480
2023-02-17,23.0,24.35,22.8,23.7,669195
2023-02-20,23.65,23.75,22.85,23.3,287615
2023-02-21,23.4,24.0,23.0,23.6,556210
2023-02-22,23.65,23.7,22.1,22.85,638694
2023-02-24,22.8,23.0,22.75,22.8,114176
2023-02-27,22.8,23.05,22.6,22.85,265566
2023-02-28,22.95,23.35,22.85,23.15,223419
2023-03-01,23.1,23.75,23.0,23.5,294000
2023-03-02,23.75,23.8,22.7,23.15,436465
2023-03-03,23.15,23.4,22.7,23.35,172458
2023-03-06,23.1,27.0,23.05,25.15,2131308
2023-03-07,25.15,27.75,25.0,27.3,2355217
2023-03-09,26.95,28.3,25.9,26.45,1057060
2023-03-10,26.2,27.4,26.1,26.4,407229
2023-03-13,26.6,26.9,25.55,25.8,345273
2023-03-14,26.0,26.0,24.85,25.55,337475
2023-03-15,25.6,26.4,25.25,26.0,399405
2023-03-16,26.1,26.15,25.35,25.7,238852
2023-03-17,25.7,26.1,25.5,25.6,205006
2023-03-20,25.65,25.8,25.0,25.45,472288
2023-03-21,25.45,25.8,25.35,25.35,244335
2023-03-22,25.6,25.8,25.3,25.5,166178
2023-03-23,25.55,25.7,25.15,25.5,216675
2023-03-24,25.1,27.5,25.1,26.6,1602866
2023-03-27,26.8,27.35,25.3,26.4,448678
2023-03-28,26.3,26.55,25.9,26.0,395612
2023-03-29,26.0,26.35,25.65,26.05,276608
2023-03-30,26.5,26.55,26.05,26.25,312280
2023-03-31,26.3,27.0,26.05,26.65,739751
2023-04-03,26.8,28.7,26.6,27.85,1856988
2023-04-04,28.25,33.25,28.05,30.15,4153004
2023-04-05,30.2,31.9,28.7,30.35,1751472
2023-04-06,32.0,36.75,31.3,34.25,4052124
2023-04-07,34.25,35.95,32.0,33.55,1305418
2023-04-10,33.65,33.9,32.5,33.5,358363
2023-04-11,33.85,33.85,32.0,32.35,599586
2023-04-12,32.35,32.5,30.05,32.0,696948
