TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,0.359,0.3615,0.359,0.3615,130000
2023-01-04,0.3625,0.363,0.3395,0.3575,1300000
2023-01-05,0.3585,0.3645,0.353,0.357,410000
2023-01-06,0.359,0.3635,0.352,0.3635,480000
2023-01-09,0.399,0.399,0.361,0.3675,610000
2023-01-10,0.381,0.3875,0.3725,0.3725,360000
2023-01-11,0.377,0.3985,0.376,0.389,900000
2023-01-12,0.3815,0.417,0.3815,0.401,1140000
2023-01-13,0.396,0.3995,0.3865,0.3995,240000
2023-01-16,0.3975,0.398,0.3915,0.398,400000
2023-01-17,0.3925,0.3925,0.3915,0.3915,110000
2023-01-18,0.3915,0.392,0.389,0.3905,70000
2023-01-19,0.39,0.41,0.39,0.392,390000
2023-01-20,0.392,0.3925,0.3905,0.392,80000
2023-01-23,0.3925,0.3925,0.3885,0.3925,110000
2023-01-24,0.3935,0.3935,0.389,0.393,50000
2023-01-25,0.3945,0.397,0.394,0.397,70000
2023-01-26,0.4,0.4355,0.3965,0.402,2290000
2023-01-27,0.402,0.402,0.402,0.402,90000
2023-01-30,0.407,0.407,0.402,0.402,80000
2023-01-31,0.4025,0.405,0.402,0.405,230000
2023-02-01,0.403,0.405,0.403,0.405,50000
2023-02-02,0.4055,0.414,0.405,0.41,170000
2023-02-03,0.4135,0.4135,0.4,0.4015,280000
2023-02-06,0.3975,0.402,0.3885,0.396,370000
2023-02-07,0.3955,0.399,0.3935,0.398,180000
2023-02-08,0.3985,0.4085,0.385,0.396,940000
2023-02-09,0.397,0.4005,0.3955,0.3985,290000
2023-02-10,0.398,0.4055,0.3965,0.4,160000
2023-02-13,0.3995,0.4075,0.397,0.4015,320000
2023-02-14,0.4035,0.425,0.397,0.405,4640000
2023-02-15,0.422,0.445,0.4,0.4035,5060000
2023-02-16,0.403,0.411,0.403,0.405,280000
2023-02-17,0.411,0.4195,0.4035,0.4075,290000
2023-02-20,0.408,0.41,0.39,0.397,750000
2023-02-21,0.3955,0.4095,0.3955,0.399,160000
2023-02-22,0.393,0.4095,0.393,0.3965,920000
2023-02-24,0.3955,0.4095,0.394,0.3995,390000
2023-02-27,0.4035,0.4185,0.3935,0.399,410000
2023-02-28,0.4005,0.4095,0.4005,0.4045,190000
2023-03-01,0.41,0.4305,0.409,0.429,2090000
2023-03-02,0.4295,0.43,0.4135,0.4135,680000
2023-03-03,0.417,0.4285,0.4155,0.4215,210000
2023-03-06,0.423,0.429,0.4135,0.425,390000
2023-03-07,0.4215,0.428,0.4215,0.425,230000
2023-03-09,0.428,0.44,0.4275,0.4275,470000
2023-03-10,0.436,0.436,0.4235,0.4295,180000
2023-03-13,0.428,0.428,0.4225,0.4225,150000
2023-03-14,0.422,0.4375,0.422,0.433,460000
2023-03-15,0.431,0.432,0.426,0.426,110000
2023-03-16,0.4245,0.4375,0.415,0.418,600000
2023-03-17,0.4165,0.4245,0.4165,0.424,230000
2023-03-20,0.4195,0.424,0.4195,0.423,100000
2023-03-21,0.4245,0.433,0.424,0.433,250000
2023-03-22,0.4355,0.4425,0.418,0.4225,1200000
2023-03-23,0.4225,0.4285,0.4225,0.425,300000
2023-03-24,0.4245,0.457,0.423,0.4315,5510000
2023-03-27,0.4285,0.432,0.423,0.427,910000
2023-03-28,0.429,0.4295,0.426,0.426,330000
2023-03-29,0.429,0.446,0.4255,0.4345,1830000
2023-03-30,0.4315,0.4365,0.421,0.4305,730000
2023-03-31,0.427,0.4325,0.422,0.4265,860000
2023-04-03,0.4275,0.4305,0.4265,0.427,310000
