TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,0.4715,0.487,0.471,0.4735,30000
2023-01-04,0.4705,0.475,0.47,0.475,25000
2023-01-05,0.4755,0.4905,0.471,0.4785,184000
2023-01-06,0.481,0.483,0.48,0.4805,18000
2023-01-09,0.4775,0.4795,0.4625,0.4775,150000
2023-01-10,0.478,0.4875,0.4775,0.481,64000
2023-01-11,0.486,0.518,0.4775,0.494,674000
2023-01-12,0.51,0.52,0.498,0.519,728000
2023-01-13,0.519,0.52,0.501,0.5075,252000
2023-01-16,0.516,0.5165,0.491,0.506,356000
2023-01-17,0.5065,0.5115,0.5055,0.506,96000
2023-01-18,0.512,0.512,0.4955,0.511,90000
2023-01-19,0.513,0.52,0.5035,0.5065,92000
2023-01-20,0.4995,0.505,0.4985,0.5035,17000
2023-01-23,0.5115,0.5115,0.502,0.5065,21000
2023-01-24,0.5065,0.5095,0.5015,0.505,70000
2023-01-25,0.505,0.5085,0.501,0.501,112000
2023-01-26,0.5,0.595,0.4965,0.53,2315000
2023-01-27,0.5305,0.5475,0.517,0.5455,411000
2023-01-30,0.548,0.5645,0.5325,0.5385,165000
2023-01-31,0.5485,0.5635,0.5335,0.5375,164000
2023-02-01,0.5445,0.5445,0.5365,0.5425,56000
2023-02-02,0.5385,0.5435,0.5365,0.5405,28000
2023-02-03,0.5445,0.5475,0.512,0.523,733000
2023-02-06,0.5265,0.54,0.512,0.532,605000
2023-02-07,0.532,0.538,0.5,0.5285,934000
2023-02-08,0.538,0.538,0.513,0.5205,322000
2023-02-09,0.5125,0.525,0.5015,0.5145,274000
2023-02-10,0.5165,0.534,0.5055,0.5175,355000
2023-02-13,0.524,0.532,0.516,0.52,160000
2023-02-14,0.526,0.5325,0.507,0.5185,718000
2023-02-15,0.521,0.532,0.5045,0.519,1269000
2023-02-16,0.519,0.53,0.487,0.4975,1540000
2023-02-17,0.502,0.529,0.491,0.5015,1001000
2023-02-20,0.4945,0.5025,0.4945,0.498,65000
2023-02-21,0.5055,0.53,0.4905,0.511,513000
2023-02-22,0.5105,0.5145,0.507,0.511,36000
2023-02-24,0.5115,0.5125,0.5,0.506,165000
2023-02-27,0.518,0.518,0.5105,0.516,91000
2023-02-28,0.516,0.516,0.509,0.515,399000
2023-03-01,0.5155,0.535,0.5135,0.526,578000
2023-03-02,0.5265,0.5345,0.5175,0.5175,327000
2023-03-03,0.518,0.5295,0.518,0.5245,182000
2023-03-06,0.526,0.5365,0.517,0.534,428000
2023-03-07,0.534,0.5365,0.521,0.5315,252000
2023-03-09,0.5315,0.5365,0.53,0.5315,72000
2023-03-10,0.535,0.5365,0.523,0.5315,253000
2023-03-13,0.5275,0.5305,0.519,0.528,130000
2023-03-14,0.5305,0.5305,0.5275,0.5275,16000
2023-03-15,0.5285,0.529,0.5185,0.5185,36000
2023-03-16,0.5185,0.525,0.518,0.523,182000
2023-03-17,0.5175,0.536,0.5135,0.5315,279000
2023-03-20,0.523,0.532,0.5195,0.5275,138000
2023-03-21,0.527,0.5355,0.5225,0.5315,176000
2023-03-22,0.5315,0.5315,0.523,0.5305,141000
2023-03-23,0.519,0.555,0.519,0.5495,697000
2023-03-24,0.5495,0.64,0.525,0.604,10817000
2023-03-27,0.602,0.613,0.5825,0.5935,2871000
2023-03-28,0.5975,0.602,0.581,0.598,1392000
2023-03-29,0.598,0.6595,0.594,0.6125,5357000
2023-03-30,0.617,0.6175,0.592,0.6025,563000
2023-03-31,0.6075,0.609,0.5815,0.5935,608000
2023-04-03,0.597,0.605,0.568,0.5895,2574000
2023-04-04,0.5915,0.6035,0.56,0.5775,5717000
2023-04-05,0.566,0.5775,0.54,0.575,3193000
2023-04-06,0.5745,0.5995,0.568,0.5995,1550000
2023-04-07,0.6015,0.607,0.586,0.5935,2156000
2023-04-10,0.599,0.606,0.589,0.6,887000
2023-04-11,0.6005,0.607,0.57,0.58,1294000
2023-04-12,0.579,0.5885,0.5775,0.5875,170000
2023-04-13,0.588,0.6165,0.575,0.589,1167000
2023-04-14,0.5985,0.61,0.59,0.596,267000
2023-04-17,0.5965,0.615,0.5865,0.5995,291000
2023-04-18,0.594,0.6045,0.59,0.5995,213000
2023-04-19,0.5995,0.6805,0.5995,0.62,12368000
2023-04-20,0.62,0.633,0.611,0.6275,1060000
2023-04-21,0.6195,0.637,0.6185,0.633,1231000
2023-04-24,0.6335,0.7615,0.6335,0.6955,19993000
2023-04-25,0.6995,0.973,0.6785,0.973,26819000
2023-04-26,1.069,1.325,1.01,1.112,22525000
2023-04-27,1.149,1.3325,1.003,1.078,23442000
2023-04-28,1.08,1.0975,1.0105,1.035,1908000
2023-05-02,1.0405,1.047,0.896,0.9265,2769000
2023-05-03,0.9265,1.16,0.9225,1.0465,18723000
2023-05-04,1.04,1.1295,0.961,0.961,5635000
2023-05-05,0.97,1.088,0.946,0.9515,2694000
2023-05-08,0.9515,0.963,0.928,0.929,296000
2023-05-10,0.9235,0.9465,0.832,0.926,4353000
2023-05-11,0.9275,0.99,0.91,0.93,2630000
2023-05-12,0.9405,0.9405,0.89,0.9065,947000
2023-05-15,0.9095,1.07,0.88,0.966,4357000
2023-05-16,0.993,0.993,0.9395,0.9445,857000
2023-05-17,0.945,1.089,0.9225,1.01,3771000
2023-05-18,1.0135,1.423,1.005,1.423,35356000
2023-05-19,1.565,1.683,1.1215,1.185,16952000
2023-05-22,1.2,1.2825,1.16,1.2015,3245000
2023-05-23,1.21,1.21,1.1625,1.178,668000
2023-05-24,1.1965,1.2315,1.162,1.179,1087000
2023-05-25,1.18,1.2,1.168,1.177,1179000
2023-05-26,1.188,1.1975,1.16,1.185,925000
2023-05-29,1.161,1.197,1.144,1.1645,1059000
2023-05-30,1.1615,1.1875,1.15,1.185,762000
2023-05-31,1.185,1.185,1.15,1.171,374000
2023-06-01,1.17,1.1895,1.17,1.1825,356000
2023-06-02,1.166,1.222,1.155,1.2075,1363000
2023-06-05,1.2095,1.4195,1.2,1.215,10363000
2023-06-06,1.2155,1.216,1.1895,1.1945,751000
2023-06-07,1.2185,1.278,1.1905,1.211,741000
2023-06-08,1.211,1.224,1.1575,1.199,1332000
2023-06-09,1.202,1.202,1.1435,1.1945,1167000
2023-06-13,1.1945,1.2,1.1725,1.1895,708000
2023-06-14,1.19,1.289,1.155,1.22,4418000
2023-06-15,1.22,1.279,1.22,1.257,1746000
2023-06-16,1.2415,1.2485,1.2035,1.23,628000
2023-06-19,1.221,1.316,1.211,1.2965,3126000
2023-06-20,1.3025,1.434,1.3025,1.3495,9165000
2023-06-21,1.351,1.379,1.3455,1.36,1467000
2023-06-22,1.3595,1.3595,1.2515,1.317,2206000
2023-06-23,1.319,1.34,1.279,1.33,665000
2023-06-26,1.3245,1.3395,1.2805,1.307,828000
2023-06-27,1.3,1.65,1.281,1.3835,23773000
2023-06-28,1.3655,1.392,1.333,1.361,3181000
2023-06-29,1.3895,1.4975,1.379,1.397,4200000
2023-06-30,1.3825,1.45,1.3825,1.4455,2486000
2023-07-03,1.473,1.644,1.4065,1.5165,6610000
2023-07-04,1.5295,1.57,1.4315,1.462,2018000
2023-07-05,1.477,1.5,1.4315,1.4425,1056000
2023-07-06,1.443,1.4635,1.402,1.437,564000
2023-07-07,1.44,1.44,1.4,1.418,674000
2023-07-10,1.419,1.42,1.3785,1.3895,1996000
2023-07-11,1.3995,1.4,1.355,1.3975,1185000
2023-07-12,1.3975,1.4235,1.361,1.399,1821000
2023-07-13,1.409,1.4115,1.384,1.4015,567000
2023-07-14,1.4015,1.4155,1.3835,1.4095,478000
2023-07-17,1.423,1.451,1.3655,1.4075,1458000
2023-07-18,1.399,1.4145,1.3655,1.412,442000
2023-07-19,1.4125,1.495,1.394,1.4645,4032000
2023-07-20,1.4935,1.4975,1.4605,1.495,1793000
2023-07-21,1.5055,1.549,1.466,1.485,2563000
2023-07-24,1.5175,1.5175,1.4565,1.5175,1476000
2023-07-25,1.5175,1.5665,1.5105,1.552,1202000
2023-07-26,1.531,1.856,1.529,1.681,22355000
2023-07-27,1.717,1.77,1.6425,1.6465,4765000
2023-07-28,1.636,1.688,1.5625,1.6575,1717000
2023-07-31,1.6695,1.6875,1.57,1.6595,1895000
2023-08-01,1.674,1.77,1.6595,1.7635,3199000
2023-08-02,1.775,1.82,1.6955,1.7975,4654000
2023-08-03,1.67,1.7885,1.67,1.7855,3307000
2023-08-04,1.8995,1.9395,1.744,1.781,7720000
2023-08-07,1.77,2.335,1.77,1.993,17078000
2023-08-08,2.192,2.7345,2.008,2.7,48296000
2023-08-09,2.75,3.778,2.7,3.778,21148000
2023-08-10,3.967,4.866,2.555,2.901,20446000
2023-08-11,2.9005,3.1385,2.4,3.0315,4806000
2023-08-14,3.146,3.315,3.0065,3.176,6027000
2023-08-15,3.176,3.1795,2.809,3.027,2339000
2023-08-16,3.0365,3.179,2.618,2.697,4548000
2023-08-17,2.7395,2.89,2.481,2.557,2375000
2023-08-18,2.559,2.646,2.501,2.595,1595000
2023-08-21,2.5955,2.851,2.5725,2.851,2866000
2023-08-22,2.908,3.134,2.908,3.134,7018000
2023-08-23,3.292,3.388,2.72,3.001,6390000
2023-08-24,3.0,3.1,2.9005,3.057,1473000
2023-08-25,3.06,3.16,3.0,3.045,1958000
2023-08-28,3.3,3.615,3.2605,3.368,12352000
