TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,610,610,600,600,67
2023-01-04,605,625,600,610,188
2023-01-05,620,630,610,610,172
2023-01-06,620,625,615,625,36
2023-01-09,625,630,620,625,64
2023-01-10,625,635,620,620,111
2023-01-11,620,660,620,635,781
2023-01-12,635,645,630,635,195
2023-01-13,635,680,625,665,943
2023-01-16,650,710,650,680,757
2023-01-17,695,695,645,655,483
2023-01-18,655,670,650,670,92
2023-01-19,655,670,645,660,154
2023-01-20,650,655,645,655,122
2023-01-23,655,655,645,655,31
2023-01-24,650,670,645,655,136
2023-01-25,650,655,650,650,36
2023-01-26,645,665,645,645,92
2023-01-27,655,680,655,665,280
2023-01-30,670,670,655,665,152
2023-01-31,670,670,660,665,88
2023-02-01,665,670,660,660,27
2023-02-02,665,670,655,655,284
2023-02-03,665,670,655,660,59
2023-02-06,665,670,660,670,115
2023-02-07,670,685,660,680,236
2023-02-08,680,685,660,675,474
2023-02-09,685,695,655,675,472
2023-02-10,690,700,670,685,1075
2023-02-13,690,710,680,690,344
2023-02-14,690,770,675,695,1692
2023-02-15,705,740,685,695,674
2023-02-16,700,720,675,695,379
2023-02-17,685,710,680,690,143
2023-02-20,685,720,680,685,164
2023-02-21,700,710,685,700,95
2023-02-22,705,735,705,710,201
2023-02-24,715,715,695,715,34
2023-02-27,700,720,700,715,105
2023-02-28,715,725,700,715,327
2023-03-01,715,720,715,720,92
2023-03-02,710,710,700,710,428
2023-03-03,710,710,700,710,30
2023-03-06,715,730,715,715,201
2023-03-07,725,725,710,710,79
2023-03-09,720,725,710,720,169
2023-03-10,710,720,710,720,211
2023-03-13,715,725,710,715,154
2023-03-14,715,720,710,715,91
2023-03-15,715,795,715,725,1299
2023-03-16,725,735,715,720,185
2023-03-17,735,735,720,720,37
2023-03-20,730,750,715,730,223
2023-03-21,730,775,715,740,411
2023-03-22,740,790,740,750,306
2023-03-23,760,785,730,770,344
2023-03-24,775,795,750,765,493
2023-03-27,775,835,745,760,472
2023-03-28,760,870,755,775,2560
2023-03-29,795,800,735,770,927
2023-03-30,765,775,760,770,350
2023-03-31,770,785,740,750,410
2023-04-03,765,785,735,765,541
2023-04-04,760,780,760,770,132
2023-04-05,765,775,755,770,227
2023-04-06,775,840,765,820,1544
2023-04-07,830,1060,820,885,11122
2023-04-10,890,920,850,905,1328
2023-04-11,920,945,870,880,1010
2023-04-12,905,905,855,880,437
2023-04-13,880,890,840,860,520
2023-04-14,860,870,845,855,257
2023-04-17,860,870,835,870,269
2023-04-18,875,885,860,870,249
2023-04-19,870,920,870,895,364
2023-04-20,890,905,870,885,479
2023-04-21,905,920,880,885,184
2023-04-24,885,950,880,950,706
2023-04-25,950,950,900,930,713
2023-04-26,935,1135,915,1015,12340
2023-04-27,1050,1050,935,995,1560
2023-04-28,975,1070,965,985,2759
2023-05-02,985,1005,885,935,1167
2023-05-03,950,985,895,945,956
2023-05-04,955,970,910,930,301
2023-05-05,920,940,895,910,298
2023-05-08,925,945,890,940,158
2023-05-10,930,960,905,945,240
2023-05-11,955,1040,945,985,764
2023-05-12,975,995,950,970,730
2023-05-15,950,1000,950,995,263
2023-05-16,995,1000,945,975,1107
2023-05-17,965,970,925,945,1443
2023-05-18,955,960,935,960,511
2023-05-19,965,965,905,930,462
2023-05-22,940,1085,925,970,3998
2023-05-23,990,1045,950,970,1936
2023-05-24,970,985,940,965,318
2023-05-25,945,975,925,930,637
2023-05-26,940,970,925,945,739
2023-05-29,950,950,915,925,1427
2023-05-30,925,1210,905,1035,27193
2023-05-31,1035,1050,940,995,4574
2023-06-01,995,995,950,970,1887
2023-06-02,990,990,950,965,284
2023-06-05,970,1020,950,1000,1400
2023-06-06,970,1000,965,990,662
2023-06-07,1000,1005,960,970,572
2023-06-08,975,975,940,960,873
2023-06-09,960,1020,930,1020,2321
2023-06-13,995,1225,970,1140,18806
2023-06-14,1140,1155,1050,1120,4261
2023-06-15,1125,1145,1040,1100,2506
2023-06-16,1105,1130,1065,1080,2301
2023-06-19,1090,1130,1050,1075,1405
2023-06-20,1115,1250,1080,1105,10749
2023-06-21,1095,1125,1065,1110,1774
2023-06-22,1110,1120,1095,1120,602
2023-06-23,1100,1120,1095,1100,437
2023-06-26,1115,1115,1060,1090,739
2023-06-27,1080,1385,1080,1220,50148
2023-06-28,1230,1675,1215,1520,50750
2023-06-29,1520,1750,1380,1560,26289
2023-06-30,1565,1855,1490,1830,20486
2023-07-03,1820,1900,1615,1650,15832
2023-07-04,1665,1670,1555,1590,4437
2023-07-05,1590,1645,1525,1590,2244
2023-07-06,1610,1690,1570,1590,2638
2023-07-07,1610,1670,1590,1660,3192
2023-07-10,1650,1785,1620,1735,3649
2023-07-11,1720,2190,1720,2175,22064
2023-07-12,2110,2250,1915,2070,24928
2023-07-13,2075,2085,1850,1955,4377
2023-07-14,1980,2060,1925,1980,3938
2023-07-17,1990,2150,1955,2015,4594
2023-07-18,2065,2120,2005,2035,2437
2023-07-19,2020,2130,2000,2085,4002
2023-07-20,2100,2105,2050,2060,1504
2023-07-21,2060,2110,2060,2095,1046
2023-07-24,2095,2100,2060,2100,1785
2023-07-25,2110,2110,2070,2095,1914
2023-07-26,2100,2105,2000,2055,2819
2023-07-27,2095,2755,2065,2450,12666
2023-07-28,2400,2755,2320,2480,8082
2023-07-31,2480,2800,2380,2650,8799
2023-08-01,2695,3600,2650,3345,31362
2023-08-02,3405,4050,3325,3660,16777
2023-08-03,3715,3930,3465,3660,10125
2023-08-04,3680,4600,3575,4000,20161
2023-08-07,4050,5595,4050,5500,24028
2023-08-08,5555,7710,5555,7710,33356
2023-08-09,8050,8475,7160,7900,13879
2023-08-10,8195,8200,5065,5860,16988
2023-08-11,5405,6320,5075,5890,4969
2023-08-14,5900,6200,5650,5880,2397
2023-08-15,6040,6040,5390,5465,2127
2023-08-16,5415,6005,5020,5265,4279
2023-08-17,5770,5770,5140,5185,2996
2023-08-18,5200,5415,5130,5275,958
2023-08-21,5450,5795,5300,5795,1926
2023-08-22,6370,6370,5865,6370,4625
2023-08-23,6590,6740,5450,6090,4516
2023-08-24,6100,6150,5670,5895,968
2023-08-25,6295,6425,5875,5990,1658
2023-08-28,6195,6395,6025,6300,2811
2023-08-29,6350,6580,6005,6235,2564
2023-08-30,6275,6275,6000,6135,1058
2023-08-31,6160,6160,6000,6115,923
2023-09-01,6115,6145,5730,6095,2186
2023-09-04,6130,6385,5990,6045,2953
2023-09-05,6150,6150,5995,6025,852
2023-09-06,6070,6070,5955,5960,409
2023-09-07,6060,6100,5500,5645,1330
2023-09-08,5620,5895,5325,5450,881
2023-09-11,5475,5800,5350,5350,897
2023-09-12,5350,5665,5350,5520,760
2023-09-13,5635,5930,5325,5340,1445
2023-09-14,5345,5395,4000,4575,3826
2023-09-15,4700,5995,4400,5355,5805
2023-09-18,5450,5740,5040,5160,1936
2023-09-19,5165,5185,4770,4805,856
2023-09-20,4800,4805,4015,4440,2308
2023-09-21,4300,4735,4235,4345,1083
2023-09-22,4275,4535,4055,4385,1091
2023-09-25,4430,4520,4275,4395,438
2023-09-26,4465,4900,4405,4595,1020
2023-09-27,4600,4725,4600,4705,372
2023-09-28,4710,4785,4670,4740,447
2023-09-29,4705,4705,4595,4600,170
2023-10-02,4620,4620,4380,4545,1037
2023-10-03,4525,4545,4410,4540,363
2023-10-04,4455,4535,4400,4490,552
2023-10-05,4455,4590,4455,4590,289
2023-10-06,4600,4600,4465,4500,189
2023-10-09,4525,4565,4475,4485,461
2023-10-10,4485,4525,4485,4515,352
2023-10-11,4515,4755,4495,4710,613
2023-10-12,4705,4705,4570,4655,680
2023-10-13,4660,4945,4660,4870,1533
2023-10-16,4935,5655,4855,5270,5204
2023-10-17,5285,5580,5165,5430,1518
2023-10-18,5450,5645,5440,5600,2178
2023-10-19,5600,5600,5400,5500,1065
2023-10-20,5495,5520,4920,5030,1955
2023-10-23,5220,5230,4930,5170,1384
2023-10-24,5170,5175,4920,5065,469
2023-10-25,5065,5410,5060,5255,2107
2023-10-26,5255,5290,4965,4965,612
2023-10-27,5085,5490,4970,5140,3938
2023-10-30,5150,5265,5090,5095,792
2023-10-31,5100,5170,4990,5035,505
2023-11-01,5035,5120,5015,5030,520
2023-11-02,5030,5120,5020,5020,256
2023-11-03,5020,5050,4870,4965,490
2023-11-06,4950,4950,4885,4925,235
2023-11-07,4885,4995,4885,4980,84
2023-11-08,4990,4990,4715,4780,575
2023-11-09,4780,4780,4255,4480,1112
2023-11-10,4500,4520,4055,4195,1055
2023-11-13,4190,4225,3805,3940,812
2023-11-14,3940,3945,3190,3250,1998
2023-11-15,3150,3980,3065,3980,2379
2023-11-16,3875,4370,3875,4370,516
2023-11-17,4375,4795,4375,4740,2049
2023-11-20,4750,4750,4385,4525,804
2023-11-21,4530,4580,4155,4330,773
2023-11-22,4335,4370,4225,4250,244
2023-11-23,4250,4250,3810,3810,1344
2023-11-24,3775,3775,3235,3500,3210
2023-11-27,3475,3500,3060,3240,1034
2023-11-28,3100,3540,3045,3540,2680
2023-11-29,3770,3890,3300,3365,2124
2023-11-30,3365,3500,3210,3285,565
2023-12-01,3325,3600,3175,3380,1892
2023-12-04,3375,3450,3210,3220,330
2023-12-05,3220,3285,2865,3145,752
2023-12-06,3145,3200,3050,3080,89
2023-12-07,3145,3190,2625,3085,907
2023-12-08,3095,3190,2990,3030,253
2023-12-11,3000,3000,2850,2880,363
2023-12-12,2850,2915,2660,2725,655
2023-12-13,2740,2960,2740,2880,301
2023-12-14,2880,3140,2820,2980,1292
2023-12-15,3010,3010,2735,3000,1430
2023-12-18,3000,3245,3000,3190,857
2023-12-19,3190,3465,3190,3260,1094
2023-12-20,3350,3570,3260,3485,1269
2023-12-21,3570,4100,3410,3790,3892
2023-12-22,3790,3900,3475,3500,1984
2023-12-25,3610,3790,3355,3430,790
2023-12-26,3445,3565,3420,3425,412
2023-12-27,3495,3500,3330,3395,673
2023-12-28,3395,3440,3305,3305,418
2023-12-29,3370,3445,3265,3365,461
2024-01-03,3450,3460,3280,3450,381
2024-01-04,3465,3540,3380,3455,322
2024-01-05,3500,3795,3450,3565,973
2024-01-08,3565,3795,3525,3640,755
2024-01-09,3675,4200,3675,4190,2991
