TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,0.5155,0.5585,0.5075,0.527,160388000
2023-01-04,0.5325,0.5795,0.52,0.533,251446000
2023-01-05,0.5435,0.5435,0.521,0.53,46145000
2023-01-06,0.5285,0.5665,0.524,0.5305,178508000
2023-01-09,0.5395,0.5455,0.5315,0.54,42308000
2023-01-10,0.542,0.5735,0.54,0.552,130232000
2023-01-11,0.553,0.557,0.537,0.546,51500000
2023-01-12,0.5485,0.5555,0.5395,0.547,32483000
2023-01-13,0.5515,0.569,0.534,0.5405,76074000
2023-01-16,0.545,0.5585,0.54,0.548,45317000
2023-01-17,0.552,0.552,0.53,0.535,36499000
2023-01-18,0.53,0.5495,0.53,0.5355,34715000
2023-01-19,0.537,0.5385,0.5325,0.537,15318000
2023-01-20,0.5365,0.538,0.532,0.5355,8313000
2023-01-23,0.532,0.544,0.532,0.54,24099000
2023-01-24,0.544,0.5475,0.5385,0.5425,16345000
2023-01-25,0.5405,0.547,0.5375,0.54,11983000
2023-01-26,0.541,0.621,0.5345,0.5545,685776000
2023-01-27,0.556,0.565,0.5415,0.55,92279000
2023-01-30,0.557,0.59,0.55,0.561,186656000
2023-01-31,0.563,0.57,0.552,0.56,53062000
2023-02-01,0.568,0.568,0.5595,0.5625,19518000
2023-02-02,0.5665,0.585,0.5585,0.5635,44458000
2023-02-03,0.5615,0.568,0.555,0.555,22326000
2023-02-06,0.5625,0.58,0.554,0.567,92234000
2023-02-07,0.567,0.628,0.562,0.5925,385919000
2023-02-08,0.592,0.615,0.5795,0.585,101611000
2023-02-09,0.59,0.595,0.584,0.584,22834000
2023-02-10,0.585,0.598,0.5815,0.5845,28116000
2023-02-13,0.587,0.615,0.5865,0.593,79640000
2023-02-14,0.595,0.601,0.562,0.578,34550000
2023-02-15,0.5755,0.597,0.559,0.565,42977000
2023-02-16,0.571,0.582,0.55,0.5565,26196000
2023-02-17,0.556,0.5745,0.5495,0.5655,30497000
2023-02-20,0.567,0.579,0.5555,0.563,30090000
2023-02-21,0.563,0.579,0.5575,0.5665,36785000
2023-02-22,0.567,0.5705,0.561,0.5645,6788000
2023-02-24,0.5645,0.5685,0.5645,0.5675,5560000
2023-02-27,0.5675,0.583,0.5635,0.5755,31736000
2023-02-28,0.5795,0.615,0.5755,0.599,168553000
2023-03-01,0.608,0.612,0.598,0.605,31415000
2023-03-02,0.605,0.6095,0.585,0.6035,41610000
2023-03-03,0.613,0.6325,0.606,0.623,121525000
2023-03-06,0.623,0.658,0.6205,0.635,104588000
2023-03-07,0.64,0.734,0.622,0.6685,799233000
2023-03-09,0.674,0.6875,0.6695,0.675,135069000
2023-03-10,0.6785,0.6815,0.6645,0.671,48468000
2023-03-13,0.6725,0.6805,0.6705,0.673,46261000
2023-03-14,0.673,0.676,0.667,0.6705,20260000
2023-03-15,0.676,0.676,0.6675,0.6695,18415000
2023-03-16,0.6695,0.673,0.668,0.671,15029000
2023-03-17,0.671,0.6725,0.6565,0.669,26477000
2023-03-20,0.671,0.6715,0.666,0.666,19366000
2023-03-21,0.6695,0.673,0.665,0.6675,26338000
2023-03-22,0.6705,0.674,0.666,0.6715,16075000
2023-03-23,0.6745,0.6815,0.667,0.6775,40429000
2023-03-24,0.678,0.715,0.677,0.697,160016000
2023-03-27,0.7,0.7,0.689,0.6965,39413000
