TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,92.5,95.5,92.5,95.5,3790
2023-01-04,93.0,95.5,93.0,94.5,4120
2023-01-05,94.0,95.5,92.5,93.0,4310
2023-01-06,93.0,94.0,93.0,93.5,320
2023-01-09,93.5,100.0,93.5,99.0,14930
2023-01-10,99.0,103.0,95.0,101.5,17800
2023-01-11,98.5,102.5,98.5,100.5,2980
2023-01-12,100.5,102.5,97.0,100.5,6800
2023-01-13,100.0,101.0,98.0,98.5,1520
2023-01-16,98.5,117.0,97.0,104.5,68650
2023-01-17,102.5,107.0,102.0,103.0,8340
2023-01-18,102.5,103.5,99.0,103.0,8670
2023-01-19,102.5,104.5,100.0,102.0,4270
2023-01-20,101.5,105.5,101.5,105.0,6180
2023-01-23,104.5,106.5,103.0,105.0,1730
2023-01-24,106.0,106.5,102.5,105.5,3500
2023-01-25,105.0,105.5,104.0,104.0,700
2023-01-26,104.5,107.0,104.0,105.0,3620
2023-01-27,106.0,107.0,100.0,106.0,9940
2023-01-30,104.5,108.5,104.5,104.5,10730
2023-01-31,106.5,136.5,106.5,117.0,295370
2023-02-01,116.5,122.5,112.5,113.5,51760
2023-02-02,113.0,119.5,112.5,115.5,18000
2023-02-03,116.0,118.0,109.0,111.0,32950
2023-02-06,111.5,112.5,110.0,111.5,10600
2023-02-07,111.0,112.0,108.0,110.5,16170
2023-02-08,111.0,125.0,109.5,125.0,76720
2023-02-09,125.0,127.0,116.0,117.0,16720
2023-02-10,118.5,152.5,116.5,129.0,249090
2023-02-13,129.0,131.5,123.5,129.0,18720
2023-02-14,127.0,128.0,125.0,128.0,5040
2023-02-15,125.5,129.0,118.0,118.0,22460
2023-02-16,117.5,122.0,116.5,121.5,5550
2023-02-17,122.5,145.0,116.0,129.5,79310
2023-02-20,128.0,151.0,128.0,137.0,52810
2023-02-21,123.5,139.0,123.5,137.5,17790
2023-02-22,139.0,139.5,130.0,136.5,9440
2023-02-24,133.0,136.5,129.5,134.5,2830
2023-02-27,133.5,140.5,130.0,135.0,14450
2023-02-28,135.0,138.0,134.5,136.0,4340
2023-03-01,136.0,151.0,136.0,149.0,43320
2023-03-02,149.0,164.0,139.5,148.0,26000
2023-03-03,148.0,156.5,145.5,149.5,9420
2023-03-06,156.5,164.0,152.0,159.0,28500
2023-03-07,159.0,163.0,154.5,156.0,24450
2023-03-09,157.0,158.0,155.0,157.5,6680
2023-03-10,156.5,158.0,155.5,157.0,2600
2023-03-13,158.5,160.0,152.5,155.5,13250
2023-03-14,155.5,155.5,150.5,154.0,7750
2023-03-15,153.5,162.0,153.5,156.5,12970
2023-03-16,156.0,156.0,152.0,155.0,5410
2023-03-17,153.0,156.0,153.0,155.5,2540
2023-03-20,155.5,155.5,151.0,154.0,8960
2023-03-21,153.0,154.5,151.5,153.0,3110
2023-03-22,153.0,161.0,152.0,155.0,12890
2023-03-23,154.5,158.0,154.5,156.5,2930
2023-03-24,157.5,164.0,155.5,160.5,12570
2023-03-27,163.5,167.5,159.5,160.5,7430
2023-03-28,163.0,165.5,156.5,158.5,8170
2023-03-29,158.5,159.0,154.5,158.0,3670
2023-03-30,159.0,163.5,157.0,159.0,6690
2023-03-31,160.0,161.5,157.0,160.0,2470
2023-04-03,161.5,221.5,158.5,198.0,232460
2023-04-04,207.0,208.0,181.5,189.5,80580
2023-04-05,192.5,218.0,187.5,198.0,118510
2023-04-06,198.0,204.5,191.0,195.0,22360
2023-04-07,196.0,209.5,195.0,196.5,14000
2023-04-10,200.0,209.0,194.0,204.0,17720
2023-04-11,203.5,203.5,189.5,196.0,37220
2023-04-12,196.0,199.5,194.0,196.5,6810
2023-04-13,198.0,199.5,192.0,197.5,4380
2023-04-14,197.5,202.0,195.5,198.5,11380
2023-04-17,200.5,205.0,197.0,202.0,11200
2023-04-18,204.0,209.0,197.5,200.0,52120
2023-04-19,200.5,200.5,195.5,196.5,5670
2023-04-20,197.5,200.0,190.5,195.0,6080
2023-04-21,196.0,200.0,194.5,198.5,6100
2023-04-24,196.0,199.5,195.5,198.0,4790
2023-04-25,198.0,199.5,194.5,196.0,12260
2023-04-26,197.0,198.0,193.5,193.5,5440
2023-04-27,194.0,196.0,193.5,195.5,1030
2023-04-28,195.5,195.5,191.0,193.5,2090
2023-05-02,194.0,194.5,181.5,187.0,8830
2023-05-03,188.0,193.5,181.0,187.0,4310
2023-05-04,184.5,185.0,173.5,181.0,5830
2023-05-05,178.5,184.0,175.0,178.0,4300
2023-05-08,177.0,179.0,166.5,172.5,3360
2023-05-10,174.0,180.0,171.5,177.0,2150
2023-05-11,183.5,190.0,177.0,186.0,9690
2023-05-12,186.0,193.5,180.0,186.5,8500
2023-05-15,186.5,200.0,186.0,189.0,13200
2023-05-16,190.5,191.0,182.0,185.5,5360
2023-05-17,184.5,187.0,181.5,183.5,4100
2023-05-18,184.0,185.5,181.0,182.5,2340
2023-05-19,183.0,185.5,180.0,180.5,1960
2023-05-22,189.0,216.0,183.0,190.5,109230
2023-05-23,196.5,202.5,187.5,193.5,22500
2023-05-24,193.5,199.0,184.5,188.5,9060
