TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,0.5585,0.567,0.555,0.5615,7910000
2023-01-04,0.566,0.5695,0.56,0.5695,8960000
2023-01-05,0.5705,0.578,0.5685,0.574,25214000
2023-01-06,0.578,0.578,0.561,0.575,7945000
2023-01-09,0.5795,0.584,0.5735,0.581,20229000
2023-01-10,0.5755,0.586,0.5755,0.5835,15390000
2023-01-11,0.587,0.642,0.585,0.623,159616000
2023-01-12,0.629,0.648,0.611,0.6255,47540000
2023-01-13,0.6205,0.6255,0.602,0.613,45919000
2023-01-16,0.616,0.6345,0.6155,0.621,36557000
2023-01-17,0.6185,0.622,0.612,0.6155,19957000
2023-01-18,0.6155,0.6195,0.6055,0.6095,8410000
2023-01-19,0.609,0.6095,0.595,0.5965,18545000
2023-01-20,0.596,0.601,0.585,0.5955,11583000
2023-01-23,0.5955,0.611,0.595,0.6045,10828000
2023-01-24,0.609,0.635,0.608,0.621,41839000
2023-01-25,0.628,0.628,0.61,0.615,11439000
2023-01-26,0.624,0.624,0.6085,0.614,8299000
2023-01-27,0.616,0.6185,0.61,0.611,16641000
2023-01-30,0.613,0.621,0.611,0.621,9559000
2023-01-31,0.625,0.64,0.616,0.637,37961000
2023-02-01,0.64,0.738,0.6325,0.669,289494000
2023-02-02,0.68,0.7145,0.659,0.6645,94986000
2023-02-03,0.669,0.6695,0.6455,0.6555,20967000
2023-02-06,0.6575,0.71,0.6555,0.6905,97686000
2023-02-07,0.695,0.71,0.676,0.6845,67834000
2023-02-08,0.6845,0.7,0.675,0.6975,39594000
2023-02-09,0.715,0.763,0.698,0.7295,212739000
2023-02-10,0.75,0.751,0.715,0.723,44041000
2023-02-13,0.728,0.7365,0.706,0.715,30073000
2023-02-14,0.715,0.7165,0.695,0.703,35695000
2023-02-15,0.701,0.701,0.649,0.658,33186000
2023-02-16,0.663,0.722,0.663,0.698,76517000
2023-02-17,0.7145,0.719,0.675,0.6905,20380000
2023-02-20,0.6945,0.7005,0.666,0.677,23835000
2023-02-21,0.68,0.7295,0.678,0.6955,76893000
2023-02-22,0.696,0.7225,0.693,0.6965,39599000
2023-02-24,0.6945,0.714,0.6945,0.7075,11320000
2023-02-27,0.7025,0.7195,0.7,0.7155,20399000
2023-02-28,0.72,0.725,0.692,0.7065,30660000
2023-03-01,0.725,0.725,0.705,0.707,18971000
2023-03-02,0.716,0.719,0.67,0.6985,30126000
2023-03-03,0.6985,0.7045,0.6935,0.702,11113000
2023-03-06,0.7025,0.7105,0.692,0.702,13358000
2023-03-07,0.7055,0.7055,0.688,0.6975,15907000
2023-03-09,0.701,0.7235,0.69,0.71,94912000
2023-03-10,0.7095,0.7095,0.696,0.701,12136000
2023-03-13,0.696,0.724,0.694,0.717,71861000
2023-03-14,0.7245,0.725,0.7,0.7055,33735000
2023-03-15,0.709,0.7145,0.696,0.702,10444000
2023-03-16,0.707,0.709,0.697,0.702,10138000
2023-03-17,0.7025,0.7125,0.7025,0.707,11437000
2023-03-20,0.7045,0.7155,0.7045,0.7125,13625000
2023-03-21,0.712,0.7185,0.71,0.7165,40876000
2023-03-22,0.7165,0.718,0.7135,0.715,13771000
2023-03-23,0.718,0.7215,0.7135,0.7215,59929000
2023-03-24,0.725,0.7465,0.722,0.731,93251000
2023-03-27,0.734,0.74,0.721,0.7255,35439000
2023-03-28,0.7355,0.7385,0.6895,0.7185,62904000
2023-03-29,0.7195,0.722,0.707,0.7115,20610000
2023-03-30,0.7185,0.7185,0.7115,0.7165,18889000
2023-03-31,0.7165,0.735,0.702,0.712,38404000
2023-04-03,0.7145,0.7235,0.711,0.716,27451000
2023-04-04,0.72,0.726,0.714,0.7155,17780000
2023-04-05,0.7155,0.717,0.6905,0.7155,20718000
2023-04-06,0.7155,0.7275,0.7065,0.7175,28291000
2023-04-07,0.719,0.73,0.7085,0.723,21288000
2023-04-10,0.725,0.774,0.725,0.7485,198143000
2023-04-11,0.751,0.759,0.6925,0.7225,76245000
2023-04-12,0.723,0.767,0.7115,0.7615,157459000
2023-04-13,0.772,0.775,0.732,0.7395,87817000
2023-04-14,0.7465,0.7465,0.72,0.7345,26915000
2023-04-17,0.735,0.749,0.7305,0.7415,21028000
2023-04-18,0.7465,0.752,0.73,0.7405,31213000
2023-04-19,0.7405,0.7465,0.722,0.731,29393000
2023-04-20,0.731,0.7345,0.702,0.7235,32120000
2023-04-21,0.7235,0.73,0.717,0.7255,15992000
2023-04-24,0.7255,0.739,0.725,0.7275,20834000
2023-04-25,0.74,0.74,0.718,0.7205,29304000
2023-04-26,0.7255,0.731,0.7185,0.722,9716000
2023-04-27,0.7225,0.726,0.718,0.72,12628000
2023-04-28,0.7275,0.731,0.7125,0.7155,16889000
2023-05-02,0.7155,0.723,0.656,0.6875,46385000
2023-05-03,0.6875,0.6995,0.66,0.675,23808000
2023-05-04,0.662,0.69,0.6555,0.676,12689000
2023-05-05,0.679,0.681,0.67,0.672,6040000
2023-05-08,0.673,0.69,0.666,0.682,8261000
