TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,0.0686,0.0695,0.0685,0.0693,2780000
2023-01-04,0.0685,0.07,0.0685,0.0694,6310000
2023-01-05,0.0687,0.0792,0.0685,0.0744,323210000
2023-01-06,0.0725,0.0821,0.0725,0.0755,121110000
2023-01-09,0.074,0.0799,0.0737,0.0776,71820000
2023-01-10,0.0774,0.0774,0.071,0.0738,65570000
2023-01-11,0.0743,0.0772,0.0725,0.0754,34680000
2023-01-12,0.0759,0.0778,0.0733,0.0756,17740000
2023-01-13,0.0756,0.0816,0.0745,0.0763,77940000
2023-01-16,0.0776,0.0795,0.0754,0.0771,34070000
2023-01-17,0.0779,0.0825,0.0771,0.0795,101000000
2023-01-18,0.079,0.0824,0.0782,0.0802,48470000
2023-01-19,0.081,0.0822,0.0763,0.0776,38280000
2023-01-20,0.0767,0.079,0.0766,0.0781,6090000
2023-01-23,0.0772,0.081,0.0772,0.0786,9110000
2023-01-24,0.0796,0.08,0.0778,0.0779,18190000
2023-01-25,0.077,0.0799,0.0755,0.0787,21860000
2023-01-26,0.0791,0.0798,0.079,0.0795,5610000
2023-01-27,0.0791,0.0805,0.079,0.0799,4860000
2023-01-30,0.0791,0.0818,0.0791,0.0809,30090000
2023-01-31,0.0818,0.083,0.0811,0.0821,28940000
2023-02-01,0.0817,0.0825,0.0798,0.081,58240000
2023-02-02,0.0806,0.082,0.0799,0.0816,20940000
2023-02-03,0.0807,0.0825,0.0796,0.0812,12310000
2023-02-06,0.0819,0.0875,0.0801,0.0833,57740000
2023-02-07,0.0846,0.0855,0.0825,0.0838,19910000
2023-02-08,0.0847,0.087,0.0845,0.086,28610000
2023-02-09,0.0877,0.0925,0.0844,0.0879,94150000
2023-02-10,0.0878,0.1028,0.0864,0.092,504240000
2023-02-13,0.088,0.0907,0.0852,0.0872,77690000
2023-02-14,0.0893,0.0893,0.082,0.0836,51900000
2023-02-15,0.0835,0.088,0.081,0.0812,48030000
2023-02-16,0.0816,0.0861,0.081,0.0819,33480000
2023-02-17,0.081,0.083,0.081,0.0817,26990000
2023-02-20,0.0825,0.0825,0.0806,0.0809,13830000
2023-02-21,0.0825,0.086,0.0809,0.0845,15510000
2023-02-22,0.0852,0.093,0.0821,0.0896,60530000
2023-02-24,0.0898,0.0898,0.0839,0.0852,73090000
2023-02-27,0.0852,0.0853,0.0827,0.0843,25620000
2023-02-28,0.0843,0.085,0.083,0.0835,11970000
2023-03-01,0.0836,0.0875,0.0831,0.0843,26850000
2023-03-02,0.084,0.0864,0.0822,0.0828,31760000
2023-03-03,0.0825,0.0846,0.0821,0.083,20740000
2023-03-06,0.0832,0.0859,0.0832,0.0857,10300000
2023-03-07,0.0854,0.0874,0.0851,0.087,24120000
2023-03-09,0.0869,0.0885,0.0862,0.0866,9400000
2023-03-10,0.0851,0.0907,0.0851,0.0894,59650000
2023-03-13,0.0899,0.0909,0.0861,0.088,18860000
2023-03-14,0.088,0.09,0.088,0.0899,6990000
2023-03-15,0.0894,0.09,0.089,0.089,8590000
2023-03-16,0.0889,0.0889,0.087,0.0873,15360000
2023-03-17,0.0882,0.0894,0.0866,0.0876,16840000
2023-03-20,0.0871,0.0929,0.0869,0.0908,43120000
2023-03-21,0.0917,0.0923,0.0899,0.0913,20930000
2023-03-22,0.0918,0.0927,0.091,0.0919,22370000
2023-03-23,0.0924,0.0954,0.0921,0.0947,20120000
2023-03-24,0.0952,0.102,0.092,0.093,108670000
2023-03-27,0.0933,0.0989,0.0931,0.0989,57740000
2023-03-28,0.0994,0.0994,0.094,0.0982,11200000
2023-03-29,0.0977,0.1007,0.0968,0.098,25480000
2023-03-30,0.0994,0.1009,0.0981,0.1005,21240000
2023-03-31,0.1005,0.1037,0.1,0.1017,25230000
2023-04-03,0.1021,0.105,0.0975,0.0997,54540000
2023-04-04,0.1011,0.1042,0.0965,0.101,51000000
2023-04-05,0.0993,0.1004,0.0988,0.099,18410000
2023-04-06,0.1002,0.1045,0.0991,0.0996,34230000
2023-04-07,0.0996,0.1013,0.098,0.1,59980000
2023-04-10,0.0999,0.1023,0.0999,0.101,5060000
2023-04-11,0.101,0.1015,0.0998,0.0998,16790000
2023-04-12,0.1004,0.101,0.0997,0.1006,6770000
2023-04-13,0.1004,0.1027,0.1,0.1026,10340000
2023-04-14,0.1025,0.1042,0.0931,0.1033,23190000
2023-04-17,0.1042,0.105,0.1016,0.105,18510000
2023-04-18,0.1049,0.105,0.1015,0.1043,15470000
2023-04-19,0.1035,0.1038,0.0986,0.1026,18100000
2023-04-20,0.1026,0.1029,0.1,0.1015,16840000
2023-04-21,0.1002,0.1023,0.1002,0.101,4500000
2023-04-24,0.1038,0.1038,0.1005,0.101,7520000
2023-04-25,0.102,0.1043,0.1006,0.1021,15310000
