TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,7.42,7.55,7.28,7.51,38800
2023-01-04,7.49,7.52,7.2,7.36,607000
2023-01-05,7.36,7.49,7.25,7.37,88800
2023-01-06,7.41,7.59,7.32,7.36,171300
2023-01-09,7.38,7.39,7.2,7.3,205500
2023-01-10,7.23,7.34,7.23,7.31,97400
2023-01-11,7.32,7.61,7.31,7.44,233600
2023-01-12,7.39,7.59,7.39,7.5,142900
2023-01-13,7.52,7.71,7.52,7.65,108700
2023-01-16,7.67,7.96,7.56,7.7,236800
2023-01-17,7.62,7.86,7.46,7.54,239800
2023-01-18,7.54,7.66,7.46,7.59,166400
2023-01-19,8.34,8.5,7.38,7.6,1110700
2023-01-20,7.56,7.7,7.31,7.55,193400
2023-01-23,7.55,7.61,7.46,7.53,155500
2023-01-24,7.53,7.66,7.52,7.59,132700
2023-01-25,7.67,7.67,7.52,7.57,34200
2023-01-26,7.57,7.78,7.53,7.75,152200
2023-01-27,7.83,7.83,7.69,7.75,80500
2023-01-30,7.71,8.38,7.71,8.05,662400
2023-01-31,8.0,8.24,7.97,8.07,118900
2023-02-01,8.1,8.27,8.06,8.15,107400
2023-02-02,7.97,8.2,7.97,8.1,140600
2023-02-03,8.05,8.55,8.0,8.1,403600
2023-02-06,8.19,8.25,7.99,8.08,288200
2023-02-07,8.03,8.14,8.0,8.06,131000
2023-02-08,8.12,8.35,8.03,8.26,386100
2023-02-09,8.9,8.9,8.15,8.2,406800
2023-02-10,8.22,8.5,8.15,8.21,184300
2023-02-13,8.16,8.35,8.16,8.26,66300
2023-02-14,8.29,8.29,7.82,7.97,237500
2023-02-15,7.92,8.21,7.6,7.89,257500
2023-02-16,7.88,8.0,7.58,7.95,237600
2023-02-17,7.88,8.09,7.77,8.01,292700
2023-02-20,7.76,8.05,7.73,7.9,171400
2023-02-21,7.98,8.04,7.88,8.01,56000
2023-02-22,8.01,8.04,7.89,7.97,58700
2023-02-24,7.93,7.98,7.8,7.85,118100
2023-02-27,7.88,7.96,7.84,7.9,40700
2023-02-28,7.87,8.07,7.86,7.95,106600
2023-03-01,7.99,8.03,7.92,8.0,55600
2023-03-02,8.0,8.01,7.88,7.92,101200
2023-03-03,7.98,8.2,7.93,8.09,105700
2023-03-06,8.07,8.28,8.05,8.23,192200
2023-03-07,8.25,8.28,8.1,8.17,74600
2023-03-09,8.18,8.22,8.0,8.1,329500
2023-03-10,8.1,8.14,8.01,8.07,23800
2023-03-13,8.1,8.17,8.02,8.05,43400
2023-03-14,8.08,8.13,8.04,8.09,56900
2023-03-15,7.99,8.12,7.99,8.03,19500
2023-03-16,8.08,8.85,8.01,8.36,1685800
2023-03-17,8.36,8.5,8.16,8.41,649600
2023-03-20,8.39,8.51,8.25,8.46,888900
2023-03-21,8.35,8.46,8.07,8.46,287500
2023-03-22,8.4,8.4,8.27,8.37,310000
2023-03-23,8.37,8.38,8.21,8.37,434800
2023-03-24,8.37,8.39,8.05,8.25,1373900
2023-03-27,8.26,8.4,8.21,8.4,483700
2023-03-28,8.39,8.43,8.25,8.33,151800
2023-03-29,8.28,8.4,8.27,8.35,268900
2023-03-30,8.38,8.44,8.3,8.35,142800
2023-03-31,8.36,8.4,8.05,8.18,504300
2023-04-03,8.22,8.32,8.19,8.25,160700
2023-04-04,8.29,8.6,8.25,8.31,567500
2023-04-05,8.31,8.69,8.15,8.67,444000
2023-04-06,8.69,8.71,8.45,8.5,333600
2023-04-07,8.52,8.57,8.41,8.52,121700
2023-04-10,8.8,8.9,8.36,8.6,934100
2023-04-11,8.62,8.65,8.4,8.45,290800
2023-04-12,8.5,8.65,8.38,8.57,398000
2023-04-13,8.54,8.6,8.26,8.42,260200
2023-04-14,8.42,8.42,8.31,8.38,41500
2023-04-17,8.42,8.53,8.4,8.5,155000
2023-04-18,8.5,8.58,8.42,8.57,201000
2023-04-19,8.58,8.58,8.42,8.43,150300
2023-04-20,8.55,8.55,8.2,8.38,158900
2023-04-21,8.39,8.45,8.36,8.4,15100
2023-04-24,8.37,8.44,8.3,8.39,109900
2023-04-25,8.41,8.42,8.35,8.35,23600
2023-04-26,8.45,8.45,8.35,8.38,244100
2023-04-27,8.44,8.6,8.28,8.38,280400
2023-04-28,8.46,8.52,8.2,8.52,258600
2023-05-02,8.49,8.49,8.15,8.2,177000
2023-05-03,8.23,8.28,8.1,8.15,72000
2023-05-04,8.11,8.18,8.01,8.15,61100
2023-05-05,8.12,8.17,7.7,7.92,141200
2023-05-08,7.92,8.66,7.92,8.17,798000
2023-05-10,8.17,8.62,8.1,8.4,293200
2023-05-11,8.4,8.65,8.32,8.41,194200
2023-05-12,8.41,8.5,8.01,8.13,403000
2023-05-15,8.2,8.27,8.11,8.25,120800
2023-05-16,8.25,8.28,8.12,8.27,38900
2023-05-17,8.26,8.26,8.15,8.19,48500
2023-05-18,8.21,8.27,8.16,8.19,84500
2023-05-19,8.2,8.2,8.15,8.18,28500
2023-05-22,8.23,8.23,8.12,8.17,60700
2023-05-23,8.17,8.17,8.12,8.15,18100
2023-05-24,8.14,8.17,8.13,8.15,17200
2023-05-25,8.19,8.19,7.96,8.05,192900
2023-05-26,8.09,8.22,8.09,8.17,172200
