TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2024-12-09,47.2,48.6,47.1,47.9,7539444
2024-12-10,47.8,47.8,45.8,46.0,4915082
2024-12-11,45.95,46.75,45.2,46.6,4928411
2024-12-12,46.6,46.9,45.0,45.6,3331411
2024-12-13,45.35,45.75,44.1,45.0,3798079
2024-12-16,45.0,45.0,42.75,43.15,6091568
2024-12-17,43.05,44.4,42.85,44.0,4300621
2024-12-18,44.35,46.25,43.95,46.05,9779845
2024-12-19,46.15,46.95,45.2,45.65,6771599
2024-12-20,45.85,52.2,45.45,52.05,20787767
2024-12-23,54.0,54.45,51.05,52.5,16288335
2024-12-24,52.2,52.3,50.3,50.6,7486484
2024-12-25,50.55,52.1,49.65,50.8,11239986
2024-12-26,51.0,51.6,50.2,50.5,7005061
2024-12-27,50.45,50.7,45.75,46.35,38536229
2024-12-28,46.6,46.8,44.35,45.6,15367920
2024-12-30,46.25,47.3,45.8,46.9,10338689
2025-01-03,47.85,48.5,46.45,47.1,6553776
2025-01-06,46.95,47.5,46.25,47.25,4034219
2025-01-08,47.35,49.0,46.8,48.45,13697727
2025-01-09,48.4,49.0,46.45,46.75,6584831
2025-01-10,46.95,47.4,45.8,46.95,8696339
2025-01-13,47.65,48.3,46.9,47.05,9772957
2025-01-14,47.1,47.8,46.4,46.95,4076551
2025-01-15,46.95,47.95,46.35,47.8,5880739
2025-01-16,47.85,48.15,47.05,47.5,9431925
2025-01-17,47.4,49.9,47.15,48.85,17248918
2025-01-20,49.35,50.75,47.25,48.25,16847060
2025-01-21,48.15,48.45,47.35,48.1,4406913
2025-01-22,48.1,49.25,47.65,47.9,8985292
2025-01-23,47.9,48.2,47.15,48.1,4038746
2025-01-24,48.0,48.6,47.5,47.9,6603146
2025-01-27,48.05,48.15,47.2,47.5,3724967
2025-01-28,47.7,49.85,46.45,49.6,15525465
2025-01-29,49.55,49.75,48.5,48.85,7930671
2025-01-30,49.0,50.2,48.65,49.2,12261376
2025-01-31,49.3,49.55,47.45,48.05,9009205
2025-02-03,47.82,48.04,47.02,47.84,3721172
2025-02-04,47.9,48.36,47.2,47.58,2573256
2025-02-05,47.4,48.18,46.6,47.88,4336453
2025-02-06,47.94,48.8,47.5,47.74,4185257
2025-02-07,48.1,48.1,47.06,47.32,2972783
2025-02-10,48.0,48.06,46.7,46.92,4152102
2025-02-11,47.2,47.8,47.0,47.36,4687372
2025-02-12,47.56,49.48,47.28,48.8,21357777
2025-02-13,49.3,49.4,48.02,48.28,6511610
2025-02-14,48.8,49.68,47.44,48.0,10761702
2025-02-17,48.82,52.36,48.5,52.08,42419910
2025-02-18,51.3,51.3,47.42,49.38,14672953
2025-02-19,49.72,51.0,49.06,50.7,9024678
2025-02-20,50.98,52.26,49.7,50.04,12910719
2025-02-21,50.46,51.2,49.76,50.6,5156908
2025-02-24,51.12,52.0,50.58,51.78,8196531
2025-02-25,52.0,57.9,51.8,57.8,74126454
2025-02-26,57.8,61.38,55.0,55.4,64664232
2025-02-27,55.92,61.68,55.8,58.38,90447257
2025-02-28,58.84,61.4,58.1,59.5,61570754
2025-03-03,59.0,59.28,56.1,57.22,23187561
2025-03-04,58.22,60.36,57.5,58.32,26054929
2025-03-05,57.94,59.26,57.0,57.26,12652297
2025-03-06,57.48,58.04,55.08,56.5,9527475
2025-03-07,56.88,58.0,55.02,56.02,9718923
2025-03-10,56.36,56.86,55.4,55.72,4007523
2025-03-11,55.5,56.08,55.02,55.24,6490260
2025-03-12,55.2,55.76,53.5,53.62,7235340
2025-03-13,53.14,55.26,52.36,55.08,11895323
2025-03-14,54.6,56.24,53.9,55.74,9807008
2025-03-17,56.6,57.28,55.7,56.46,6742525
2025-03-18,56.64,56.74,54.88,55.48,7247082
2025-03-19,55.3,56.2,54.38,56.0,5063678
2025-03-20,56.96,56.96,54.52,55.44,5136514
2025-03-21,55.22,55.98,54.8,55.02,4153501
2025-03-24,55.02,55.44,53.2,53.48,3675412
2025-03-25,53.5,55.0,53.34,54.02,3540790
2025-03-26,54.1,54.5,52.68,52.98,3712191
2025-03-27,52.98,52.98,50.84,51.0,5728532
2025-03-28,50.16,51.4,49.06,49.24,6724232
2025-03-31,48.1,50.5,44.8,47.66,17642357
2025-04-01,47.34,49.38,46.42,46.82,9417717
2025-04-02,46.82,48.36,46.68,47.4,5346908
2025-04-03,47.6,49.14,45.66,46.78,9406139
2025-04-04,46.86,47.32,43.1,43.54,12713561
2025-04-07,43.14,43.38,39.44,42.06,12929199
2025-04-08,42.14,43.86,40.2,40.28,5398782
2025-04-09,40.6,42.74,37.1,42.74,14397390
2025-04-10,42.74,43.78,41.18,42.3,4685125
2025-04-11,42.36,43.88,41.98,43.58,7239098
2025-04-14,44.2,44.84,42.5,42.68,4079582
2025-04-15,42.8,43.5,42.5,43.2,1804237
2025-04-16,43.3,43.72,41.84,42.88,3663323
2025-04-17,42.8,43.6,42.8,43.34,3328023
2025-04-18,42.98,43.4,42.6,42.86,2117712
2025-04-21,42.9,43.78,42.72,43.6,2579202
2025-04-22,43.6,45.44,43.6,44.68,9546008
2025-04-23,44.68,45.06,43.1,43.82,4667365
2025-04-24,44.02,45.28,43.7,44.16,6686679
2025-04-25,44.16,45.5,43.9,44.86,6580735
2025-04-28,45.04,48.96,43.52,44.02,13045974
2025-04-29,44.12,44.5,41.5,42.08,5952277
