TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,29.0,32.3,28.3,30.05,339050
2023-01-04,30.1,30.7,29.2,30.0,80880
2023-01-05,29.8,32.45,29.8,30.7,115920
2023-01-06,31.0,31.3,30.25,30.5,55160
2023-01-09,30.4,32.95,30.4,31.5,188410
2023-01-10,31.1,31.7,30.3,30.6,68830
2023-01-11,30.55,31.3,30.0,30.8,47230
2023-01-12,30.15,31.3,30.15,31.25,24560
2023-01-13,31.1,31.25,30.65,31.1,17110
2023-01-16,31.25,32.25,31.0,31.7,68210
2023-01-17,31.6,32.2,31.0,31.05,45660
2023-01-18,31.15,33.4,31.05,32.0,182510
2023-01-19,31.55,32.85,30.35,31.6,177420
2023-01-20,31.65,31.65,30.55,31.0,66480
2023-01-23,31.0,31.95,31.0,31.45,22660
2023-01-24,31.9,33.3,31.05,31.2,148560
2023-01-25,31.45,31.55,30.6,31.0,22450
2023-01-26,31.8,31.8,31.0,31.3,19170
2023-01-27,31.3,31.3,30.55,30.95,61120
2023-01-30,30.9,31.55,30.65,31.25,61780
2023-01-31,31.4,31.5,30.8,31.0,47580
2023-02-01,31.0,31.45,30.75,31.25,90120
2023-02-02,34.35,38.45,34.35,35.3,1130410
2023-02-03,35.3,36.0,32.55,33.45,270500
2023-02-06,33.65,35.0,32.95,33.95,53060
2023-02-07,33.5,35.55,32.55,33.9,144440
2023-02-08,34.3,36.75,33.75,35.25,408860
2023-02-09,36.0,39.55,35.5,38.35,1453380
2023-02-10,39.25,41.85,36.0,39.95,981350
2023-02-13,41.0,41.0,37.75,40.55,212340
2023-02-14,40.55,43.5,40.0,41.5,768100
2023-02-15,41.1,41.1,38.2,40.0,277930
2023-02-16,40.0,41.6,39.1,39.7,57880
2023-02-17,40.45,40.45,39.2,39.2,46470
2023-02-20,39.7,40.5,38.3,38.9,167450
2023-02-21,38.9,39.35,37.75,38.35,116550
2023-02-22,38.35,38.7,37.95,38.15,24510
2023-02-24,38.65,39.0,38.0,38.35,17940
2023-02-27,37.25,38.7,34.5,37.75,174600
2023-02-28,37.75,38.3,37.5,37.9,40800
2023-03-01,37.9,39.35,36.55,38.15,104330
2023-03-02,38.15,40.0,37.25,38.05,107090
2023-03-03,38.1,39.9,37.2,38.55,99510
2023-03-06,38.55,38.9,37.75,38.8,30520
2023-03-07,39.2,39.3,38.25,38.6,34180
2023-03-09,38.45,39.2,38.3,38.3,23860
2023-03-10,38.35,38.8,37.5,38.0,47610
2023-03-13,37.5,38.75,37.5,37.9,18460
2023-03-14,38.05,38.3,37.6,38.15,12730
2023-03-15,37.8,38.2,37.25,37.7,13460
2023-03-16,37.7,38.05,37.5,37.7,5230
2023-03-17,38.1,38.1,37.5,37.55,9180
2023-03-20,37.6,38.0,37.05,37.4,119090
2023-03-21,37.4,38.5,37.15,37.9,53530
2023-03-22,37.75,38.0,37.4,37.6,25730
2023-03-23,37.85,38.0,37.6,37.7,13660
2023-03-24,37.7,41.65,37.7,39.2,513390
2023-03-27,40.5,40.5,38.5,38.8,42660
2023-03-28,39.0,41.45,38.65,39.7,196990
2023-03-29,39.75,39.95,38.25,38.85,143770
2023-03-30,38.85,40.65,38.45,39.05,104320
2023-03-31,39.1,40.75,39.0,39.6,53770
2023-04-03,40.3,41.5,39.4,40.15,229000
2023-04-04,40.85,40.85,39.9,40.0,111670
2023-04-05,40.6,43.0,40.0,41.2,288680
2023-04-06,42.0,44.1,41.3,41.6,228910
2023-04-07,41.55,41.9,41.15,41.8,50200
2023-04-10,41.8,44.5,41.8,43.55,116460
2023-04-11,43.6,46.0,40.0,41.4,327870
2023-04-12,41.4,43.95,41.4,42.45,108040
2023-04-13,42.15,43.25,40.65,41.8,84570
2023-04-14,41.8,42.65,41.55,42.35,34490
2023-04-17,43.0,47.3,42.55,45.0,506750
2023-04-18,45.0,52.1,42.25,48.7,934060
2023-04-19,49.9,60.0,47.9,53.4,1734580
2023-04-20,54.85,54.9,50.6,51.25,248570
2023-04-21,50.8,53.7,48.35,52.35,162540
2023-04-24,52.35,58.45,52.35,54.6,450720
2023-04-25,55.4,55.4,52.05,52.15,106520
2023-04-26,52.2,55.7,52.15,53.3,136430
2023-04-27,54.35,54.35,52.45,53.5,37010
2023-04-28,52.75,53.8,52.5,52.75,41150
2023-05-02,53.4,53.4,50.15,50.8,186570
2023-05-03,50.8,55.5,50.0,51.0,260210
2023-05-04,51.5,54.5,51.1,53.35,77720
2023-05-05,53.15,53.2,51.8,52.05,39480
2023-05-08,52.0,52.5,50.25,51.2,19190
2023-05-10,50.35,52.3,50.35,51.85,49780
2023-05-11,54.0,54.0,51.15,51.6,40640
