TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,596,601,581,601,135
2023-01-04,601,620,586,586,207
2023-01-05,591,595,577,584,96
2023-01-06,580,620,578,600,841
2023-01-09,597,612,588,604,191
2023-01-10,594,648,589,621,2695
2023-01-11,622,655,613,640,2535
2023-01-12,634,644,601,642,972
2023-01-13,638,660,633,655,673
2023-01-16,636,670,636,655,261
2023-01-17,648,656,617,643,708
2023-01-18,652,655,631,655,654
2023-01-19,645,655,620,655,705
2023-01-20,643,677,631,640,3157
2023-01-23,641,662,641,654,1186
2023-01-24,657,750,620,679,11593
2023-01-25,679,698,660,668,977
2023-01-26,668,721,657,686,3256
2023-01-27,681,700,660,697,1193
2023-01-30,699,719,684,707,1473
2023-01-31,709,711,687,698,365
2023-02-01,698,700,684,690,1386
2023-02-02,703,703,686,691,163
2023-02-03,689,700,666,700,1157
2023-02-06,685,708,670,701,332
2023-02-07,689,700,668,700,888
2023-02-08,698,719,687,702,977
2023-02-09,703,966,690,915,126215
2023-02-10,861,921,737,737,40320
2023-02-13,741,772,723,729,6523
2023-02-14,737,760,718,721,4400
2023-02-15,740,740,680,713,3150
2023-02-16,703,722,675,714,2459
2023-02-17,710,732,675,687,2488
2023-02-20,689,748,682,700,3986
2023-02-21,699,715,682,701,1794
2023-02-22,696,705,681,691,1510
2023-02-24,692,718,686,718,1152
2023-02-27,716,760,690,724,16034
2023-02-28,724,732,701,717,1087
2023-03-01,719,733,714,722,1515
2023-03-02,718,740,711,720,1595
2023-03-03,717,737,706,720,1699
2023-03-06,729,757,715,751,3915
2023-03-07,765,765,722,743,1924
2023-03-09,759,795,721,735,4966
2023-03-10,742,745,724,734,1333
2023-03-13,735,741,720,729,866
2023-03-14,728,731,720,726,407
2023-03-15,726,726,704,714,1516
2023-03-16,714,722,704,715,514
2023-03-17,709,723,704,714,818
2023-03-20,711,745,708,730,1445
2023-03-21,723,748,723,731,1578
2023-03-22,730,752,729,731,1366
2023-03-23,736,749,728,745,1284
2023-03-24,742,746,739,740,141
2023-03-27,746,750,721,744,2212
2023-03-28,744,752,725,744,1015
2023-03-29,743,755,743,750,847
2023-03-30,757,764,745,751,1340
2023-03-31,750,763,737,740,553
2023-04-03,745,793,745,754,4787
2023-04-04,755,769,745,749,955
2023-04-05,757,786,750,777,3732
2023-04-06,787,788,760,768,1074
2023-04-07,771,780,763,763,709
2023-04-10,771,773,760,772,719
2023-04-11,771,820,715,764,4880
2023-04-12,764,780,753,756,609
2023-04-13,756,760,748,756,298
2023-04-14,751,805,747,784,3411
2023-04-17,783,793,775,789,970
2023-04-18,777,805,772,777,867
2023-04-19,779,792,762,767,932
2023-04-20,769,769,746,758,1043
2023-04-21,754,773,754,770,498
2023-04-24,773,834,764,808,5503
2023-04-25,784,821,783,814,605
2023-04-26,819,830,805,810,772
2023-04-27,826,831,764,786,4720
2023-04-28,786,786,766,767,552
2023-05-02,766,818,761,769,2045
2023-05-03,765,770,741,741,742
2023-05-04,741,758,737,742,555
2023-05-05,742,797,741,741,2129
2023-05-08,746,757,739,754,108
2023-05-10,753,788,751,755,601
2023-05-11,760,794,760,770,795
2023-05-12,787,787,758,779,297
2023-05-15,777,777,762,771,1203
2023-05-16,778,778,750,765,1827
2023-05-17,765,765,751,762,242
2023-05-18,761,770,752,752,661
2023-05-19,751,770,751,754,515
2023-05-22,755,761,747,749,625
2023-05-23,750,757,750,757,58
2023-05-24,753,757,747,747,187
2023-05-25,749,752,738,742,441
2023-05-26,746,749,719,740,1375
2023-05-29,734,746,734,743,291
2023-05-30,743,745,721,728,651
2023-05-31,730,741,714,726,712
2023-06-01,725,726,701,714,1252
2023-06-02,713,722,698,719,1287
2023-06-05,722,756,718,725,1397
2023-06-06,736,736,701,710,572
2023-06-07,714,723,710,723,165
2023-06-08,723,729,720,726,256
2023-06-09,723,730,721,730,246
2023-06-13,729,733,727,730,495
2023-06-14,732,755,732,745,619
2023-06-15,746,752,735,746,439
2023-06-16,744,745,721,737,451
2023-06-19,737,749,710,733,645
2023-06-20,733,741,720,726,460
2023-06-21,730,764,724,741,4105
2023-06-22,768,768,734,739,514
2023-06-23,740,751,734,745,522
2023-06-26,745,749,726,731,505
2023-06-27,730,739,722,729,317
2023-06-28,733,734,720,730,266
2023-06-29,730,739,726,739,510
2023-06-30,732,764,732,739,356
2023-07-03,742,751,735,749,218
2023-07-04,741,823,735,798,12998
2023-07-05,809,809,760,770,2138
2023-07-06,777,793,751,781,1431
2023-07-07,765,793,752,770,945
2023-07-10,764,803,764,800,668
2023-07-11,800,803,777,787,340
2023-07-12,795,807,784,795,745
2023-07-13,799,904,799,827,61035
2023-07-14,827,833,800,811,4986
2023-07-17,810,825,800,818,3451
2023-07-18,818,821,798,813,3585
2023-07-19,813,820,787,819,4334
2023-07-20,819,819,796,802,2925
2023-07-21,800,814,789,809,1471
2023-07-24,813,813,793,808,1992
2023-07-25,808,812,805,809,1527
2023-07-26,812,814,800,800,738
2023-07-27,800,812,800,811,1098
2023-07-28,813,826,811,822,1124
2023-07-31,825,875,810,841,3246
2023-08-01,848,918,848,857,8480
2023-08-02,867,883,815,882,4937
2023-08-03,881,895,875,888,5519
2023-08-04,889,940,852,852,4256
2023-08-07,893,940,871,898,8455
2023-08-08,899,903,873,890,3375
2023-08-09,885,910,881,900,1977
2023-08-10,900,926,888,895,2079
2023-08-11,919,926,881,901,629
2023-08-14,912,925,890,903,2096
2023-08-15,903,928,871,914,1411
2023-08-16,911,939,890,895,4538
2023-08-17,928,960,901,953,3667
2023-08-18,954,984,927,937,1656
2023-08-21,950,971,929,959,1432
2023-08-22,963,963,947,951,305
2023-08-23,953,964,938,948,707
2023-08-24,943,950,921,948,1680
2023-08-25,948,948,936,946,280
2023-08-28,946,956,941,946,885
2023-08-29,946,971,941,956,601
2023-08-30,970,1060,965,1041,5989
2023-08-31,1059,1146,1001,1027,4272
2023-09-01,1030,1048,998,1011,1495
2023-09-04,1037,1051,1011,1022,1488
2023-09-05,1066,1299,1032,1172,22582
2023-09-06,1172,1203,1102,1195,4078
2023-09-07,1220,1237,1070,1113,4629
2023-09-08,1118,1177,1061,1088,985
2023-09-11,1088,1109,1065,1076,1374
2023-09-12,1076,1118,1076,1118,361
2023-09-13,1127,1222,1127,1164,2369
2023-09-14,1164,1198,1006,1095,2296
2023-09-15,1097,1178,1092,1121,1042
2023-09-18,1110,1182,1089,1158,2803
2023-09-19,1158,1178,1010,1121,4476
2023-09-20,1052,1110,955,1057,2484
2023-09-21,1081,1099,1007,1046,1398
2023-09-22,1030,1063,1022,1059,933
2023-09-25,1070,1111,1060,1100,1115
2023-09-26,1108,1108,1070,1095,350
2023-09-27,1076,1102,1062,1091,528
2023-09-28,1095,1099,1070,1099,290
2023-09-29,1091,1100,1068,1097,682
2023-10-02,1100,1100,1069,1098,357
2023-10-03,1086,1093,1068,1079,341
2023-10-04,1079,1091,1079,1079,161
2023-10-05,1089,1089,1036,1059,872
2023-10-06,1086,1086,1010,1076,1129
2023-10-09,1076,1096,1033,1080,734
2023-10-10,1095,1096,1030,1071,2276
2023-10-11,1079,1080,1041,1071,622
2023-10-12,1071,1080,1040,1080,968
2023-10-13,1079,1122,1043,1120,1609
2023-10-16,1120,1139,1076,1130,1316
2023-10-17,1125,1130,1084,1103,1863
2023-10-18,1105,1111,1087,1098,677
2023-10-19,1098,1167,1060,1064,2987
2023-10-20,1083,1287,1072,1224,12762
2023-10-23,1224,1236,1170,1193,2151
2023-10-24,1227,1303,1181,1251,6244
