TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,1249,1300,1232,1294,545
2023-01-04,1298,1300,1273,1275,191
2023-01-05,1268,1300,1265,1274,251
2023-01-06,1306,1311,1279,1298,484
2023-01-09,1295,1295,1265,1290,323
2023-01-10,1291,1355,1267,1319,1005
2023-01-11,1309,1360,1287,1322,431
2023-01-12,1332,1358,1316,1322,309
2023-01-13,1318,1354,1290,1334,643
2023-01-16,1294,1410,1294,1345,552
2023-01-17,1389,1400,1312,1364,397
2023-01-18,1393,1419,1341,1380,490
2023-01-19,1368,1395,1330,1347,545
2023-01-20,1351,1500,1340,1383,3876
2023-01-23,1409,1430,1361,1408,1112
2023-01-24,1408,1507,1380,1417,3431
2023-01-25,1385,1445,1384,1401,1034
2023-01-26,1410,1500,1388,1447,3108
2023-01-27,1460,1470,1396,1439,500
2023-01-30,1412,1498,1410,1465,626
2023-01-31,1462,1492,1433,1477,537
2023-02-01,1486,1510,1436,1483,1086
2023-02-02,1508,1508,1459,1465,677
2023-02-03,1485,1500,1460,1482,763
2023-02-06,1461,1495,1460,1491,316
2023-02-07,1493,1495,1473,1494,344
2023-02-08,1489,1550,1489,1545,2136
2023-02-09,1554,2153,1552,2153,14440
2023-02-10,2368,2780,1707,1771,26906
2023-02-13,1772,1907,1708,1840,2921
2023-02-14,1897,1900,1741,1769,1880
2023-02-15,1778,1826,1635,1750,1132
2023-02-16,1717,1773,1651,1766,1316
2023-02-17,1766,1766,1684,1704,290
2023-02-20,1705,1762,1665,1705,1125
2023-02-21,1692,1757,1677,1733,648
2023-02-22,1749,1756,1702,1725,322
2023-02-24,1743,1818,1716,1800,1066
2023-02-27,1800,2154,1800,1950,16458
2023-02-28,2027,2055,1840,1899,2387
2023-03-01,1914,1932,1902,1924,777
2023-03-02,1940,2030,1860,1915,1983
2023-03-03,1904,1979,1890,1934,2290
2023-03-06,1936,1937,1880,1931,1313
2023-03-07,1934,1945,1916,1945,349
2023-03-09,1974,1974,1903,1908,652
2023-03-10,1917,1917,1895,1905,271
2023-03-13,1920,1920,1850,1892,308
2023-03-14,1914,1914,1887,1889,220
2023-03-15,1886,1895,1882,1890,145
2023-03-16,1860,1924,1782,1845,714
2023-03-17,1852,1899,1852,1878,512
2023-03-20,1853,1897,1803,1890,505
2023-03-21,1908,1967,1830,1885,1457
2023-03-22,1885,1901,1830,1865,453
2023-03-23,1864,1907,1841,1870,452
2023-03-24,1852,1900,1850,1867,474
2023-03-27,1895,1898,1881,1886,281
2023-03-28,1885,1901,1880,1891,315
2023-03-29,1899,1910,1885,1885,284
2023-03-30,1886,1925,1870,1911,546
2023-03-31,1903,1911,1881,1896,371
2023-04-03,1898,2130,1850,1920,4340
2023-04-04,1941,1949,1878,1912,793
2023-04-05,1931,1948,1862,1909,1004
2023-04-06,1932,1934,1917,1929,491
2023-04-07,1928,1929,1875,1903,775
2023-04-10,1892,1927,1892,1900,358
2023-04-11,1909,1934,1876,1882,730
2023-04-12,1903,1914,1861,1883,450
2023-04-13,1876,1903,1844,1865,435
2023-04-14,1864,1920,1845,1902,728
2023-04-17,1876,1919,1861,1911,542
2023-04-18,1925,1948,1863,1890,432
2023-04-19,1907,1907,1870,1873,171
2023-04-20,1875,1886,1862,1883,153
2023-04-21,1900,1918,1871,1876,228
2023-04-24,1872,1940,1852,1908,624
2023-04-25,1908,1909,1872,1874,419
2023-04-26,1898,1931,1866,1896,426
2023-04-27,1896,1924,1870,1896,220
2023-04-28,1913,1913,1861,1869,249
2023-05-02,1861,1895,1833,1864,719
2023-05-03,1841,1856,1746,1818,665
2023-05-04,1775,1814,1701,1733,968
2023-05-05,1724,1785,1711,1736,635
2023-05-08,1727,1727,1707,1711,52
2023-05-10,1745,1760,1702,1735,536
2023-05-11,1768,1820,1713,1758,358
2023-05-12,1764,1766,1738,1739,48
2023-05-15,1774,1819,1735,1763,219
2023-05-16,1764,1764,1748,1753,126
2023-05-17,1748,1751,1729,1751,247
2023-05-18,1748,1840,1741,1774,528
2023-05-19,1754,1783,1752,1753,275
2023-05-22,1774,1774,1750,1765,194
2023-05-23,1772,1773,1722,1747,214
2023-05-24,1736,1754,1728,1754,53
2023-05-25,1754,1763,1747,1761,60
2023-05-26,1768,1770,1744,1749,157
2023-05-29,1743,1775,1743,1764,208
2023-05-30,1749,1758,1730,1733,205
2023-05-31,1728,1745,1710,1725,114
2023-06-01,1729,1741,1727,1740,58
2023-06-02,1736,1739,1731,1739,52
2023-06-05,1738,1888,1738,1820,1407
2023-06-06,1757,1823,1757,1821,193
2023-06-07,1821,1845,1820,1841,58
2023-06-08,1846,1850,1796,1815,92
2023-06-09,1858,1858,1799,1825,52
2023-06-13,1831,1857,1831,1842,238
2023-06-14,1800,1837,1799,1821,134
2023-06-15,1826,1956,1816,1928,811
2023-06-16,1928,1928,1858,1885,341
2023-06-19,1884,1884,1855,1872,74
2023-06-20,1869,1876,1820,1849,166
2023-06-21,1843,1899,1824,1860,1263
2023-06-22,1897,1912,1830,1850,578
2023-06-23,1891,1891,1826,1842,167
2023-06-26,1834,1840,1815,1821,94
2023-06-27,1815,1828,1815,1815,58
2023-06-28,1804,1848,1750,1840,221
2023-06-29,1810,1831,1810,1829,50
2023-06-30,1829,1829,1819,1819,26
2023-07-03,1830,1863,1791,1815,352
2023-07-04,1815,2088,1761,1989,10598
2023-07-05,1998,1998,1844,1863,6181
2023-07-06,1900,1926,1850,1860,1242
2023-07-07,1900,1914,1845,1900,1624
2023-07-10,1881,1998,1851,1947,1138
2023-07-11,1890,1931,1875,1910,618
2023-07-12,1896,1949,1865,1934,665
2023-07-13,2000,2476,1945,2260,32799
2023-07-14,2390,2390,2170,2204,2895
2023-07-17,2204,2313,2129,2161,1282
2023-07-18,2140,2189,2010,2135,4213
2023-07-19,2137,2137,2100,2129,996
2023-07-20,2139,2175,2121,2132,1005
2023-07-21,2172,2208,2101,2170,1086
2023-07-24,2179,2219,2146,2190,783
2023-07-25,2187,2188,2155,2187,382
2023-07-26,2298,2298,2165,2209,1839
2023-07-27,2199,2247,2167,2199,659
2023-07-28,2231,2231,2140,2177,571
2023-07-31,2178,2220,2140,2158,1373
2023-08-01,2158,2260,2155,2165,1691
2023-08-02,2187,2187,2114,2162,689
2023-08-03,2164,2208,2141,2193,1002
2023-08-04,2195,2244,2141,2142,1348
2023-08-07,2199,2217,2143,2176,1332
2023-08-08,2177,2180,2090,2162,670
2023-08-09,2142,2170,2090,2162,513
2023-08-10,2162,2200,2121,2143,517
2023-08-11,2141,2222,2141,2215,1219
2023-08-14,2221,2330,2206,2207,2510
2023-08-15,2205,2297,2140,2286,1539
2023-08-16,2296,2350,2200,2226,3876
2023-08-17,2227,2500,2226,2500,4493
2023-08-18,2515,2675,2350,2445,3535
2023-08-21,2535,2536,2395,2461,917
2023-08-22,2430,2485,2350,2400,1405
2023-08-23,2414,2460,2200,2333,2076
2023-08-24,2343,2347,2163,2299,1096
2023-08-25,2321,2348,2230,2303,692
2023-08-28,2242,2379,2242,2379,951
2023-08-29,2380,2500,2359,2500,2486
2023-08-30,2530,2648,2450,2626,3510
2023-08-31,2652,2750,2499,2630,2573
2023-09-01,2682,2682,2545,2589,680
2023-09-04,2626,2626,2501,2621,1388
2023-09-05,2697,3062,2639,2800,12857
2023-09-06,2855,2983,2754,2798,2233
2023-09-07,2798,2948,2684,2730,2405
2023-09-08,2746,2746,2617,2733,778
2023-09-11,2726,2741,2640,2641,572
2023-09-12,2648,2670,2510,2670,580
2023-09-13,2670,2784,2630,2764,756
2023-09-14,2765,2765,2300,2490,1906
2023-09-15,2658,2660,2413,2553,1608
2023-09-18,2658,2884,2489,2617,2010
2023-09-19,2713,2713,2533,2569,433
2023-09-20,2538,2538,2201,2500,1313
2023-09-21,2563,2745,2470,2570,1320
2023-09-22,2570,2630,2420,2629,458
2023-09-25,2630,2768,2600,2710,1092
2023-09-26,2753,2753,2580,2620,502
2023-09-27,2693,2693,2528,2583,296
2023-09-28,2654,2654,2580,2611,255
2023-09-29,2551,2647,2551,2599,112
2023-10-02,2655,2715,2596,2689,817
2023-10-03,2720,2720,2601,2614,321
2023-10-04,2615,2647,2490,2627,358
2023-10-05,2637,2637,2465,2509,584
2023-10-06,2519,2520,2502,2516,131
2023-10-09,2518,2550,2401,2498,915
2023-10-10,2488,2504,2405,2492,414
2023-10-11,2495,2499,2400,2492,578
2023-10-12,2492,2492,2275,2398,1551
2023-10-13,2400,2430,2351,2388,624
2023-10-16,2400,2500,2341,2460,2002
2023-10-17,2470,2482,2433,2470,584
2023-10-18,2473,2494,2409,2424,677
2023-10-19,2441,2695,2414,2448,3363
2023-10-20,2433,2700,2400,2539,4984
2023-10-23,2565,2589,2444,2525,1645
2023-10-24,2564,2629,2485,2511,2295
2023-10-25,2547,2597,2410,2495,1311
2023-10-26,2511,2534,2410,2469,1460
2023-10-27,2445,2499,2410,2441,333
2023-10-30,2446,2446,2357,2430,1034
2023-10-31,2414,2434,2354,2401,392
2023-11-01,2408,2430,2360,2386,361
2023-11-02,2390,2408,2388,2398,115
2023-11-03,2396,2406,2388,2392,36
2023-11-06,2392,2400,2372,2390,119
2023-11-07,2390,2474,2378,2432,269
2023-11-08,2434,2472,2300,2390,344
2023-11-09,2406,2440,2322,2362,1194
2023-11-10,2354,2362,2250,2310,882
2023-11-13,2314,2316,2250,2290,662
2023-11-14,2272,2292,2014,2078,1711
2023-11-15,2128,2188,2000,2160,714
2023-11-16,2186,2300,2182,2280,960
2023-11-17,2290,2292,2160,2208,354
2023-11-20,2192,2210,2186,2208,16
2023-11-21,2190,2220,2188,2218,161
2023-11-22,2220,2270,2186,2238,109
2023-11-23,2240,2290,2204,2230,437
2023-11-24,2214,2226,2184,2198,376
2023-11-27,2198,2198,2080,2080,186
2023-11-28,2122,2136,2106,2136,86
2023-11-29,2140,2142,2120,2142,80
2023-11-30,2132,2150,2082,2126,90
2023-12-01,2126,2148,2108,2110,62
2023-12-04,2116,2116,2024,2024,131
2023-12-05,2028,2052,1968,2032,608
2023-12-06,2016,2050,2012,2050,85
2023-12-07,2026,2026,1950,1960,256
2023-12-08,1980,2006,1962,2000,151
2023-12-11,1984,2004,1906,1966,318
2023-12-12,1954,1960,1934,1958,201
2023-12-13,1940,2020,1940,2020,164
2023-12-14,2022,2048,2014,2030,128
2023-12-15,2006,2006,1902,2000,617
2023-12-18,1990,2400,1988,2234,2076
2023-12-19,2298,2350,2120,2120,765
2023-12-20,2154,2316,2120,2198,1019
2023-12-21,2200,2316,2194,2298,804
2023-12-22,2296,2314,2230,2256,245
2023-12-25,2248,2314,2158,2220,699
2023-12-26,2202,2284,2110,2150,394
2023-12-27,2150,2150,2042,2110,1099
2023-12-28,2144,2308,2070,2100,2500
2023-12-29,2108,2240,2108,2180,1228
2024-01-03,2178,2200,2110,2186,218
2024-01-04,2186,2210,2166,2210,213
2024-01-05,2300,2300,2212,2238,126
2024-01-08,2222,2270,2220,2254,249
2024-01-09,2246,2260,2224,2242,204
2024-01-10,2236,2296,2232,2276,248
2024-01-11,2290,2296,2244,2296,342
2024-01-12,2300,2376,2246,2310,1107
2024-01-15,2362,2362,2266,2304,723
2024-01-16,2298,2324,2230,2290,418
2024-01-17,2260,2346,2242,2290,334
2024-01-18,2320,2648,2306,2498,5229
2024-01-19,2504,2600,2400,2494,2131
2024-01-22,2496,2516,2402,2466,667
2024-01-23,2438,2530,2430,2440,601
2024-01-24,2470,2480,2440,2440,163
2024-01-25,2448,2462,2360,2432,630
2024-01-26,2432,2518,2422,2446,387
2024-01-29,2456,2474,2348,2406,431
2024-01-30,2386,2410,2384,2410,65
2024-01-31,2418,2422,2324,2364,530
2024-02-01,2384,2418,2372,2382,132
2024-02-02,2388,2418,2368,2406,321
2024-02-05,2402,2482,2374,2442,684
