TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,438.2,454.6,435.8,446.8,323261
2023-01-04,448.0,459.4,442.6,451.2,343396
2023-01-05,453.0,456.4,450.0,450.6,279754
2023-01-06,450.6,451.0,442.4,446.6,154080
2023-01-09,449.0,453.4,446.6,451.0,190471
2023-01-10,451.0,451.0,445.8,449.8,174875
2023-01-11,451.0,466.0,450.0,462.8,846597
2023-01-12,463.2,472.0,457.0,469.4,469920
2023-01-13,469.8,476.4,466.0,473.4,563920
2023-01-16,479.8,491.8,476.4,489.8,947086
2023-01-17,490.6,492.0,471.0,474.2,941143
2023-01-18,477.4,483.2,465.0,476.8,594338
2023-01-19,475.0,480.0,466.8,467.6,382928
2023-01-20,469.6,472.2,461.0,468.2,273058
2023-01-23,469.8,482.8,469.0,482.0,584566
2023-01-24,484.6,484.8,473.0,474.4,465777
2023-01-25,472.6,478.4,471.0,478.4,296567
2023-01-26,479.0,480.0,474.0,476.2,163569
2023-01-27,476.2,480.0,468.2,475.0,332040
2023-01-30,478.0,483.2,474.2,482.2,412951
2023-01-31,483.8,492.6,482.2,488.2,942880
2023-02-01,490.6,497.0,480.2,488.8,935261
2023-02-02,495.8,501.0,486.6,492.0,616337
2023-02-03,491.8,491.8,481.6,485.2,343044
2023-02-06,485.4,495.0,485.4,493.4,355298
2023-02-07,493.4,499.4,487.2,490.8,467989
2023-02-08,491.6,491.8,480.8,487.6,419041
2023-02-09,485.6,487.6,476.0,482.0,363354
2023-02-10,480.0,482.2,478.2,481.0,170625
2023-02-13,484.0,490.8,481.2,482.4,382458
2023-02-14,482.4,505.0,482.4,485.6,2532687
2023-02-15,482.2,483.4,451.0,460.0,2308346
2023-02-16,462.0,468.8,452.0,456.4,747951
2023-02-17,455.0,461.0,451.2,456.4,443092
2023-02-20,460.2,460.6,446.0,456.4,583435
2023-02-21,460.0,479.8,457.2,468.2,941553
2023-02-22,470.0,470.4,463.2,465.4,232083
2023-02-24,465.0,473.6,464.4,473.4,413350
2023-02-27,460.0,479.4,452.2,476.6,835540
2023-02-28,479.6,482.2,471.0,475.6,496804
2023-03-01,479.0,490.8,476.0,487.2,1283825
2023-03-02,489.0,489.0,468.0,475.2,843048
2023-03-03,475.6,481.8,475.6,479.8,315932
2023-03-06,483.6,490.0,482.2,489.8,353196
2023-03-07,491.0,492.8,483.2,486.8,288854
2023-03-09,486.6,489.6,479.0,488.6,448638
2023-03-10,486.0,487.8,481.8,485.6,313732
2023-03-13,485.6,502.2,485.6,497.8,1172578
2023-03-14,499.6,514.0,498.0,507.2,1396891
2023-03-15,508.0,512.0,497.6,501.2,1091579
2023-03-16,502.4,507.2,477.4,485.2,1908890
2023-03-17,486.0,490.4,479.2,482.4,726875
2023-03-20,482.0,485.8,475.0,484.2,747962
2023-03-21,484.8,488.0,476.0,480.6,602531
2023-03-22,480.0,481.0,475.2,478.0,260841
2023-03-23,478.0,480.4,477.2,478.0,118367
2023-03-24,480.0,480.0,477.4,478.8,175567
2023-03-27,479.4,486.0,479.0,485.6,414088
2023-03-28,489.0,491.6,480.2,483.2,531936
2023-03-29,485.0,485.6,480.2,483.4,328549
2023-03-30,483.4,487.6,481.2,485.6,300522
2023-03-31,487.0,487.4,477.0,480.8,542396
2023-04-03,482.0,485.2,476.4,481.6,339958
2023-04-04,481.8,482.2,468.0,471.4,1186039
2023-04-05,473.6,473.6,463.4,467.8,766026
2023-04-06,471.0,471.0,461.6,464.0,777783
2023-04-07,463.6,465.4,459.0,461.2,833692
2023-04-10,461.6,478.8,461.0,478.6,1486565
2023-04-11,480.0,484.0,463.0,467.0,1690649
2023-04-12,468.0,480.0,465.2,474.4,828416
2023-04-13,475.0,477.6,467.6,470.6,342225
2023-04-14,471.0,471.6,467.2,471.6,247233
2023-04-17,475.0,477.8,471.0,476.4,454761
2023-04-18,479.6,485.6,474.0,484.6,1165664
2023-04-19,486.0,486.6,446.0,471.6,1293105
2023-04-20,474.6,480.8,466.2,479.6,740281
2023-04-21,480.4,484.0,477.6,480.6,722214
2023-04-24,480.6,485.8,475.0,478.8,578728
2023-04-25,480.0,480.8,476.0,478.6,332490
2023-04-26,478.6,493.4,477.0,487.6,1741118
2023-04-27,490.0,501.8,486.0,501.8,2435254
2023-04-28,503.2,506.4,490.8,496.6,1226707
2023-05-02,497.0,504.2,476.0,484.2,1189250
2023-05-03,484.4,485.6,462.8,462.8,1072678
2023-05-04,464.0,475.8,464.0,472.2,427376
2023-05-05,473.8,489.2,470.0,474.6,1850896
2023-05-08,477.4,481.2,465.2,467.0,298762
2023-05-10,470.6,489.8,470.6,488.4,1136575
2023-05-11,490.6,494.6,467.0,479.0,1387693
2023-05-12,482.0,488.0,475.2,486.2,644278
2023-05-15,492.2,516.8,490.4,516.6,4168184
2023-05-16,518.4,518.6,507.2,512.4,1448810
2023-05-17,512.8,514.8,505.2,512.0,717884
2023-05-18,513.0,518.0,507.8,509.6,1120180
2023-05-19,509.6,544.4,507.2,540.4,4427104
2023-05-22,548.2,553.0,522.8,534.8,2349140
2023-05-23,539.2,540.4,523.4,532.4,918663
2023-05-24,535.0,546.6,528.0,543.0,1234165
2023-05-25,544.2,544.8,526.4,541.6,1108394
2023-05-26,541.6,561.4,537.2,559.4,2518731
