TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,61.6,61.6,59.8,61.0,2700
2023-01-04,60.0,60.8,59.6,60.4,8960
2023-01-05,60.6,62.2,59.6,60.0,8070
2023-01-06,60.6,61.0,60.2,61.0,3200
2023-01-09,61.4,62.2,60.4,61.2,3970
2023-01-10,61.6,64.2,60.4,63.6,25080
2023-01-11,64.2,84.0,62.4,73.8,923730
2023-01-12,74.6,74.6,66.0,68.2,77910
2023-01-13,71.0,71.0,66.4,68.6,14310
2023-01-16,69.0,70.8,67.0,69.6,9840
2023-01-17,70.0,70.0,67.4,69.0,3650
2023-01-18,69.2,75.8,68.4,69.6,39790
2023-01-19,69.6,70.6,67.4,68.0,5240
2023-01-20,68.2,69.8,68.0,68.6,4010
2023-01-23,68.4,70.8,68.4,69.6,3900
2023-01-24,70.2,71.8,68.0,70.2,18910
2023-01-25,70.4,70.4,68.6,69.4,3660
2023-01-26,69.6,69.6,68.4,68.8,3250
2023-01-27,69.4,69.4,67.2,68.8,2690
2023-01-30,68.4,71.6,68.4,69.4,12030
2023-01-31,69.6,76.2,68.8,71.0,41450
2023-02-01,71.2,71.2,65.2,69.6,22170
2023-02-02,69.4,70.8,69.2,69.8,3620
2023-02-03,69.8,69.8,69.0,69.8,1570
2023-02-06,69.2,70.8,68.2,70.4,2990
2023-02-07,70.4,73.8,69.8,71.0,5730
2023-02-08,73.8,74.0,70.2,71.6,5920
2023-02-09,71.6,85.0,71.6,73.0,220530
2023-02-10,73.2,76.0,72.2,73.0,9020
2023-02-13,73.0,75.6,72.8,73.4,8880
2023-02-14,74.0,79.8,72.4,73.6,87750
2023-02-15,74.8,87.6,70.8,72.2,599230
2023-02-16,72.6,74.8,71.0,73.0,44380
2023-02-17,72.0,83.0,71.0,73.2,173880
2023-02-20,73.2,81.0,72.0,73.8,91450
2023-02-21,74.4,76.0,72.0,74.4,18780
2023-02-22,75.4,75.6,73.2,74.8,4430
2023-02-24,75.8,76.0,74.0,74.2,14650
2023-02-27,74.8,75.8,72.0,75.0,27000
2023-02-28,74.6,78.8,73.4,77.8,64540
2023-03-01,78.8,80.0,76.0,78.8,10860
2023-03-02,78.8,80.0,77.8,78.2,38160
2023-03-03,78.4,79.8,78.0,79.2,5500
2023-03-06,79.4,81.0,78.4,79.0,4040
2023-03-07,80.0,81.0,77.6,78.8,17090
2023-03-09,78.8,84.6,78.0,80.6,48420
2023-03-10,81.6,82.4,79.0,81.4,17010
2023-03-13,81.6,82.4,79.8,82.2,16140
2023-03-14,82.2,83.2,81.4,83.2,10350
2023-03-15,83.8,83.8,81.6,81.8,6370
2023-03-16,81.6,83.6,79.4,81.0,6800
2023-03-17,81.4,82.4,78.0,80.8,7640
2023-03-20,81.2,82.4,80.6,81.4,2280
2023-03-21,82.0,83.8,81.4,83.0,4110
2023-03-22,83.0,83.0,80.4,82.6,4500
2023-03-23,85.0,85.0,80.6,82.8,8060
2023-03-24,82.0,83.4,81.0,83.0,5660
2023-03-27,83.2,84.0,82.8,84.0,1860
2023-03-28,84.2,85.2,83.2,85.2,3910
2023-03-29,84.8,85.2,83.2,84.6,3040
2023-03-30,84.4,85.4,83.4,84.8,5900
2023-03-31,84.0,85.0,83.4,84.4,1900
2023-04-03,83.4,86.0,83.4,85.4,3290
2023-04-04,85.2,90.8,84.6,89.8,47750
2023-04-05,89.2,92.0,86.2,90.8,34420
2023-04-06,92.6,126.2,91.0,123.8,342670
2023-04-07,123.6,123.6,96.8,101.6,387950
2023-04-10,102.0,102.6,97.2,100.6,110560
2023-04-11,100.6,101.8,97.0,98.2,35930
2023-04-12,99.4,104.4,98.2,99.6,62120
2023-04-13,100.2,103.6,98.8,99.8,21270
2023-04-14,99.4,100.2,98.0,99.2,16670
2023-04-17,100.0,100.0,98.0,99.6,13880
2023-04-18,100.0,102.2,99.0,99.6,28400
2023-04-19,99.8,100.0,98.2,98.6,13140
2023-04-20,98.8,99.6,98.6,99.4,5140
2023-04-21,97.2,100.0,97.2,99.4,12590
2023-04-24,99.4,103.2,97.4,100.6,36120
2023-04-25,101.6,110.0,98.6,104.2,110110
2023-04-26,105.0,106.4,102.0,105.4,56570
2023-04-27,107.0,107.6,101.0,103.8,18900
2023-04-28,104.0,106.0,98.2,102.4,29460
2023-05-02,102.2,109.4,96.8,100.0,57020
2023-05-03,100.8,104.6,91.2,97.2,20310
2023-05-04,98.0,101.2,95.8,100.0,19380
2023-05-05,100.2,101.4,97.4,99.2,5970
2023-05-08,97.4,100.0,97.4,98.8,2920
2023-05-10,102.0,104.0,99.6,103.0,22380
2023-05-11,104.6,105.8,101.8,102.8,26160
2023-05-12,102.8,103.8,102.0,102.8,3370
2023-05-15,103.8,103.8,100.2,101.8,11140
2023-05-16,101.2,103.2,96.0,101.4,18710
2023-05-17,102.8,103.8,101.0,101.4,18870
2023-05-18,103.0,103.6,99.4,100.0,38540
2023-05-19,96.0,101.8,93.0,99.0,18570
2023-05-22,98.2,111.8,98.2,98.2,278720
2023-05-23,101.6,104.0,97.4,100.0,30520
2023-05-24,100.0,102.0,95.0,98.2,17550
2023-05-25,100.0,101.0,90.2,95.8,34930
2023-05-26,95.0,98.2,92.6,97.8,16020
2023-05-29,97.8,99.4,95.0,97.4,7920
2023-05-30,96.8,97.8,95.0,96.4,10040
2023-05-31,97.0,98.4,95.6,96.4,4570
2023-06-01,96.4,99.8,96.0,98.2,7550
2023-06-02,98.0,98.2,97.2,98.0,3060
2023-06-05,99.4,99.4,95.0,96.0,8720
2023-06-06,95.6,96.4,95.0,96.4,1920
2023-06-07,96.6,99.8,95.2,96.8,6380
2023-06-08,96.4,96.6,95.0,96.6,2500
2023-06-09,96.8,97.0,95.2,96.2,3680
2023-06-13,96.6,99.8,95.2,97.8,7410
2023-06-14,97.6,98.0,95.2,97.4,10220
2023-06-15,97.8,99.0,97.2,98.2,7180
2023-06-16,98.4,100.0,96.6,99.0,10020
2023-06-19,99.6,100.0,99.0,99.4,7650
2023-06-20,103.6,103.6,97.2,98.6,18140
2023-06-21,98.4,103.0,98.0,102.8,27340
2023-06-22,102.8,103.2,100.8,101.4,3680
2023-06-23,100.8,104.8,99.2,100.8,21040
2023-06-26,99.6,101.2,97.6,100.6,11590
2023-06-27,100.4,102.6,99.8,100.8,5100
2023-06-28,100.4,101.4,99.8,100.4,4770
2023-06-29,100.6,102.2,100.6,101.2,3660
2023-06-30,101.8,103.8,99.4,101.8,12690
2023-07-03,103.2,105.8,100.6,100.6,17410
2023-07-04,102.4,102.4,99.4,100.6,8240
2023-07-05,100.4,101.6,100.0,100.2,4320
2023-07-06,99.6,102.6,99.6,101.0,3720
2023-07-07,102.0,105.0,101.6,105.0,20260
2023-07-10,105.4,106.8,102.8,104.6,11830
2023-07-11,103.4,104.4,102.8,103.4,4840
2023-07-12,104.2,104.2,102.2,103.6,4190
2023-07-13,103.0,103.8,102.0,103.0,2360
2023-07-14,103.6,105.0,103.2,105.0,5830
2023-07-17,105.4,109.8,104.0,105.0,20180
2023-07-18,111.0,111.0,104.2,111.0,101690
2023-07-19,115.6,138.0,111.8,116.4,662610
2023-07-20,119.6,120.0,108.6,115.2,68550
2023-07-21,115.0,118.8,113.0,116.6,19810
2023-07-24,114.2,126.2,113.4,122.4,36670
2023-07-25,124.2,126.0,122.2,124.4,22110
2023-07-26,126.0,127.6,123.4,126.0,31360
2023-07-27,127.2,128.2,124.8,128.2,13130
2023-07-28,128.8,132.4,125.0,127.4,38440
2023-07-31,133.2,169.2,133.2,157.2,437540
2023-08-01,162.2,165.6,148.0,164.0,139570
2023-08-02,168.6,187.6,161.8,177.6,92040
2023-08-03,179.6,235.0,179.2,229.6,186600
2023-08-04,230.2,314.6,221.6,298.6,245860
2023-08-07,326.0,409.4,316.6,409.4,167470
2023-08-08,450.0,450.0,333.0,432.0,145740
2023-08-09,444.0,445.0,410.4,428.6,127000
2023-08-10,430.8,431.6,278.0,322.8,168630
2023-08-11,322.8,337.4,265.2,328.4,36890
2023-08-14,335.0,335.0,314.4,333.0,21210
2023-08-15,333.6,333.6,300.2,311.8,18210
2023-08-16,321.8,342.6,269.0,290.0,69870
2023-08-17,308.0,320.8,289.2,301.6,33860
2023-08-18,301.6,320.0,293.6,313.6,12100
2023-08-21,319.8,324.8,313.6,320.0,45300
2023-08-22,339.8,366.0,324.2,366.0,140430
2023-08-23,367.2,368.4,313.6,344.6,66780
2023-08-24,345.0,348.2,315.0,330.0,33910
2023-08-25,340.0,340.0,327.0,332.8,10610
2023-08-28,337.6,348.0,330.2,344.0,34050
2023-08-29,347.8,347.8,325.0,336.6,18410
2023-08-30,335.8,347.4,330.2,332.2,14350
2023-08-31,332.4,338.6,331.0,333.0,18140
2023-09-01,337.0,337.0,326.0,330.8,10930
2023-09-04,331.2,334.2,326.4,332.0,18690
2023-09-05,334.6,336.0,326.2,332.6,11800
2023-09-06,337.0,337.0,329.6,334.8,7460
2023-09-07,334.8,352.8,301.0,314.4,56050
2023-09-08,314.2,315.0,290.0,306.6,11590
2023-09-11,307.8,315.0,303.2,310.4,7110
2023-09-12,314.0,320.0,305.0,308.8,9700
2023-09-13,311.8,315.0,297.6,301.4,17440
2023-09-14,298.4,298.4,230.2,264.2,24890
2023-09-15,242.4,317.2,242.4,294.0,29280
2023-09-18,300.6,304.0,290.0,290.0,12710
2023-09-19,296.4,296.4,255.2,266.6,16710
2023-09-20,265.6,279.0,235.2,257.6,20890
2023-09-21,269.4,269.4,246.4,246.4,7520
2023-09-22,240.4,260.6,240.4,248.4,4710
2023-09-25,248.0,265.2,242.2,258.0,6800
2023-09-26,262.6,264.8,250.8,253.8,7110
2023-09-27,253.8,263.2,253.8,260.2,5740
2023-09-28,260.0,270.0,257.2,260.4,7110
2023-09-29,263.2,263.2,240.2,250.2,17970
2023-10-02,248.4,255.0,248.4,254.8,7990
2023-10-03,252.2,256.6,251.8,255.8,7110
2023-10-04,259.6,279.2,259.6,263.2,15790
2023-10-05,263.8,279.0,263.6,276.6,9490
2023-10-06,283.8,287.4,272.6,281.8,6540
2023-10-09,282.4,290.0,275.8,278.8,6450
2023-10-10,279.8,281.6,265.2,275.0,7630
2023-10-11,274.8,296.0,269.2,295.0,18850
2023-10-12,294.2,294.2,281.6,288.2,23620
2023-10-13,282.6,292.4,281.0,286.4,5860
2023-10-16,287.0,299.8,286.2,294.0,6050
2023-10-17,292.2,307.0,292.2,303.0,10810
2023-10-18,306.8,316.8,300.2,310.0,26900
2023-10-19,312.4,314.8,303.0,303.8,3420
2023-10-20,306.4,306.4,266.0,275.0,9270
2023-10-23,276.8,290.6,276.8,289.8,9170
2023-10-24,288.0,294.4,279.4,291.8,3110
2023-10-25,289.6,298.4,282.2,289.8,3790
2023-10-26,289.8,295.0,278.2,280.6,2990
2023-10-27,281.0,298.6,267.8,279.6,28110
2023-10-30,290.0,297.8,270.0,276.0,25940
2023-10-31,270.4,276.8,256.4,260.8,20130
2023-11-01,261.0,261.4,250.2,259.4,13620
2023-11-02,256.8,272.4,250.0,260.4,16980
2023-11-03,266.2,267.4,251.4,254.2,4190
2023-11-06,255.0,262.0,255.0,257.8,4820
2023-11-07,257.8,263.8,257.8,259.8,3350
2023-11-08,261.8,262.8,252.0,254.6,3070
2023-11-09,255.0,259.6,253.2,256.0,1220
2023-11-10,255.6,255.8,229.4,238.2,16510
2023-11-13,238.2,245.6,210.2,215.0,27730
2023-11-14,215.0,240.0,200.2,203.6,16440
2023-11-15,208.8,239.0,199.8,223.2,13860
2023-11-16,236.2,259.8,218.0,242.4,27020
2023-11-17,242.4,255.0,231.8,233.2,6180
2023-11-20,237.4,237.4,215.6,225.6,5690
2023-11-21,223.4,230.0,209.0,216.0,8360
2023-11-22,216.0,225.8,213.0,222.2,6040
2023-11-23,220.4,221.0,186.2,193.8,29860
2023-11-24,182.4,187.0,152.0,167.0,105450
2023-11-27,167.0,167.0,141.2,141.2,46980
2023-11-28,145.0,167.0,138.6,156.0,50120
2023-11-29,165.0,190.0,161.0,179.8,100500
2023-11-30,178.8,179.8,155.0,158.4,30020
2023-12-01,158.6,167.2,157.2,157.4,14120
2023-12-04,159.6,164.4,148.0,150.2,13310
2023-12-05,150.0,150.2,136.4,147.0,13920
2023-12-06,149.0,154.0,135.2,139.2,20640
2023-12-07,141.0,149.2,132.8,136.6,24070
2023-12-08,136.6,143.8,136.6,140.4,13260
2023-12-11,138.4,140.0,132.2,132.2,12530
2023-12-12,132.6,137.8,129.8,131.8,13340
2023-12-13,130.0,137.2,125.0,134.8,17070
2023-12-14,134.6,146.0,134.6,137.0,13570
2023-12-15,140.0,143.6,135.2,137.8,6400
2023-12-18,140.2,149.6,137.2,141.8,11950
2023-12-19,143.2,148.6,143.2,147.4,9720
