TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,145.8,145.8,137.0,140.8,28210
2023-01-04,140.8,142.8,140.0,141.6,12650
2023-01-05,141.0,154.4,141.0,144.0,48750
2023-01-06,144.2,151.0,144.2,146.6,30580
2023-01-09,149.0,158.6,144.6,151.8,109900
2023-01-10,151.8,171.0,150.4,169.2,264480
2023-01-11,169.8,235.6,169.8,235.6,1424720
2023-01-12,223.0,227.8,191.0,197.0,411610
2023-01-13,203.8,207.6,192.2,195.0,66430
2023-01-16,199.8,204.8,194.2,197.8,49400
2023-01-17,202.8,202.8,186.4,187.6,50170
2023-01-18,189.4,222.0,187.8,198.0,444770
2023-01-19,199.6,204.2,186.2,189.6,52010
2023-01-20,189.4,195.0,185.2,191.4,36770
2023-01-23,191.6,204.0,187.4,194.0,58340
2023-01-24,197.0,212.0,191.0,199.8,280490
2023-01-25,201.6,206.0,195.0,198.0,29660
2023-01-26,198.6,198.6,189.0,194.0,27230
2023-01-27,197.4,201.0,190.0,193.0,36510
2023-01-30,194.0,202.0,191.8,194.6,68260
2023-01-31,197.0,233.8,194.8,202.8,570270
2023-02-01,205.0,205.0,197.0,198.8,37700
2023-02-02,199.0,215.0,195.0,200.0,87650
2023-02-03,201.4,205.8,198.0,200.6,44620
2023-02-06,200.0,204.6,194.6,202.0,23620
2023-02-07,202.4,207.0,200.0,202.8,40310
2023-02-08,202.8,205.4,198.8,203.2,57820
2023-02-09,206.0,272.6,203.4,220.6,1550940
2023-02-10,220.8,220.8,205.0,211.2,87930
2023-02-13,214.4,216.4,209.6,211.6,27430
2023-02-14,213.8,264.0,210.0,219.6,1139170
2023-02-15,225.8,304.4,222.4,260.0,2537420
2023-02-16,261.0,277.6,230.0,234.6,287050
2023-02-17,233.8,301.0,233.8,252.8,1014530
2023-02-20,260.8,316.0,257.4,284.8,1139890
2023-02-21,273.0,307.0,262.0,275.6,397480
2023-02-22,276.0,281.0,265.2,266.8,83500
2023-02-24,267.0,285.0,267.0,273.6,288750
2023-02-27,281.0,281.0,267.2,272.0,45460
2023-02-28,274.0,293.6,271.0,278.6,410870
2023-03-01,279.2,283.6,275.4,278.0,54470
2023-03-02,281.8,282.0,248.0,265.6,93880
2023-03-03,269.0,287.0,267.0,275.8,188640
2023-03-06,277.8,277.8,273.0,275.2,24480
2023-03-07,277.8,284.8,274.0,277.4,90760
2023-03-09,279.0,313.8,277.8,292.0,1182930
2023-03-10,292.2,302.2,281.8,290.2,74060
2023-03-13,299.6,299.8,290.0,290.6,28990
2023-03-14,290.4,293.0,285.6,289.0,20630
2023-03-15,290.0,290.2,282.0,283.8,14780
2023-03-16,283.4,296.0,275.0,278.0,53360
2023-03-17,280.6,293.0,280.0,282.6,45080
