TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2024-07-05,200.0,200.0,191.5,199.0,4829091
2024-07-08,199.6,200.0,190.1,190.6,1506514
2024-07-09,190.6,191.7,176.15,186.0,1000101
2024-07-10,187.0,192.75,179.0,188.0,532225
2024-07-11,188.0,190.9,181.05,190.5,646072
2024-07-12,190.5,199.75,185.0,198.0,575494
2024-07-15,198.0,199.0,188.0,192.2,336624
2024-07-16,192.1,192.1,184.0,186.4,320671
2024-07-17,186.4,193.15,185.15,188.55,191180
2024-07-18,188.6,190.9,183.0,190.85,247493
2024-07-19,190.85,190.85,187.2,187.2,178145
2024-07-22,187.0,190.15,184.1,188.25,191466
2024-07-23,187.65,189.0,183.7,184.0,172436
2024-07-24,184.1,186.0,180.5,181.65,341118
2024-07-25,181.6,185.0,181.45,183.95,130655
2024-07-26,184.05,185.25,179.05,180.55,130788
2024-07-29,180.45,180.55,174.4,174.7,240455
2024-07-30,174.85,176.6,167.05,175.95,301094
2024-07-31,175.9,179.95,174.25,177.9,119967
2024-08-01,177.9,180.3,176.0,179.35,160656
2024-08-02,178.45,180.0,175.25,179.8,173737
2024-08-05,175.0,179.35,170.2,175.35,164935
2024-08-06,175.4,178.8,170.75,171.55,150897
2024-08-07,173.4,174.55,165.05,169.1,476059
2024-08-08,170.95,171.15,167.65,170.1,118874
2024-08-09,169.7,172.6,167.75,171.0,84589
2024-08-12,171.0,179.6,168.0,177.45,169631
2024-08-13,177.45,179.0,175.25,176.05,67142
2024-08-14,176.8,178.8,173.4,174.2,36298
2024-08-15,172.8,177.2,170.75,174.8,121420
2024-08-16,174.8,178.6,173.05,174.4,84235
2024-08-19,174.4,178.95,161.0,164.75,396300
2024-08-20,164.75,165.25,157.0,157.7,326670
2024-08-21,157.7,159.25,153.15,154.95,300184
2024-08-22,155.0,164.95,155.0,157.05,245877
2024-08-23,159.75,163.0,155.0,160.45,120719
2024-08-26,160.45,167.05,160.45,166.25,94120
2024-08-27,166.3,170.0,160.2,164.1,232447
2024-08-28,162.85,168.65,161.65,167.8,64354
2024-08-29,165.1,167.35,162.6,164.9,53727
2024-08-30,165.3,166.35,150.0,153.35,358934
2024-09-02,151.85,152.0,140.6,143.65,239307
2024-09-03,146.0,147.75,135.0,137.5,713862
2024-09-04,137.55,142.9,137.0,142.0,174870
2024-09-05,142.0,148.1,138.05,140.0,423087
2024-09-06,140.0,146.25,136.65,137.7,168877
2024-09-09,139.05,140.5,136.65,137.8,191725
2024-09-10,137.8,139.55,134.15,134.7,192148
2024-09-11,134.7,135.25,130.1,131.6,194707
2024-09-12,130.5,130.7,123.65,124.6,376908
2024-09-13,125.1,129.0,118.0,121.45,604428
2024-09-16,121.55,124.15,119.45,120.5,1053973
2024-09-17,122.0,124.85,120.35,122.9,424250
2024-09-18,124.85,127.0,123.0,124.8,667440
2024-09-19,126.9,142.0,125.2,137.25,2044793
2024-09-20,136.25,139.6,134.0,137.65,400092
2024-09-23,137.85,141.0,133.2,135.1,424763
2024-09-24,134.85,135.1,128.4,130.25,798329
2024-09-25,130.45,132.25,127.05,127.75,240300
2024-09-26,127.8,131.55,125.5,128.0,270953
2024-09-27,128.3,129.8,127.0,127.9,120521
2024-09-30,131.45,131.5,127.9,128.95,164078
2024-10-01,129.95,130.0,122.9,123.9,410764
2024-10-02,124.5,126.8,120.65,121.0,196706
2024-10-03,121.1,128.0,120.0,125.1,341476
2024-10-04,125.15,126.75,121.95,124.15,179515
2024-10-07,124.15,125.05,121.0,121.9,151361
