TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,48220,48360,48080,48240,78
2023-01-04,48380,48820,48200,48240,119
2023-01-05,48240,48800,48240,48800,141
2023-01-06,48880,48880,48340,48500,58
2023-01-09,49000,49900,48380,49160,299
2023-01-10,49340,49340,48900,48980,123
2023-01-11,49080,49160,49000,49100,83
2023-01-12,49020,51000,49020,50220,440
2023-01-13,50420,52900,50180,51000,983
2023-01-16,51060,52780,51060,51700,583
2023-01-17,52040,52100,50880,50900,412
2023-01-18,50700,51160,50060,51160,126
2023-01-19,51460,51460,50000,50400,169
2023-01-20,49720,50340,49120,49700,232
2023-01-23,49940,50480,49720,50080,194
2023-01-24,50080,50700,49320,49980,194
2023-01-25,49340,50040,49340,49760,157
2023-01-26,49940,50260,49700,49960,159
2023-01-27,50220,50700,48460,49300,551
2023-01-30,49600,49880,49400,49400,159
2023-01-31,49680,50160,49140,49720,218
2023-02-01,49940,50180,49740,50060,208
2023-02-02,50300,50500,49580,49980,127
2023-02-03,49960,49980,48380,49520,201
2023-02-06,49240,49840,49120,49600,171
2023-02-07,49740,49740,49200,49460,151
2023-02-08,49300,49480,49240,49240,114
2023-02-09,49400,49500,49140,49340,194
2023-02-10,49360,49400,49140,49180,106
2023-02-13,49340,49380,49100,49120,83
2023-02-14,49120,49120,48400,48720,245
2023-02-15,48700,49000,48020,48940,283
2023-02-16,48860,48900,48300,48300,162
2023-02-17,48380,48600,48280,48380,81
2023-02-20,48520,48520,47800,48100,133
2023-02-21,48080,48700,48060,48320,207
2023-02-22,48480,48480,47980,47980,78
2023-02-24,47980,48080,47800,47800,75
2023-02-27,47780,48400,47780,48120,175
2023-02-28,48620,48620,47740,48080,226
2023-03-01,47960,48100,47500,47820,277
2023-03-02,48040,48040,47440,47540,277
2023-03-03,47540,47800,47220,47740,160
2023-03-06,47880,48080,47820,47920,141
2023-03-07,47900,48240,47360,47780,225
2023-03-09,48180,48180,47400,47500,173
2023-03-10,47560,47740,47400,47440,214
2023-03-13,47440,47880,47160,47600,421
2023-03-14,47420,47680,47120,47160,407
2023-03-15,47180,47280,46800,46860,262
2023-03-16,46800,46800,45000,46180,1075
2023-03-17,46180,46240,45500,45980,458
2023-03-20,45960,46900,45700,46220,743
2023-03-21,46260,47360,46260,46800,814
2023-03-22,46820,46820,45940,46600,299
2023-03-23,46020,46960,46020,46500,289
2023-03-24,46440,46880,46440,46680,147
2023-03-27,46840,47300,46680,47040,351
2023-03-28,47180,47180,46300,46500,311
2023-03-29,46560,46880,46420,46580,247
2023-03-30,46580,47700,46300,47020,844
2023-03-31,47500,47500,46440,46560,386
2023-04-03,47080,47080,46080,46280,509
2023-04-04,46220,46940,46160,46280,514
2023-04-05,46640,46640,46000,46360,203
2023-04-06,46420,47060,46380,46620,451
2023-04-07,46700,47940,46700,46980,1259
2023-04-10,47400,47400,46800,46980,327
2023-04-11,47060,47340,46340,46820,728
2023-04-12,47140,65580,46360,64000,61303
2023-04-13,62340,64000,53700,53980,23631
2023-04-14,53860,56400,52140,52900,9197
2023-04-17,53360,55800,53220,54060,5698
2023-04-18,54300,54560,52940,53120,1937
2023-04-19,53500,54200,52000,52640,1954
2023-04-20,52860,52980,51200,51920,1181
2023-04-21,51920,52900,50900,52020,1351
2023-04-24,52200,54900,52200,52660,5758
2023-04-25,53180,53180,52000,52160,1173
2023-04-26,51900,52200,51620,51820,564
2023-04-27,51780,54000,51400,52660,3905
2023-04-28,52740,55600,52660,52820,6417
2023-05-02,53200,54420,48200,50120,2777
2023-05-03,50000,51580,48800,49620,1493
2023-05-04,50080,50440,48940,49800,648
2023-05-05,50000,52580,49820,50700,1903
2023-05-08,50740,52200,50740,51160,430
2023-05-10,50620,51760,50620,51340,887
2023-05-11,51720,52460,51020,51900,862
2023-05-12,51900,51900,51000,51180,398
2023-05-15,51200,51600,50000,50580,840
2023-05-16,51100,51120,50440,50660,480
2023-05-17,50620,50620,50080,50300,356
2023-05-18,50240,50580,50040,50160,278
2023-05-19,50120,50120,48300,49120,641
2023-05-22,49420,51300,49360,50200,1392
2023-05-23,51000,51000,49540,49820,605
2023-05-24,49960,50040,49620,49700,219
2023-05-25,49900,49940,49000,49000,375
2023-05-26,49000,49800,49000,49100,686
2023-05-29,49760,49760,49120,49220,480
2023-05-30,49380,49700,48660,49440,748
2023-05-31,49860,49860,49080,49680,439
2023-06-01,49980,50060,49160,49160,336
2023-06-02,49140,49660,49000,49320,358
2023-06-05,49700,49700,49020,49040,311
2023-06-06,49100,49100,48200,48640,684
2023-06-07,48660,49020,48320,48440,368
2023-06-08,48340,48600,48320,48400,211
2023-06-09,48400,49080,48300,48560,350
2023-06-13,48620,49000,48600,48900,285
2023-06-14,50160,51160,49060,49960,1279
2023-06-15,50020,50180,49000,49500,327
2023-06-16,49660,49700,49000,49440,415
2023-06-19,49840,49840,48800,49040,397
2023-06-20,49120,50800,49040,49440,914
2023-06-21,49480,50300,49360,49560,600
2023-06-22,49840,50500,49420,50080,517
2023-06-23,50080,50220,49140,49380,346
2023-06-26,49300,49500,48920,49040,401
2023-06-27,49300,49500,49120,49220,279
2023-06-28,49460,49460,49060,49200,215
2023-06-29,49200,51360,49000,49100,3222
2023-06-30,49420,50020,49020,49020,1014
2023-07-03,49020,49200,48940,49000,383
2023-07-04,49000,49080,48360,48800,382
2023-07-05,48800,49500,48680,49100,625
2023-07-06,49280,49800,48920,49040,401
2023-07-07,49020,49100,48900,48940,115
2023-07-10,49060,49280,48920,49120,284
2023-07-11,49120,49240,49000,49100,337
2023-07-12,49220,49900,49000,49240,821
2023-07-13,49360,49540,49100,49200,310
2023-07-14,49220,49380,49100,49220,287
2023-07-17,49080,49360,49020,49080,308
2023-07-18,49080,49320,49040,49220,390
2023-07-19,49260,49500,49100,49380,483
2023-07-20,49760,49760,47000,48940,1532
2023-07-21,48940,49260,48780,49200,334
2023-07-24,49000,49200,49000,49140,282
2023-07-25,49040,49320,49020,49240,363
2023-07-26,49280,49320,49160,49180,255
2023-07-27,50820,51540,49440,51400,6539
2023-07-28,51620,51820,50120,50580,2057
2023-07-31,50860,51000,50020,50480,1194
2023-08-01,50500,50820,50100,50180,801
2023-08-02,50240,52360,50040,50740,4039
2023-08-03,50760,54080,50700,52640,6133
2023-08-04,52820,55960,51000,51280,7040
2023-08-07,52280,52800,51360,51380,1254
2023-08-08,51300,51700,50060,50820,1207
2023-08-09,50820,52720,50820,51340,902
2023-08-10,51420,53400,51420,52340,1175
2023-08-11,52660,53860,52440,52740,1596
2023-08-14,53400,53700,51140,52080,1783
2023-08-15,52000,52960,50880,52120,1602
2023-08-16,52100,54460,51120,51880,5191
2023-08-17,52560,52560,51240,51760,938
2023-08-18,52000,52880,51720,51860,1088
2023-08-21,52200,52640,51860,52440,821
2023-08-22,52620,52740,52140,52480,601
2023-08-23,52440,52620,51380,51800,665
2023-08-24,51720,51820,51160,51580,461
2023-08-25,51320,51780,51320,51420,474
2023-08-28,51580,52800,51420,52420,1643
2023-08-29,52640,52780,51520,51840,1475
2023-08-30,52180,52180,51720,51980,613
2023-08-31,52380,52600,51980,52080,1058
2023-09-01,52320,52360,51840,52140,620
2023-09-04,52440,54880,52400,52880,2948
2023-09-05,53000,53880,52180,52800,1509
2023-09-06,52800,54380,52000,53220,1813
2023-09-07,53260,56600,52200,53120,9912
2023-09-08,52940,53480,51440,52040,1607
2023-09-11,52400,52660,51460,51880,732
2023-09-12,51860,52680,51860,52500,999
2023-09-13,52540,53900,52460,52840,2740
2023-09-14,53480,53700,49480,51120,2342
2023-09-15,51260,51900,50520,51440,504
2023-09-18,52020,52100,50700,50900,667
2023-09-19,50900,51080,49800,50000,545
2023-09-20,50000,50300,48520,49900,811
2023-09-21,49880,50020,49440,49600,364
2023-09-22,48600,49760,48560,48680,989
2023-09-25,48680,48960,47040,47080,2605
2023-09-26,47020,47060,45000,45100,2661
2023-09-27,45260,47300,44800,45160,4054
2023-09-28,45220,47240,44860,45100,8089
2023-09-29,45500,45500,43200,43260,6530
2023-10-02,43460,43820,42040,42320,4046
2023-10-03,42500,42580,40760,41080,2739
2023-10-04,41160,43840,40880,43680,4483
2023-10-05,43040,43560,42340,42600,1921
2023-10-06,43100,43200,42500,42600,684
2023-10-09,42760,43360,42320,42660,849
2023-10-10,42500,42640,42020,42480,896
2023-10-11,42680,42700,42140,42300,644
2023-10-12,42000,42060,41020,41620,867
2023-10-13,41640,41900,41620,41800,539
2023-10-16,42140,42600,41880,42260,967
2023-10-17,42480,42520,41860,42160,657
2023-10-18,42280,42340,41960,42160,484
2023-10-19,42160,42580,41920,42460,1434
2023-10-20,42460,42560,42000,42220,439
2023-10-23,42300,42420,41820,41960,581
2023-10-24,42100,42180,41900,42000,384
2023-10-25,42000,42260,42000,42020,310
2023-10-26,41920,42300,41080,41440,679
2023-10-27,41660,41700,41000,41200,660
2023-10-30,41300,41440,40600,40680,690
2023-10-31,40600,40660,39880,40200,1254
2023-11-01,40200,40800,39060,39100,1887
2023-11-02,39100,41240,39000,40220,3559
2023-11-03,40460,40580,39600,39980,520
2023-11-06,40160,40300,39940,40160,318
2023-11-07,40160,40220,40000,40060,324
2023-11-08,40000,40180,39740,39880,381
2023-11-09,39880,39920,39600,39740,368
2023-11-10,39760,39960,38060,38420,1221
2023-11-13,38600,39060,38520,38880,789
