TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,4350,4375,4265,4340,21
2023-01-04,4295,4450,4260,4365,98
2023-01-05,4365,4430,4365,4365,7
2023-01-06,4385,4700,4260,4310,239
2023-01-09,4740,4740,4385,4475,74
2023-01-10,4475,4485,4410,4410,7
2023-01-11,4485,4885,4460,4790,207
2023-01-12,4880,4885,4570,4630,92
2023-01-13,4655,4685,4605,4610,56
2023-01-16,4690,4860,4600,4700,63
2023-01-17,4695,5410,4560,4595,519
2023-01-18,4595,4615,4550,4615,34
2023-01-19,4650,4650,4555,4555,18
2023-01-20,4645,4700,4555,4600,20
2023-01-23,4605,5285,4590,4780,1004
2023-01-24,4815,5180,4710,4800,240
2023-01-25,4865,4925,4735,4795,48
2023-01-26,5055,5055,4760,4900,159
2023-01-27,4805,5140,4800,5025,319
2023-01-30,5025,5285,5025,5055,80
2023-01-31,5070,5070,4950,5040,71
2023-02-01,5105,6895,5105,6200,5251
2023-02-02,6250,7815,5730,6900,12069
2023-02-03,6990,7140,6400,6695,1661
2023-02-06,6560,6835,6345,6615,807
2023-02-07,6400,6550,6350,6475,455
2023-02-08,6385,6470,6195,6275,224
2023-02-09,6210,6340,5930,6035,534
2023-02-10,6035,6035,5600,5780,213
2023-02-13,5775,6585,5665,5920,1185
2023-02-14,6170,6200,5700,5700,341
2023-02-15,5700,5790,5500,5545,125
2023-02-16,5505,5780,5330,5555,145
2023-02-17,5595,5670,5505,5525,50
2023-02-20,5410,5890,5250,5410,200
2023-02-21,5495,7280,5495,5890,6577
2023-02-22,5850,6250,5605,5790,829
2023-02-24,5765,5765,5580,5690,169
2023-02-27,5715,5830,5410,5725,158
2023-02-28,5735,5810,5565,5660,184
2023-03-01,5660,7360,5660,6790,4504
2023-03-02,6750,6750,6295,6370,280
2023-03-03,6370,6550,6095,6550,324
2023-03-06,6550,6790,6435,6530,266
2023-03-07,6715,7425,6650,6740,1223
2023-03-09,6940,7095,6340,6665,509
2023-03-10,6635,6665,6545,6645,42
2023-03-13,6695,6750,6525,6550,55
2023-03-14,6695,6695,6505,6630,47
2023-03-15,6755,6755,6535,6535,67
2023-03-16,6630,6635,6540,6580,49
2023-03-17,6535,6600,6410,6500,44
2023-03-20,6460,6585,6145,6380,226
2023-03-21,6500,6675,6285,6495,209
2023-03-22,6505,6700,6475,6475,68
2023-03-23,6475,6700,6475,6560,123
2023-03-24,6680,7000,6420,6515,355
2023-03-27,6655,6750,6535,6590,65
2023-03-28,6660,6965,6530,6795,491
2023-03-29,6775,6850,6675,6680,88
2023-03-30,6705,6950,6635,6690,255
2023-03-31,6700,6710,6605,6620,61
2023-04-03,6560,6695,6545,6615,75
2023-04-04,6680,6780,6635,6695,99
2023-04-05,6650,6755,6645,6720,61
2023-04-06,6625,6745,6560,6735,82
2023-04-07,6765,6835,6665,6710,136
2023-04-10,6760,6950,6720,6810,308
2023-04-11,6895,6920,6610,6760,303
2023-04-12,6765,6905,6625,6850,204
2023-04-13,6840,7600,6765,6780,944
2023-04-14,6785,6935,6780,6845,73
2023-04-17,6930,7100,6800,6880,176
2023-04-18,6945,7000,6840,6970,107
2023-04-19,6985,7000,6900,6990,114
2023-04-20,6990,6990,6865,6875,75
2023-04-21,6850,6880,6810,6820,100
2023-04-24,6860,6875,6830,6865,45
2023-04-25,6865,6960,6800,6940,116
2023-04-26,6980,6990,6880,6905,93
