TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,81.775,82.5,81.725,82.22500000000001,21387320000
2023-01-04,82.2,82.62500000000001,81.89999999999999,82.15,12781350000
2023-01-05,82.475,82.475,81.175,81.60000000000001,15506460000
2023-01-06,81.775,81.775,80.85000000000001,81.025,16107440000
2023-01-09,81.35,82.67500000000001,81.15,82.3,39558910000
2023-01-10,82.0,82.2,81.49999999999999,81.825,17326130000
2023-01-11,81.625,83.8,81.60000000000001,83.4,52826330000
2023-01-12,83.87500000000001,83.9,82.6,82.925,30846440000
2023-01-13,82.875,84.10000000000001,82.325,83.225,41121110000
2023-01-16,83.6,85.72500000000001,83.575,85.64999999999999,59690630000
2023-01-17,85.75,85.85000000000001,83.5,83.55,51411590000
2023-01-18,83.6,84.8,83.27499999999999,83.64999999999999,31694090000
2023-01-19,83.55,84.10000000000001,82.52499999999999,83.25000000000001,40591550000
2023-01-20,83.45,83.675,82.62500000000001,83.575,19920510000
2023-01-23,83.85,84.39999999999999,83.5,84.10000000000001,27879310000
2023-01-24,84.225,84.49999999999999,82.9,82.95,27517030000
2023-01-25,83.0,83.75,81.65,83.14999999999999,45084280000
2023-01-26,83.325,83.675,82.775,83.0,18835500000
2023-01-27,82.775,83.425,82.72500000000001,82.925,21798590000
2023-01-30,82.75,85.12499999999999,82.35,83.97500000000001,74454490000
2023-01-31,84.35,84.89999999999999,83.95,84.75,38953660000
2023-02-01,84.75,86.97500000000001,84.49999999999999,85.57499999999999,89606360000
2023-02-02,85.975,86.25000000000001,84.025,85.12499999999999,52995290000
2023-02-03,85.0,85.325,83.19999999999999,84.575,46911780000
2023-02-06,84.575,85.80000000000001,84.3,85.64999999999999,49279660000
2023-02-07,85.10000000000001,86.75,84.39999999999999,85.5,91083520000
2023-02-08,85.6,86.4,84.775,85.10000000000001,47785530000
2023-02-09,85.15,85.4,84.49999999999999,84.975,29883080000
2023-02-10,85.07499999999999,85.07499999999999,84.525,84.72500000000001,17729810000
2023-02-13,84.8,85.12499999999999,83.87500000000001,84.15,23037000000
2023-02-14,84.15,84.25,82.0,84.2,41106970000
2023-02-15,83.175,83.425,79.65,80.19999999999999,66842640000
2023-02-16,80.97500000000001,81.775,79.05000000000001,80.0,57120540000
2023-02-17,79.975,80.625,79.275,79.925,31729180000
2023-02-20,80.225,81.675,79.52499999999999,81.075,38471580000
2023-02-21,81.1,83.325,81.1,82.0,52725820000
